Unit     Size    Fuel        Outage    MTTF    MTTR ScheduledMaintenance
U12       12    Oil/Steam     0.02     2940     60             2
U20       20    Oil/CT        0.10     450      50             2
U50       50    Hydro         0.01     1980     20             2
U55     55    NG/CT         0.031    500      51          0.79
U76       76    Coal/Steam    0.02     1960     40             3
U100     100    Oil/Steam     0.04     1200     50             3
U155     155    Coal/Steam    0.04     960      40             4
U197     197     Oil/Steam     0.05     950      50             4
U350     350    Coal/Steam    0.08     1150    100             5
U355    350    NG/CC         0.033    1000     24          1.07
U400     400    Nuclear       0.12     1100    150             6
