Bus    Unit    ID    PG     QG     Qmax    Qmin    VS
101    U20      1    10     0       10       0    1.035
101    U20      2    10     0       10       0    1.035
101    U76      3    76    14.1     30     -25    1.035
101    U76      4    76    14.1     30     -25    1.035
102    U20      1    10     0       10       0    1.035
102    U20      2    10     0       10       0    1.035
102    U76      3    76     7.0     30     -25    1.035
102    U76      4    76     7.0     30     -25    1.035
114  Sync_Cond  1     0    13.7    200     -50    0.980
115    U12      1    12     0        6       0    1.014
115    U12      2    12     0        6       0    1.014
115    U155     3   155     0.05    80     -50    1.014
116    U155     1   155    25.22    80     -50    1.017
121    U400     1   400   108.2    200     -50    1.050
122    U50      1    50    -4.96    16     -10    1.050
122    U50      2    50    -4.96    16     -10    1.050
122    U50      3    50    -4.96    16     -10    1.050
122    U50      4    50    -4.96    16     -10    1.050
122    U50      5    50    -4.96    16     -10    1.050
122    U50      6    50    -4.96    16     -10    1.050
123    U155     2   155    31.79    80     -50    1.050
123    U350     3   350    71.78   150     -25    1.050
107    U355     1   350    71.78   150     -25    1.050
113    U55   1    55    11.0     19     -15    1.028
113    U55   2    55    11.0     19     -15    1.028
113    U55   3    55    11.0     19     -15    1.028
113    U55   4    55    11.0     19     -15    1.028
118    U355   1   350    71.78   150     -25    1.050
123    U55   1    55    11.0     19     -15    1.028
123    U55   4    55    11.0     19     -15    1.028
123    U55   5    55    11.0     19     -15    1.028
201    U20      1    10     0       10       0    1.035
201    U20      2    10     0       10       0    1.035
201    U76      3    76    14.1     30     -25    1.035
202    U20      1    10     0       10       0    1.035
202    U20      2    10     0       10       0    1.035
202    U76      3    76     7.0     30     -25    1.035
202    U76      4    76     7.0     30     -25    1.035
214  Sync_Cond  1     0    13.68   200     -50    0.980
216    U155     1   155    25.22    80     -50    1.017
222    U50      1    50    -4.96    16     -10    1.050
222    U50      2    50    -4.96    16     -10    1.050
222    U50      3    50    -4.96    16     -10    1.050
222    U50      4    50    -4.96    16     -10    1.050
222    U50      5    50    -4.96    16     -10    1.050
222    U50      6    50    -4.96    16     -10    1.050
223    U155     1   155    31.79    80     -50    1.050
223    U155     2   155    31.79    80     -50    1.050
223    U350     3   350    71.78   150     -25    1.050
201    U50   4    50    -4.96    16     -10    1.050
207    U55   1    55    11.0     19     -15    1.028
207    U55   2    55    11.0     19     -15    1.028
213    U55   1    55    11.0     19     -15    1.028
213    U55   2    55    11.0     19     -15    1.028
213    U355   3   350    71.78   150     -25    1.050
215    U50   1    50    -4.96    16     -10    1.050
215    U50   2    50    -4.96    16     -10    1.050
215    U50   3    50    -4.96    16     -10    1.050
215    U55   4    55    11.0     19     -15    1.028
215    U55   5    55    11.0     19     -15    1.028
218    U355   1   350    71.78   150     -25    1.050
221    U355   1   350    71.78   150     -25    1.050
223    U55   4    55    11.0     19     -15    1.028
223    U55   5    55    11.0     19     -15    1.028
223    U55   6    55    11.0     19     -15    1.028
301    U20      1    10     0       10       0    1.035
301    U20      2    10     0       10       0    1.035
302    U20      1    10     0       10       0    1.035
302    U20      2    10     0       10       0    1.035
314  Sync_Cond  1     0    13.68   200     -50    0.98    
315    U12      1    12     0        6       0    1.014
315    U12      2    12     0        6       0    1.014
315    U12      3    12     0        6       0    1.014
315    U12      4    12     0        6       0    1.014
315    U12      5    12     0        6       0    1.014
316    U155     1   155    25.22    80     -50    1.017
322    U50      1    50    -4.96    16     -10    1.05
322    U50      2    50    -4.96    16     -10    1.05
322    U50      3    50    -4.96    16     -10    1.05
322    U50      4    50    -4.96    16     -10    1.05
301    U55   3    55    11.0     19     -15    1.028
301    U55   4    55    11.0     19     -15    1.028
302    U55   3    55    11.0     19     -15    1.028
302    U55   4    55    11.0     19     -15    1.028
307    U55   1    55    11.0     19     -15    1.028
307    U55   2    55    11.0     19     -15    1.028
313    U355   1   350    71.78   150     -25    1.050
315    U55   6    55    11.0     19     -15    1.028
315    U55   7    55    11.0     19     -15    1.028
315    U55   8    55    17.2     60       0    1.025
318    U355   1   350    71.78   150     -25    1.050
321    U355   1   350    71.78   150     -25    1.050
322    U55   5    55    11.0     19     -15    1.028
322    U55   6    55    11.0     19     -15    1.028
323    U355   1   350    71.78   150     -25    1.050
323    U355   2   350    71.78   150     -25    1.050
