Unit  Size   Type     MinDown MinUp       HotStart     ColdStart        WarmStart  RampRate
U12     12 Oil/Steam     2        4         2       4          12       1
U20     20 Oil/CT        1        1         0       0           1       3
U50     50 Hydro         0        0         0       0           0       0
U55     55 NG/CT   	2.2      2.2       0.25    1           0.75    3.7
U76     76 Coal/Steam    4        8         3      12          10       2
U100   100 Oil/Steam     8        8         2       7          60       7
U155   155 Coal/Steam    8        8         3      11          60       3
U197   197 Oil/Steam    10       12         4       7          24       3
U350   350 Coal/Steam   48       24         8      12          96       4
U355   350 NG/CC   	4.5      8         0.5     2           1       4.14
U400   400 Nuclear       1        1       9999    9999       9999      20
