Generator,Fuel
114_1,SynchCond
214_1,SynchCond
314_1,SynchCond
115_1,Oil/Steam
115_2,Oil/Steam
315_1,Oil/Steam
315_2,Oil/Steam
315_3,Oil/Steam
315_4,Oil/Steam
315_5,Oil/Steam
115_3,Coal/Steam
116_1,Coal/Steam
123_2,Coal/Steam
216_1,Coal/Steam
223_1,Coal/Steam
223_2,Coal/Steam
316_1,Coal/Steam
101_1,Oil/CT
101_2,Oil/CT
102_1,Oil/CT
102_2,Oil/CT
201_1,Oil/CT
201_2,Oil/CT
202_1,Oil/CT
202_2,Oil/CT
301_1,Oil/CT
301_2,Oil/CT
302_1,Oil/CT
302_2,Oil/CT
123_3,Coal/Steam
223_3,Coal/Steam
107_1,NG/CC
118_1,NG/CC
213_3,NG/CC
218_1,NG/CC
221_1,NG/CC
313_1,NG/CC
318_1,NG/CC
321_1,NG/CC
323_1,NG/CC
323_2,NG/CC
121_1,Nuclear
122_1,Hydro
122_2,Hydro
122_3,Hydro
122_4,Hydro
122_5,Hydro
122_6,Hydro
222_1,Hydro
222_2,Hydro
222_3,Hydro
222_4,Hydro
222_5,Hydro
222_6,Hydro
201_4,Hydro
215_1,Hydro
215_2,Hydro
215_3,Hydro
322_1,Hydro
322_2,Hydro
322_3,Hydro
322_4,Hydro
113_1,NG/CT
113_2,NG/CT
113_3,NG/CT
113_4,NG/CT
123_1,NG/CT
123_4,NG/CT
123_5,NG/CT
207_1,NG/CT
207_2,NG/CT
213_1,NG/CT
213_2,NG/CT
215_4,NG/CT
215_5,NG/CT
223_4,NG/CT
223_5,NG/CT
223_6,NG/CT
301_3,NG/CT
301_4,NG/CT
302_3,NG/CT
302_4,NG/CT
307_1,NG/CT
307_2,NG/CT
315_6,NG/CT
315_7,NG/CT
315_8,NG/CT
322_5,NG/CT
322_6,NG/CT
101_3,Coal/Steam
101_4,Coal/Steam
102_3,Coal/Steam
102_4,Coal/Steam
201_3,Coal/Steam
202_3,Coal/Steam
202_4,Coal/Steam
320_pv,PV
314_pv,PV
314_pv_2,PV
313_pv,PV
314_pv_3,PV
314_pv_4,PV
313_pv_2,PV
310_pv,PV
324_pv,PV
312_pv,PV
310_pv_2,PV
324_pv_2,PV
324_pv_3,PV
113_pv,PV
319_pv,PV
215_pv,PV
102_pv,PV
101_pv,PV
102_pv_2,PV
104_pv,PV
101_pv_2,PV
101_pv_3,PV
101_pv_4,PV
103_pv,PV
119_pv,PV
308_rtpv,RTPV
313_rtpv,RTPV
313_rtpv_2,RTPV
313_rtpv_3,RTPV
313_rtpv_4,RTPV
313_rtpv_5,RTPV
313_rtpv_6,RTPV
313_rtpv_7,RTPV
313_rtpv_8,RTPV
313_rtpv_9,RTPV
313_rtpv_10,RTPV
313_rtpv_11,RTPV
313_rtpv_12,RTPV
320_rtpv,RTPV
320_rtpv_2,RTPV
320_rtpv_3,RTPV
313_rtpv_13,RTPV
320_rtpv_4,RTPV
320_rtpv_5,RTPV
118_rtpv,RTPV
118_rtpv_2,RTPV
118_rtpv_3,RTPV
118_rtpv_4,RTPV
118_rtpv_5,RTPV
118_rtpv_6,RTPV
320_rtpv_6,RTPV
118_rtpv_7,RTPV
118_rtpv_8,RTPV
118_rtpv_9,RTPV
118_rtpv_10,RTPV
213_rtpv,RTPV
309_wind,Wind
317_wind,Wind
303_wind,Wind
122_wind,Wind
