Generator,Fixed Load
122_1,timeseries_data_files\hydro\region1_Hydro.csv
122_2,timeseries_data_files\hydro\region1_Hydro.csv
122_3,timeseries_data_files\hydro\region1_Hydro.csv
122_4,timeseries_data_files\hydro\region1_Hydro.csv
122_5,timeseries_data_files\hydro\region1_Hydro.csv
122_6,timeseries_data_files\hydro\region1_Hydro.csv
222_1,timeseries_data_files\hydro\region2_Hydro.csv
222_2,timeseries_data_files\hydro\region2_Hydro.csv
222_3,timeseries_data_files\hydro\region2_Hydro.csv
222_4,timeseries_data_files\hydro\region2_Hydro.csv
222_5,timeseries_data_files\hydro\region2_Hydro.csv
222_6,timeseries_data_files\hydro\region2_Hydro.csv
201_4,timeseries_data_files\hydro\region2_Hydro.csv
215_1,timeseries_data_files\hydro\region2_Hydro.csv
215_2,timeseries_data_files\hydro\region2_Hydro.csv
215_3,timeseries_data_files\hydro\region2_Hydro.csv
322_1,timeseries_data_files\hydro\region3_Hydro.csv
322_2,timeseries_data_files\hydro\region3_Hydro.csv
322_3,timeseries_data_files\hydro\region3_Hydro.csv
322_4,timeseries_data_files\hydro\region3_Hydro.csv
