Generator,Min Stable Level
114_1,NA
214_1,NA
314_1,NA
115_1,5
115_2,5
315_1,5
315_2,5
315_3,5
315_4,5
315_5,5
115_3,62
116_1,62
123_2,62
216_1,62
223_1,62
223_2,62
316_1,62
101_1,8
101_2,8
102_1,8
102_2,8
201_1,8
201_2,8
202_1,8
202_2,8
301_1,8
301_2,8
302_1,8
302_2,8
123_3,140
223_3,140
107_1,168
118_1,168
213_3,168
218_1,168
221_1,168
313_1,168
318_1,168
321_1,168
323_1,168
323_2,168
121_1,396
122_1,0
122_2,0
122_3,0
122_4,0
122_5,0
122_6,0
222_1,0
222_2,0
222_3,0
222_4,0
222_5,0
222_6,0
201_4,0
215_1,0
215_2,0
215_3,0
322_1,0
322_2,0
322_3,0
322_4,0
113_1,22
113_2,22
113_3,22
113_4,22
123_1,22
123_4,22
123_5,22
207_1,22
207_2,22
213_1,22
213_2,22
215_4,22
215_5,22
223_4,22
223_5,22
223_6,22
301_3,22
301_4,22
302_3,22
302_4,22
307_1,22
307_2,22
315_6,22
315_7,22
315_8,22
322_5,22
322_6,22
101_3,30
101_4,30
102_3,30
102_4,30
201_3,30
202_3,30
202_4,30
118_rtpv,6
118_rtpv_10,3
118_rtpv_2,6
118_rtpv_3,6
118_rtpv_4,5
118_rtpv_5,5
118_rtpv_6,6
118_rtpv_7,7
118_rtpv_8,7
118_rtpv_9,6
213_rtpv,8
308_rtpv,61
313_rtpv,61
313_rtpv_10,40
313_rtpv_11,39
313_rtpv_12,17
313_rtpv_13,16
313_rtpv_2,38
313_rtpv_3,39
313_rtpv_4,40
313_rtpv_5,39
313_rtpv_6,38
313_rtpv_7,38
313_rtpv_8,40
313_rtpv_9,37
320_rtpv,16
320_rtpv_2,16
320_rtpv_3,17
320_rtpv_4,16
320_rtpv_5,17
320_rtpv_6,6
