Generator,Min Down Time,Min Up Time
114_1,NA,NA
214_1,NA,NA
314_1,NA,NA
115_1,2,4
115_2,2,4
315_1,2,4
315_2,2,4
315_3,2,4
315_4,2,4
315_5,2,4
115_3,8,8
116_1,8,8
123_2,8,8
216_1,8,8
223_1,8,8
223_2,8,8
316_1,8,8
101_1,1,1
101_2,1,1
102_1,1,1
102_2,1,1
201_1,1,1
201_2,1,1
202_1,1,1
202_2,1,1
301_1,1,1
301_2,1,1
302_1,1,1
302_2,1,1
123_3,48,24
223_3,48,24
107_1,4.5,8
118_1,4.5,8
213_3,4.5,8
218_1,4.5,8
221_1,4.5,8
313_1,4.5,8
318_1,4.5,8
321_1,4.5,8
323_1,4.5,8
323_2,4.5,8
121_1,1,1
122_1,0,0
122_2,0,0
122_3,0,0
122_4,0,0
122_5,0,0
122_6,0,0
222_1,0,0
222_2,0,0
222_3,0,0
222_4,0,0
222_5,0,0
222_6,0,0
201_4,0,0
215_1,0,0
215_2,0,0
215_3,0,0
322_1,0,0
322_2,0,0
322_3,0,0
322_4,0,0
113_1,2.2,2.2
113_2,2.2,2.2
113_3,2.2,2.2
113_4,2.2,2.2
123_1,2.2,2.2
123_4,2.2,2.2
123_5,2.2,2.2
207_1,2.2,2.2
207_2,2.2,2.2
213_1,2.2,2.2
213_2,2.2,2.2
215_4,2.2,2.2
215_5,2.2,2.2
223_4,2.2,2.2
223_5,2.2,2.2
223_6,2.2,2.2
301_3,2.2,2.2
301_4,2.2,2.2
302_3,2.2,2.2
302_4,2.2,2.2
307_1,2.2,2.2
307_2,2.2,2.2
315_6,2.2,2.2
315_7,2.2,2.2
315_8,2.2,2.2
322_5,2.2,2.2
322_6,2.2,2.2
101_3,4,8
101_4,4,8
102_3,4,8
102_4,4,8
201_3,4,8
202_3,4,8
202_4,4,8
