Generator,Max Ramp Up,Max Ramp Down
101_1,3.0,3.0
101_2,3.0,3.0
101_3,2.0,2.0
101_4,2.0,2.0
102_1,3.0,3.0
102_2,3.0,3.0
102_3,2.0,2.0
102_4,2.0,2.0
107_1,4.14,4.14
113_1,3.7,3.7
113_2,3.7,3.7
113_3,3.7,3.7
113_4,3.7,3.7
114_1,0.0,0.0
115_1,1.0,1.0
115_2,1.0,1.0
115_3,3.0,3.0
116_1,3.0,3.0
118_1,4.14,4.14
121_1,20.0,20.0
122_1,0.0,0.0
122_2,0.0,0.0
122_3,0.0,0.0
122_4,0.0,0.0
122_5,0.0,0.0
122_6,0.0,0.0
123_1,3.7,3.7
123_2,3.0,3.0
123_3,4.0,4.0
123_4,3.7,3.7
123_5,3.7,3.7
201_1,3.0,3.0
201_2,3.0,3.0
201_3,2.0,2.0
201_4,0.0,0.0
202_1,3.0,3.0
202_2,3.0,3.0
202_3,2.0,2.0
202_4,2.0,2.0
207_1,3.7,3.7
207_2,3.7,3.7
213_1,3.7,3.7
213_2,3.7,3.7
213_3,4.14,4.14
214_1,0.0,0.0
215_1,0.0,0.0
215_2,0.0,0.0
215_3,0.0,0.0
215_4,3.7,3.7
215_5,3.7,3.7
216_1,3.0,3.0
218_1,4.14,4.14
221_1,4.14,4.14
222_1,0.0,0.0
222_2,0.0,0.0
222_3,0.0,0.0
222_4,0.0,0.0
222_5,0.0,0.0
222_6,0.0,0.0
223_1,3.0,3.0
223_2,3.0,3.0
223_3,4.0,4.0
223_4,3.7,3.7
223_5,3.7,3.7
223_6,3.7,3.7
301_1,3.0,3.0
301_2,3.0,3.0
301_3,3.7,3.7
301_4,3.7,3.7
302_1,3.0,3.0
302_2,3.0,3.0
302_3,3.7,3.7
302_4,3.7,3.7
307_1,3.7,3.7
307_2,3.7,3.7
313_1,4.14,4.14
314_1,0.0,0.0
315_1,1.0,1.0
315_2,1.0,1.0
315_3,1.0,1.0
315_4,1.0,1.0
315_5,1.0,1.0
315_6,3.7,3.7
315_7,3.7,3.7
315_8,3.7,3.7
316_1,3.0,3.0
318_1,4.14,4.14
321_1,4.14,4.14
322_1,0.0,0.0
322_2,0.0,0.0
322_3,0.0,0.0
322_4,0.0,0.0
322_5,3.7,3.7
322_6,3.7,3.7
323_1,4.14,4.14
323_2,4.14,4.14
