Generator,Start Cost,Shutdown Cost
101_1,52,52
101_2,52,52
101_3,11172,11172
101_4,11172,11172
102_1,52,52
102_2,52,52
102_3,11172,11172
102_4,11172,11172
107_1,28047,28047
113_1,5665,5665
113_2,5665,5665
113_3,5665,5665
113_4,5665,5665
114_1,0,0
115_1,704,704
115_2,704,704
115_3,22785,22785
116_1,22785,22785
118_1,28047,28047
121_1,8103,8103
122_1,0,0
122_2,0,0
122_3,0,0
122_4,0,0
122_5,0,0
122_6,0,0
123_1,5665,5665
123_2,22785,22785
123_3,36750,36750
123_4,5665,5665
123_5,5665,5665
201_1,52,52
201_2,52,52
201_3,11172,11172
201_4,0,0
202_1,52,52
202_2,52,52
202_3,11172,11172
202_4,11172,11172
207_1,5665,5665
207_2,5665,5665
213_1,5665,5665
213_2,5665,5665
213_3,28047,28047
214_1,0,0
215_1,0,0
215_2,0,0
215_3,0,0
215_4,5665,5665
215_5,5665,5665
216_1,22785,22785
218_1,28047,28047
221_1,28047,28047
222_1,0,0
222_2,0,0
222_3,0,0
222_4,0,0
222_5,0,0
222_6,0,0
223_1,22785,22785
223_2,22785,22785
223_3,36750,36750
223_4,5665,5665
223_5,5665,5665
223_6,5665,5665
301_1,52,52
301_2,52,52
301_3,5665,5665
301_4,5665,5665
302_1,52,52
302_2,52,52
302_3,5665,5665
302_4,5665,5665
307_1,5665,5665
307_2,5665,5665
313_1,28047,28047
314_1,0,0
315_1,704,704
315_2,704,704
315_3,704,704
315_4,704,704
315_5,704,704
315_6,5665,5665
315_7,5665,5665
315_8,5665,5665
316_1,22785,22785
318_1,28047,28047
321_1,28047,28047
322_1,0,0
322_2,0,0
322_3,0,0
322_4,0,0
322_5,5665,5665
322_6,5665,5665
323_1,28047,28047
323_2,28047,28047
