Line,Node From,Node To,Resistance,Reactance,Max Flow,rateA,rateB,rateC,Units,Min Flow
101_102_1,101,102,0.003,0.014,175.0,175.0,175.0,175.0,1,-175
101_103_1,101,103,0.055,0.211,175.0,175.0,175.0,175.0,1,-175
101_105_1,101,105,0.022,0.085,175.0,175.0,175.0,175.0,1,-175
102_104_1,102,104,0.033,0.127,175.0,175.0,175.0,175.0,1,-175
102_106_1,102,106,0.05,0.192,175.0,175.0,175.0,175.0,1,-175
103_109_1,103,109,0.031,0.119,175.0,175.0,175.0,175.0,1,-175
103_124_1,103,124,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
104_109_1,104,109,0.027,0.104,175.0,175.0,175.0,175.0,1,-175
105_110_1,105,110,0.023,0.088,175.0,175.0,175.0,175.0,1,-175
106_110_1,106,110,0.014,0.061,175.0,175.0,175.0,175.0,1,-175
107_108_1,107,108,0.016,0.061,175.0,175.0,175.0,175.0,1,-175
107_203_1,107,203,0.042,0.161,175.0,175.0,175.0,175.0,1,-175
108_109_1,108,109,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
108_110_1,108,110,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
109_111_1,109,111,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
109_112_1,109,112,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
110_111_1,110,111,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
110_112_1,110,112,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
111_113_1,111,113,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
111_114_1,111,114,0.005,0.042,500.0,500.0,500.0,500.0,1,-500
112_113_1,112,113,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
112_123_1,112,123,0.012,0.097,500.0,500.0,500.0,500.0,1,-500
113_123_1,113,123,0.011,0.087,500.0,500.0,500.0,500.0,1,-500
113_215_1,113,215,0.01,0.075,500.0,500.0,500.0,500.0,1,-500
114_116_1,114,116,0.005,0.059,500.0,500.0,500.0,500.0,1,-500
115_116_1,115,116,0.002,0.017,500.0,500.0,500.0,500.0,1,-500
115_121_1,115,121,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
115_121_2,115,121,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
115_124_1,115,124,0.007,0.052,500.0,500.0,500.0,500.0,1,-500
116_117_1,116,117,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
116_119_1,116,119,0.003,0.023,500.0,500.0,500.0,500.0,1,-500
117_118_1,117,118,0.002,0.014,500.0,500.0,500.0,500.0,1,-500
117_122_1,117,122,0.014,0.105,500.0,500.0,500.0,500.0,1,-500
118_121_1,118,121,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
118_121_2,118,121,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
119_120_1,119,120,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
119_120_2,119,120,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
120_123_1,120,123,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
120_123_2,120,123,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
121_122_1,121,122,0.009,0.068,500.0,500.0,500.0,500.0,1,-500
123_217_1,123,217,0.01,0.074,500.0,500.0,500.0,500.0,1,-500
201_202_1,201,202,0.003,0.014,175.0,175.0,175.0,175.0,1,-175
201_203_1,201,203,0.055,0.211,175.0,175.0,175.0,175.0,1,-175
201_205_1,201,205,0.022,0.085,175.0,175.0,175.0,175.0,1,-175
202_204_1,202,204,0.033,0.127,175.0,175.0,175.0,175.0,1,-175
202_206_1,202,206,0.05,0.192,175.0,175.0,175.0,175.0,1,-175
203_209_1,203,209,0.031,0.119,175.0,175.0,175.0,175.0,1,-175
203_224_1,203,224,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
204_209_1,204,209,0.027,0.104,175.0,175.0,175.0,175.0,1,-175
205_210_1,205,210,0.023,0.088,175.0,175.0,175.0,175.0,1,-175
206_210_1,206,210,0.014,0.061,175.0,175.0,175.0,175.0,1,-175
207_208_1,207,208,0.016,0.061,175.0,175.0,175.0,175.0,1,-175
208_209_1,208,209,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
208_210_1,208,210,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
209_211_1,209,211,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
209_212_1,209,212,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
210_211_1,210,211,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
210_212_1,210,212,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
211_213_1,211,213,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
211_214_1,211,214,0.005,0.042,500.0,500.0,500.0,500.0,1,-500
212_213_1,212,213,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
212_223_1,212,223,0.012,0.097,500.0,500.0,500.0,500.0,1,-500
213_223_1,213,223,0.011,0.087,500.0,500.0,500.0,500.0,1,-500
214_216_1,214,216,0.005,0.059,500.0,500.0,500.0,500.0,1,-500
215_216_1,215,216,0.002,0.017,500.0,500.0,500.0,500.0,1,-500
215_221_1,215,221,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
215_221_2,215,221,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
215_224_1,215,224,0.007,0.052,500.0,500.0,500.0,500.0,1,-500
216_217_1,216,217,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
216_219_1,216,219,0.003,0.023,500.0,500.0,500.0,500.0,1,-500
217_218_1,217,218,0.002,0.014,500.0,500.0,500.0,500.0,1,-500
217_222_1,217,222,0.014,0.105,500.0,500.0,500.0,500.0,1,-500
218_221_1,218,221,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
218_221_2,218,221,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
219_220_1,219,220,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
219_220_2,219,220,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
220_223_1,220,223,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
220_223_2,220,223,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
221_222_1,221,222,0.009,0.068,500.0,500.0,500.0,500.0,1,-500
301_302_1,301,302,0.003,0.014,175.0,175.0,175.0,175.0,1,-175
301_303_1,301,303,0.055,0.211,175.0,175.0,175.0,175.0,1,-175
301_305_1,301,305,0.022,0.085,175.0,175.0,175.0,175.0,1,-175
302_304_1,302,304,0.033,0.127,175.0,175.0,175.0,175.0,1,-175
302_306_1,302,306,0.05,0.192,175.0,175.0,175.0,175.0,1,-175
303_309_1,303,309,0.031,0.119,175.0,175.0,175.0,175.0,1,-175
303_324_1,303,324,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
304_309_1,304,309,0.027,0.104,175.0,175.0,175.0,175.0,1,-175
305_310_1,305,310,0.023,0.088,175.0,175.0,175.0,175.0,1,-175
306_310_1,306,310,0.014,0.061,175.0,175.0,175.0,175.0,1,-175
307_308_1,307,308,0.016,0.061,175.0,175.0,175.0,175.0,1,-175
308_309_1,308,309,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
308_310_1,308,310,0.043,0.165,175.0,175.0,175.0,175.0,1,-175
309_311_1,309,311,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
309_312_1,309,312,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
310_311_1,310,311,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
310_312_1,310,312,0.002,0.084,400.0,400.0,400.0,400.0,1,-400
311_313_1,311,313,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
311_314_1,311,314,0.005,0.042,500.0,500.0,500.0,500.0,1,-500
312_313_1,312,313,0.006,0.048,500.0,500.0,500.0,500.0,1,-500
312_323_1,312,323,0.012,0.097,500.0,500.0,500.0,500.0,1,-500
313_323_1,313,323,0.011,0.087,500.0,500.0,500.0,500.0,1,-500
314_316_1,314,316,0.005,0.059,500.0,500.0,500.0,500.0,1,-500
315_316_1,315,316,0.002,0.017,500.0,500.0,500.0,500.0,1,-500
315_321_1,315,321,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
315_321_2,315,321,0.006,0.049,500.0,500.0,500.0,500.0,1,-500
