Node,Load,Status
101,108.0,1
102,97.0,1
103,180.0,1
104,74.0,1
105,71.0,1
106,136.0,1
107,125.0,1
108,171.0,1
109,175.0,1
110,195.0,1
111,0.0,1
112,0.0,1
113,265.0,1
114,194.0,1
115,317.0,1
116,100.0,1
117,0.0,1
118,333.0,1
119,181.0,1
120,128.0,1
121,0.0,1
122,0.0,1
123,0.0,1
124,0.0,1
201,108.0,1
202,97.0,1
203,180.0,1
204,74.0,1
205,71.0,1
206,136.0,1
207,125.0,1
208,171.0,1
209,175.0,1
210,195.0,1
211,0.0,1
212,0.0,1
213,265.0,1
214,194.0,1
215,317.0,1
216,100.0,1
217,0.0,1
218,333.0,1
219,181.0,1
220,128.0,1
221,0.0,1
222,0.0,1
223,0.0,1
224,0.0,1
301,108.0,1
302,97.0,1
303,180.0,1
304,74.0,1
305,71.0,1
306,136.0,1
307,125.0,1
308,171.0,1
309,175.0,1
310,195.0,1
311,0.0,1
312,0.0,1
313,265.0,1
314,194.0,1
315,317.0,1
316,100.0,1
317,0.0,1
318,333.0,1
319,181.0,1
320,128.0,1
321,0.0,1
322,0.0,1
323,0.0,1
324,0.0,1
325,0.0,1
