Reserve,Generator
Spin Up,115_1
Spin Up,115_2
Spin Up,315_1
Spin Up,315_2
Spin Up,315_3
Spin Up,315_4
Spin Up,315_5
Spin Up,115_3
Spin Up,116_1
Spin Up,123_2
Spin Up,216_1
Spin Up,223_1
Spin Up,223_2
Spin Up,316_1
Spin Up,101_1
Spin Up,101_2
Spin Up,102_1
Spin Up,102_2
Spin Up,201_1
Spin Up,201_2
Spin Up,202_1
Spin Up,202_2
Spin Up,301_1
Spin Up,301_2
Spin Up,302_1
Spin Up,302_2
Spin Up,123_3
Spin Up,223_3
Spin Up,107_1
Spin Up,118_1
Spin Up,213_3
Spin Up,218_1
Spin Up,221_1
Spin Up,313_1
Spin Up,318_1
Spin Up,321_1
Spin Up,323_1
Spin Up,323_2
Spin Up,113_1
Spin Up,113_2
Spin Up,113_3
Spin Up,113_4
Spin Up,123_1
Spin Up,123_4
Spin Up,123_5
Spin Up,207_1
Spin Up,207_2
Spin Up,213_1
Spin Up,213_2
Spin Up,215_4
Spin Up,215_5
Spin Up,223_4
Spin Up,223_5
Spin Up,223_6
Spin Up,301_3
Spin Up,301_4
Spin Up,302_3
Spin Up,302_4
Spin Up,307_1
Spin Up,307_2
Spin Up,315_6
Spin Up,315_7
Spin Up,315_8
Spin Up,322_5
Spin Up,322_6
Spin Up,101_3
Spin Up,101_4
Spin Up,102_3
Spin Up,102_4
Spin Up,201_3
Spin Up,202_3
Spin Up,202_4
Spin Up,320_pv
Spin Up,314_pv
Spin Up,314_pv_2
Spin Up,313_pv
Spin Up,314_pv_3
Spin Up,314_pv_4
Spin Up,313_pv_2
Spin Up,310_pv
Spin Up,324_pv
Spin Up,312_pv
Spin Up,310_pv_2
Spin Up,324_pv_2
Spin Up,324_pv_3
Spin Up,113_pv
Spin Up,319_pv
Spin Up,215_pv
Spin Up,102_pv
Spin Up,101_pv
Spin Up,102_pv_2
Spin Up,104_pv
Spin Up,101_pv_2
Spin Up,101_pv_3
Spin Up,101_pv_4
Spin Up,103_pv
Spin Up,119_pv
Spin Up,309_wind
Spin Up,317_wind
Spin Up,303_wind
Spin Up,122_wind
Flex Up,115_1
Flex Up,115_2
Flex Up,315_1
Flex Up,315_2
Flex Up,315_3
Flex Up,315_4
Flex Up,315_5
Flex Up,115_3
Flex Up,116_1
Flex Up,123_2
Flex Up,216_1
Flex Up,223_1
Flex Up,223_2
Flex Up,316_1
Flex Up,101_1
Flex Up,101_2
Flex Up,102_1
Flex Up,102_2
Flex Up,201_1
Flex Up,201_2
Flex Up,202_1
Flex Up,202_2
Flex Up,301_1
Flex Up,301_2
Flex Up,302_1
Flex Up,302_2
Flex Up,123_3
Flex Up,223_3
Flex Up,107_1
Flex Up,118_1
Flex Up,213_3
Flex Up,218_1
Flex Up,221_1
Flex Up,313_1
Flex Up,318_1
Flex Up,321_1
Flex Up,323_1
Flex Up,323_2
Flex Up,113_1
Flex Up,113_2
Flex Up,113_3
Flex Up,113_4
Flex Up,123_1
Flex Up,123_4
Flex Up,123_5
Flex Up,207_1
Flex Up,207_2
Flex Up,213_1
Flex Up,213_2
Flex Up,215_4
Flex Up,215_5
Flex Up,223_4
Flex Up,223_5
Flex Up,223_6
Flex Up,301_3
Flex Up,301_4
Flex Up,302_3
Flex Up,302_4
Flex Up,307_1
Flex Up,307_2
Flex Up,315_6
Flex Up,315_7
Flex Up,315_8
Flex Up,322_5
Flex Up,322_6
Flex Up,101_3
Flex Up,101_4
Flex Up,102_3
Flex Up,102_4
Flex Up,201_3
Flex Up,202_3
Flex Up,202_4
Flex Up,320_pv
Flex Up,314_pv
Flex Up,314_pv_2
Flex Up,313_pv
Flex Up,314_pv_3
Flex Up,314_pv_4
Flex Up,313_pv_2
Flex Up,310_pv
Flex Up,324_pv
Flex Up,312_pv
Flex Up,310_pv_2
Flex Up,324_pv_2
Flex Up,324_pv_3
Flex Up,113_pv
Flex Up,319_pv
Flex Up,215_pv
Flex Up,102_pv
Flex Up,101_pv
Flex Up,102_pv_2
Flex Up,104_pv
Flex Up,101_pv_2
Flex Up,101_pv_3
Flex Up,101_pv_4
Flex Up,103_pv
Flex Up,119_pv
Flex Up,309_wind
Flex Up,317_wind
Flex Up,303_wind
Flex Up,122_wind
Flex Down,115_1
Flex Down,115_2
