Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024,1,1,9.34,9.535,9.34,9.535,9.34,9.145,9.535,18.87,18.48,18.48,18.675,18.48,18.675,18.675,18.675,18.675,18.87,17.9,9.34,9.535,9.34,9.34,9.145,9.34
2024,1,2,9.34,9.34,9.34,9.34,9.34,9.535,17.9,18.48,18.675,18.675,18.675,18.87,18.48,18.87,9.73,9.34,9.535,9.34,9.34,9.34,9.34,9.34,9.34,9.145
2024,1,3,9.145,9.145,9.145,9.34,9.145,9.145,9.535,9.34,9.34,9.34,9.34,9.34,9.145,9.34,9.34,9.535,9.34,9.34,9.34,9.34,9.535,9.145,9.34,9.145
2024,1,4,9.34,9.34,9.145,9.34,9.145,9.34,9.145,9.145,9.145,8.95,9.34,9.34,9.535,9.34,9.535,9.34,9.34,9.34,9.535,9.34,9.535,9.535,3.89,3.89
2024,1,5,3.89,6.42,4.085,3.89,3.89,3.89,3.89,3.89,4.085,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
2024,1,6,9.34,9.34,9.535,9.34,9.34,9.535,11.48,18.48,18.48,18.48,18.48,18.48,18.675,18.48,18.675,18.675,18.675,18.87,18.675,14.01,9.535,9.34,9.34,9.535
2024,1,7,9.34,9.34,9.34,9.535,9.34,9.34,15.175,18.48,18.675,18.29,18.48,18.675,18.48,18.675,18.675,18.675,18.675,18.675,18.29,9.535,9.34,9.34,9.535,9.34
2024,1,8,9.34,9.535,9.34,9.535,9.34,9.145,9.535,18.87,18.48,18.48,18.675,18.48,18.675,18.675,18.675,18.675,18.87,17.9,9.34,9.535,9.34,9.34,9.145,9.34
2024,1,9,9.34,9.34,9.34,9.34,9.34,9.535,17.9,18.48,18.675,18.675,18.675,18.87,18.48,18.87,9.73,9.34,9.535,9.34,9.34,9.34,9.34,9.34,9.34,9.145
2024,1,10,9.145,9.145,9.145,9.34,9.145,9.145,9.535,9.34,9.34,9.34,9.34,9.34,9.145,9.34,9.34,9.535,9.34,9.34,9.34,9.34,9.535,9.145,9.34,9.145
2024,1,11,9.34,9.34,9.145,9.34,9.145,9.34,9.145,9.145,9.145,8.95,9.34,9.34,9.535,9.34,9.535,9.34,9.34,9.34,9.535,9.34,9.535,9.535,3.89,3.89
2024,1,12,3.89,6.42,4.085,3.89,3.89,3.89,3.89,3.89,4.085,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89
2024,1,13,3.89,3.89,3.89,3.89,3.89,3.89,3.89,4.085,3.89,3.89,3.695,3.89,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.89,3.89,3.695,3.89,3.89
2024,1,14,3.89,3.89,4.085,3.695,3.89,3.695,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.89,3.89,3.695,3.89,3.89,3.89
2024,1,15,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.695,3.89,3.89,3.89,3.89,4.085,3.89,3.89,3.89,3.695,3.89,3.695,3.89,3.89,3.89
2024,1,16,3.89,3.89,3.89,3.89,3.89,4.085,3.89,3.89,3.695,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.89,4.085,3.89
2024,1,17,3.89,3.695,4.085,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.89,3.89,3.89,3.89,3.695,3.89,3.89,3.89,3.89,3.89,3.695,3.89
2024,1,18,3.89,3.89,4.085,3.89,3.89,3.89,3.89,3.695,3.89,3.89,3.695,3.89,3.695,3.89,3.89,3.695,3.695,3.89,3.89,3.695,3.695,3.89,3.89,3.89
2024,1,19,3.89,3.89,3.89,3.89,3.695,3.89,3.695,3.89,3.695,3.695,3.89,3.89,3.89,3.89,3.89,3.695,3.89,4.085,4.085,4.085,4.085,3.89,4.085,4.085
2024,1,20,4.085,3.89,4.085,3.89,4.085,3.89,4.085,4.085,3.89,4.085,3.89,3.89,4.085,3.89,4.67,4.085,4.085,3.89,4.085,4.085,4.085,4.085,3.89,4.085
2024,1,21,4.085,4.085,8.755,9.145,9.34,9.34,9.73,9.535,9.73,9.535,9.73,9.73,9.535,9.535,13.425,18.675,18.48,18.675,18.675,18.095,9.535,9.34,9.34,9.145
2024,1,22,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.145,9.34,9.145,12.255,18.48,18.48,18.675,18.095,9.535,9.34,9.145,9.34
2024,1,23,9.34,9.34,9.34,9.145,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.145,9.34,9.34,14.59,18.48,18.48,18.675,18.48,12.45,9.145,9.34,9.34
2024,1,24,9.145,9.34,9.34,9.34,9.34,9.145,15.955,18.48,18.675,18.675,18.48,18.675,18.48,18.87,18.48,18.675,18.675,18.48,13.035,8.95,8.95,8.95,9.34,9.34
2024,1,25,9.34,9.535,9.34,9.34,9.535,9.34,17.51,18.48,18.48,18.48,18.48,18.675,18.29,18.48,18.48,26.265,27.625,19.845,18.48,10.7,8.95,8.56,8.56,8.755
2024,1,26,8.755,8.755,8.755,8.755,9.145,9.92,17.705,18.095,18.095,17.9,17.9,18.095,17.9,18.095,17.705,27.235,27.235,24.905,18.675,9.535,9.34,9.34,9.145,8.56
2024,1,27,8.56,8.56,8.365,8.755,8.755,8.95,18.675,18.48,18.48,18.675,18.675,18.29,18.87,18.675,18.87,18.675,18.675,18.675,10.31,9.34,9.145,9.34,9.145,9.34
2024,1,28,9.145,9.34,9.145,9.34,9.34,9.34,17.9,18.675,18.675,18.29,18.675,18.29,18.675,18.29,18.48,18.675,19.065,17.12,9.535,9.145,9.34,8.755,8.95,9.34
2024,1,29,9.34,9.34,9.34,9.145,9.535,10.505,18.48,18.675,19.065,18.675,18.675,18.675,18.87,18.675,18.675,18.87,18.675,18.29,18.48,9.535,9.145,9.34,9.34,9.34
2024,1,30,9.34,9.34,9.535,9.34,9.34,9.34,9.34,9.34,9.34,17.315,19.455,18.675,18.48,18.675,18.48,18.675,18.48,18.095,9.34,9.34,9.535,9.34,9.34,9.145
2024,1,31,9.34,9.34,9.34,9.145,9.34,9.34,9.34,9.34,9.34,9.34,10.115,18.48,18.48,18.29,18.675,18.48,18.87,18.48,18.48,3.89,4.085,3.695,3.89,3.89
2024,2,1,3.89,3.89,4.085,3.89,4.085,9.145,9.535,9.34,9.34,17.705,18.29,17.9,17.9,18.095,17.9,18.29,18.095,10.7,16.73,12.06,9.145,3.89,3.89,3.89
2024,2,2,3.89,3.695,3.89,3.89,4.085,9.145,9.535,9.34,9.34,17.51,17.705,17.705,17.705,18.095,18.48,18.675,18.675,18.675,11.675,9.34,9.34,4.28,3.89,3.695
2024,2,3,3.89,4.085,3.89,3.89,3.89,8.755,9.34,9.145,9.34,18.095,18.48,18.675,18.29,18.675,18.675,18.29,18.48,9.34,3.89,4.085,3.89,3.695,3.89,3.89
2024,2,4,3.695,3.89,3.89,3.89,3.695,6.81,9.34,9.145,9.535,18.675,18.675,18.87,18.87,18.87,18.675,18.675,17.315,8.95,7.78,3.89,3.89,4.085,3.89,3.89
2024,2,5,3.89,3.89,4.475,9.34,9.34,9.34,9.145,9.535,18.29,18.675,18.48,18.675,18.29,18.48,18.48,18.48,18.48,18.48,10.505,9.34,9.34,9.34,4.085,3.89
2024,2,6,3.89,3.89,3.89,9.145,9.34,9.145,9.145,9.535,17.9,18.48,18.48,18.675,18.48,18.48,18.675,18.675,18.48,18.675,10.31,9.34,9.535,9.34,9.34,9.145
2024,2,7,9.535,9.34,18.29,27.43,28.015,28.015,28.21,21.205,19.065,18.675,18.675,18.675,18.675,18.675,18.87,18.87,21.205,27.82,28.015,24.905,11.48,9.34,9.34,9.535
2024,2,8,9.34,9.145,18.675,27.625,28.015,28.21,28.015,18.675,18.675,18.675,18.87,18.675,18.675,18.675,18.675,18.87,26.85,28.405,28.015,23.93,9.145,9.145,9.145,9.145
2024,2,9,9.145,9.535,17.705,27.235,27.625,27.43,27.43,20.235,18.29,18.48,18.29,18.29,18.48,18.29,18.29,21.205,27.625,27.82,27.625,23.345,11.285,9.145,9.34,9.145
2024,2,10,9.145,9.34,18.095,18.095,18.675,18.48,18.675,18.29,18.48,18.48,18.29,18.48,18.29,18.29,18.48,18.48,18.29,18.48,18.48,17.51,9.34,9.145,9.145,9.145
2024,2,11,9.34,9.145,9.34,18.29,18.29,18.48,18.48,18.48,18.29,18.675,18.48,18.48,18.48,18.48,18.675,18.29,18.675,18.48,18.675,18.48,14.59,9.34,9.535,9.34
2024,2,12,9.34,9.34,9.535,18.48,18.675,18.29,18.48,18.87,18.48,18.48,18.48,18.675,18.48,18.675,18.675,18.675,18.675,18.87,18.48,18.48,15.175,9.145,9.34,9.34
2024,2,13,9.535,9.34,9.535,18.48,19.065,18.675,18.29,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.675,18.48,18.675,18.48,19.065,19.26,14.2,9.535,9.535,9.535
2024,2,14,9.34,10.115,18.675,18.87,19.065,18.675,18.48,18.675,18.48,18.675,18.48,19.065,18.48,18.675,18.48,19.26,27.82,28.015,27.625,19.065,10.31,9.34,9.145,9.34
2024,2,15,9.145,9.34,16.73,27.235,28.21,28.015,27.43,18.675,18.87,18.675,18.48,18.675,18.48,18.675,18.48,18.87,27.625,27.82,27.82,21.01,12.45,9.34,9.34,9.34
2024,2,16,9.145,9.34,18.48,27.625,28.21,27.625,28.21,19.65,18.675,18.87,18.48,18.87,18.675,18.87,18.48,18.87,18.87,18.675,18.48,18.87,12.45,9.145,4.28,3.89
2024,2,17,3.89,3.89,7.59,9.34,9.34,9.34,9.34,9.535,17.51,17.9,17.9,18.095,17.705,18.87,18.87,19.065,18.87,19.065,18.87,19.065,10.115,9.34,5.445,3.89
2024,2,18,3.89,4.085,8.56,9.145,9.34,9.34,9.34,9.34,18.095,18.29,18.675,18.29,18.29,18.48,18.29,18.675,18.675,17.9,9.535,8.755,3.89,3.89,3.89,3.89
