"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2024,1,1,10,10,10,10,14,27,41,50,52,58,56,40,30,31,12,11,15,51,59,53,46,40,39,40
2024,1,2,37,37,38,38,38,35,35,37,39,37,36,36,39,42,41,40,38,37,31,29,37,37,26,23
2024,1,3,29,17,16,13,21,19,25,36,47,51,47,33,51,48,51,56,53,38,44,57,56,50,51,52
2024,1,4,24,27,25,31,27,27,22,18,13,20,33,39,38,45,58,60,41,53,56,37,15,10,10,10
2024,1,5,10,10,10,10,10,10,16,24,37,19,19,41,50,57,56,59,51,39,44,43,42,41,59,54
2024,1,6,38,44,39,20,17,21,34,32,21,18,18,14,15,18,15,20,27,26,28,29,31,15,10,10
2024,1,7,10,10,10,10,10,10,10,15,18,18,18,14,14,14,11,13,10,10,10,10,10,15,10,10
2024,1,8,45,17,20,46,58,57,57,56,32,18,18,18,14,14,11,13,10,10,10,10,10,10,10,10
2024,1,9,10,10,10,10,10,10,10,15,20,27,51,59,41,23,14,34,35,55,41,39,41,37,32,32
2024,1,10,38,40,33,33,33,33,30,31,32,31,33,41,45,45,46,45,28,31,33,49,58,58,29,38
2024,1,11,47,55,54,49,55,59,56,50,70,86,59,59,66,67,67,59,59,56,58,59,57,59,44,50
2024,1,12,42,42,35,20,28,26,31,31,33,32,39,40,44,62,55,52,51,50,45,54,56,55,54,53
2024,1,13,54,54,49,32,42,49,56,59,50,49,43,27,29,31,40,49,58,32,15,55,36,33,42,21
2024,1,14,13,13,10,10,10,10,10,15,18,18,18,14,15,22,21,27,31,5,30,33,39,54,57,59
2024,1,15,56,58,52,46,57,55,54,56,62,74,95,73,80,76,62,49,42,8,2,2,2,11,5,20
2024,1,16,12,22,45,50,49,58,54,55,50,56,55,56,58,60,58,58,72,54,48,28,32,25,17,12
2024,1,17,10,11,10,10,10,10,10,15,15,18,18,18,14,14,11,13,13,12,10,12,21,24,27,30
2024,1,18,33,37,37,52,56,57,56,55,55,55,59,59,60,60,53,42,34,16,9,9,13,15,26,40
2024,1,19,44,45,48,49,46,46,49,51,46,49,40,36,40,36,30,25,47,31,52,47,52,56,55,51
2024,1,20,40,38,37,33,31,35,39,43,44,47,56,59,47,44,33,21,15,9,6,6,6,10,21,31
2024,1,21,33,30,30,29,39,51,58,59,58,58,58,60,48,41,42,45,66,57,49,51,52,53,54,54
2024,1,22,52,53,54,55,58,57,58,66,59,66,75,60,45,21,24,37,46,33,45,58,58,53,58,31
2024,1,23,51,54,40,17,10,10,10,15,30,50,56,33,19,21,21,38,46,59,55,46,43,32,36,24
2024,1,24,11,14,26,21,21,25,35,42,45,50,18,14,16,18,27,41,43,53,54,14,14,27,28,33
2024,1,25,37,50,50,56,52,46,36,34,15,18,18,18,14,14,11,13,14,54,42,34,24,10,10,10
2024,1,26,10,10,10,10,10,10,10,16,18,19,30,46,46,57,59,56,35,43,58,39,31,19,13,10
2024,1,27,12,10,10,10,10,12,10,15,18,18,18,14,14,14,11,15,14,40,25,15,15,11,10,10
2024,1,28,10,10,10,10,10,10,13,27,42,46,36,56,49,49,39,44,57,41,54,32,42,14,10,11
2024,1,29,10,10,10,10,10,10,10,15,15,18,18,18,14,14,11,13,15,36,31,27,20,14,23,25
2024,1,30,17,11,15,31,12,11,15,17,15,18,24,19,42,54,56,57,31,56,40,39,31,36,41,24
2024,1,31,10,26,23,37,37,54,57,51,57,56,46,30,33,21,15,28,44,20,55,17,10,10,10,10
2024,2,1,10,24,10,10,10,10,10,15,15,18,18,18,28,14,11,15,18,29,39,34,41,39,42,45
2024,2,2,45,46,49,40,35,10,10,15,15,18,18,24,37,55,52,34,16,9,11,8,31,53,45,57
2024,2,3,54,51,52,54,57,57,59,60,49,54,44,37,47,63,41,27,20,2,6,3,3,5,3,3
2024,2,4,8,11,11,9,6,7,11,13,16,16,16,11,11,11,6,9,11,2,8,25,39,43,55,52
2024,2,5,58,57,50,50,55,55,51,51,52,55,58,48,37,34,27,17,12,2,6,8,10,10,9,10
2024,2,6,14,17,16,16,22,23,26,27,30,28,18,15,16,17,18,22,24,11,25,30,12,21,25,33
2024,2,7,45,48,55,56,56,56,55,55,55,61,60,60,58,59,58,58,59,58,58,59,55,48,35,25
2024,2,8,15,20,27,33,38,38,33,34,34,32,18,16,12,11,7,9,11,2,2,6,14,15,16,16
2024,2,9,17,17,12,7,2,7,14,16,20,21,21,16,23,12,6,9,11,2,2,2,7,11,9,13
2024,2,10,12,14,27,28,32,41,41,45,57,61,53,51,60,57,56,57,59,53,38,32,34,49,55,55
2024,2,11,55,58,58,56,55,54,54,55,58,56,50,31,14,11,13,15,14,3,15,26,22,31,29,23
2024,2,12,24,17,15,17,22,28,27,51,67,51,51,44,14,13,11,19,18,3,13,11,26,36,37,38
2024,2,13,31,27,28,31,34,17,31,29,21,20,17,17,35,41,32,41,44,59,55,42,32,31,35,38
2024,2,14,43,45,42,35,33,38,44,51,61,77,66,87,76,71,67,51,46,54,55,58,56,57,55,47
2024,2,15,41,30,17,9,6,6,11,14,30,15,49,49,52,52,48,19,11,4,7,9,8,4,8,8
2024,2,16,9,8,8,8,4,3,9,43,44,52,52,52,43,43,38,19,11,10,24,45,54,46,44,31
2024,2,17,36,37,39,52,58,55,55,55,55,53,57,56,55,67,50,50,51,54,43,46,47,48,40,38
2024,2,18,44,32,33,40,34,14,13,17,18,18,18,18,17,20,27,35,39,37,17,13,13,10,10,10
2024,2,19,10,10,10,10,10,10,13,15,18,18,18,17,15,17,21,37,29,47,25,15,14,23,28,35
2024,2,20,38,38,27,22,13,10,13,18,18,18,18,14,14,14,11,13,11,10,20,49,49,52,57,56
2024,2,21,59,59,57,55,58,40,24,27,17,15,15,12,16,15,12,9,10,4,10,30,47,47,31,19
2024,2,22,16,11,13,14,14,16,20,27,29,18,16,11,11,11,6,9,6,2,5,29,46,39,43,45
2024,2,23,40,37,58,44,34,15,23,48,64,69,75,53,61,64,62,59,49,57,28,13,29,57,37,26
2024,2,24,23,11,10,10,13,10,13,64,76,81,81,85,66,63,51,52,58,10,55,32,32,33,55,45
2024,2,25,38,53,22,17,40,58,139,131,115,88,81,61,61,54,41,31,47,12,20,22,18,14,10,11
2024,2,26,12,13,33,49,55,57,53,50,57,45,33,23,13,16,26,35,50,55,37,58,24,10,10,10
2024,2,27,10,10,12,16,30,28,32,44,41,48,42,43,43,57,56,60,58,2,2,10,29,48,27,35
2024,2,28,44,42,56,58,44,32,43,73,70,50,49,52,52,43,26,19,6,13,13,12,17,33,33,36
2024,2,29,48,58,59,57,56,56,57,53,54,60,53,46,30,19,14,11,6,11,9,14,46,52,28,19
2024,3,1,40,37,58,44,34,15,23,48,64,69,75,53,61,64,62,59,49,57,28,13,29,57,37,26
2024,3,2,23,11,10,10,13,10,13,64,76,81,81,85,66,63,51,52,58,10,55,32,32,33,55,45
2024,3,3,38,53,22,17,40,58,139,131,115,88,81,61,61,54,41,31,47,12,20,22,18,14,10,11
2024,3,4,12,13,33,49,55,57,53,50,57,45,33,23,13,16,26,35,50,55,37,58,24,10,10,10
2024,3,5,10,10,12,16,30,28,32,44,41,48,42,43,43,57,56,60,58,2,2,10,29,48,27,35
2024,3,6,44,42,56,58,44,32,43,73,70,50,49,52,52,43,26,19,6,13,13,12,17,33,33,36
2024,3,7,48,58,59,57,56,56,57,53,54,60,53,46,30,19,14,11,6,11,9,14,46,52,28,19
2024,3,8,13,10,10,10,10,10,13,15,54,61,59,57,38,40,51,51,56,37,27,37,43,56,11,10
2024,3,9,10,10,10,14,16,13,123,123,49,55,79,73,56,61,65,63,79,44,57,50,59,45,53,55
2024,3,10,51,39,45,37,47,49,49,65,83,70,89,58,59,65,69,54,63,43,57,48,36,36,36,36
2024,3,11,38,25,16,13,10,10,29,15,18,18,19,23,32,45,47,51,52,49,34,23,10,10,10,10
2024,3,12,10,10,10,10,10,10,13,15,18,18,18,14,15,20,21,42,31,27,42,42,45,48,38,52
2024,3,13,57,59,56,49,44,48,46,56,58,50,49,52,52,52,55,24,48,33,10,40,37,31,38,31
2024,3,14,32,37,33,25,32,17,128,89,89,76,49,53,53,52,36,24,39,7,2,2,2,2,4,11
2024,3,15,6,16,27,30,39,51,55,52,54,50,50,56,72,68,58,50,58,4,2,30,32,13,10,17
2024,3,16,16,24,27,15,17,16,21,20,20,18,15,11,11,16,30,31,34,24,27,23,59,37,36,34
2024,3,17,36,31,32,37,45,47,55,55,56,49,43,36,33,55,52,35,37,35,21,32,4,23,38,45
2024,3,18,31,39,43,55,56,57,58,58,57,59,58,59,47,45,52,47,32,12,22,31,55,53,40,45
2024,3,19,39,39,39,38,36,38,40,52,69,73,59,59,52,51,59,58,55,55,36,38,55,23,40,56
2024,3,20,43,34,28,42,44,33,29,51,52,77,76,52,52,52,38,36,26,2,6,10,27,9,27,44
2024,3,21,29,29,35,32,11,12,51,69,78,75,74,74,82,78,80,62,63,17,11,27,15,20,34,34
2024,3,22,20,15,10,13,10,12,31,32,54,52,52,52,52,52,35,19,17,3,2,2,9,13,7,8
2024,3,23,12,15,8,8,8,12,15,65,51,76,76,59,52,59,47,23,19,16,14,12,11,20,34,43
2024,3,24,40,31,27,12,11,10,14,33,50,49,50,46,17,15,28,18,12,46,34,37,45,52,58,56
2024,3,25,58,55,57,57,59,59,55,60,43,19,18,16,13,11,6,9,9,3,4,30,41,32,37,33
2024,3,26,38,31,27,26,31,34,40,44,51,57,59,46,41,46,47,39,44,57,55,45,24,16,22,34
2024,3,27,42,49,24,15,17,19,20,26,20,25,25,42,47,52,57,43,60,33,17,13,12,32,29,29
2024,3,28,32,38,38,14,5,11,15,13,49,50,56,64,58,59,51,22,14,30,41,53,58,51,41,40
2024,3,29,25,21,27,27,46,35,28,22,39,37,43,45,58,58,55,56,55,17,11,20,19,3,4,9
2024,3,30,34,59,56,40,41,42,66,95,92,92,84,69,69,59,49,35,37,15,13,19,52,51,42,40
2024,3,31,41,41,43,48,46,120,121,127,76,87,73,64,63,45,34,49,39,2,7,49,36,43,38,23
2024,4,1,14,9,2,2,2,127,44,46,53,49,80,53,54,63,55,43,26,56,57,51,47,37,45,58
2024,4,2,59,56,30,20,17,30,37,42,71,68,55,63,51,24,20,12,12,24,17,20,17,58,57,58
2024,4,3,33,41,56,44,54,55,93,91,89,98,94,60,53,53,56,41,22,2,2,5,28,45,43,41
2024,4,4,55,57,57,59,53,73,71,86,85,77,77,76,75,70,53,39,47,53,38,46,48,41,49,55
2024,4,5,50,25,26,33,25,16,41,54,53,49,39,25,16,19,19,24,33,33,27,35,58,38,33,38
2024,4,6,55,53,51,45,43,124,104,106,84,98,82,67,57,58,58,54,49,46,36,42,52,57,58,57
2024,4,7,59,56,58,56,55,118,122,122,48,71,71,46,51,53,48,36,28,15,23,19,48,55,28,15
2024,4,8,20,13,10,28,13,12,30,64,55,50,81,51,53,58,51,41,41,51,57,56,59,55,37,21
2024,4,9,25,21,17,13,13,15,15,15,18,19,19,16,22,25,28,40,48,53,48,46,52,43,44,39
2024,4,10,32,24,16,19,17,13,12,12,15,15,15,11,11,11,7,12,12,14,6,4,15,42,53,59
2024,4,11,53,44,39,45,53,58,49,54,75,59,56,21,19,21,27,45,57,56,53,59,58,57,54,43
2024,4,12,39,42,46,51,52,50,52,51,57,58,60,49,47,40,49,19,19,2,14,15,22,28,32,44
2024,4,13,44,50,52,46,44,46,76,103,100,97,99,77,79,75,74,52,50,53,9,4,11,17,32,27
2024,4,14,27,31,25,30,24,55,74,84,81,83,83,80,53,51,39,38,22,10,29,22,46,40,46,51
2024,4,15,59,42,42,40,42,57,60,59,59,47,60,51,41,35,34,33,32,70,43,48,57,54,56,49
2024,4,16,38,44,46,43,48,45,49,56,56,58,57,57,56,58,59,59,43,42,35,22,37,22,22,34
2024,4,17,42,51,55,59,58,60,66,65,67,88,88,77,77,74,76,75,67,56,56,59,45,31,37,32
2024,4,18,34,40,41,49,57,53,48,45,60,82,84,75,71,74,55,51,51,56,56,38,44,51,10,26
2024,4,19,19,25,11,24,32,18,36,52,77,75,64,50,51,43,26,35,19,43,2,2,2,16,12,43
2024,4,20,57,19,27,40,40,44,46,48,56,60,60,57,55,56,50,49,46,50,43,38,36,43,44,44
2024,4,21,39,37,46,42,51,60,51,48,21,15,15,11,11,11,6,6,9,11,3,11,28,49,57,55
2024,4,22,54,58,58,57,59,54,53,59,42,18,15,11,11,11,6,6,9,11,6,15,15,12,53,55
2024,4,23,56,58,59,57,44,45,51,57,48,35,30,19,13,11,6,10,12,11,4,17,44,50,38,27
2024,4,24,47,47,48,53,56,65,65,65,77,75,61,48,47,47,44,46,41,30,40,48,51,48,41,36
2024,4,25,40,40,40,36,35,37,44,52,50,51,78,60,60,55,38,41,53,36,28,22,30,36,16,8
2024,4,26,9,39,56,57,57,60,55,59,74,75,74,63,61,58,49,67,56,48,44,51,39,33,33,40
2024,4,27,40,37,40,44,44,47,47,58,76,36,20,14,19,22,26,26,20,12,25,22,2,23,12,13
2024,4,28,30,37,39,55,57,59,64,72,69,78,75,58,51,42,33,38,24,11,2,2,5,2,2,2
2024,4,29,2,9,12,11,41,49,60,82,88,85,78,81,53,58,67,64,49,50,50,46,59,55,50,43
2024,4,30,42,51,55,56,54,70,85,95,85,86,76,49,52,59,55,35,36,47,5,2,2,2,2,2
2024,5,1,2,2,3,10,10,18,32,64,49,52,49,11,11,11,6,6,9,13,12,6,21,8,13,9
2024,5,2,14,18,21,17,20,30,42,75,65,68,46,34,25,23,19,13,27,23,13,30,24,40,54,37
2024,5,3,47,27,20,29,28,29,34,51,73,60,60,60,51,40,29,10,19,27,25,23,27,27,35,31
2024,5,4,16,10,14,31,58,55,52,62,58,57,57,56,54,55,55,51,42,34,23,40,49,41,54,58
2024,5,5,58,59,59,59,57,57,56,59,52,42,34,30,21,24,20,16,19,11,2,2,2,2,2,2
2024,5,6,2,2,3,12,14,18,20,33,17,17,17,15,22,17,12,17,25,41,48,50,54,54,55,57
2024,5,7,55,55,57,58,54,57,66,78,55,56,59,51,51,50,36,19,9,15,11,14,28,25,7,2
2024,5,8,23,40,30,25,2,12,43,63,49,52,49,11,11,11,6,6,9,21,21,13,21,24,39,46
2024,5,9,58,45,36,34,33,36,43,50,68,69,56,57,57,57,55,60,57,70,58,56,55,41,42,42
2024,5,10,36,30,26,32,26,22,36,47,50,21,30,25,34,38,40,40,55,41,39,54,43,10,20,56
2024,5,11,44,32,30,59,56,56,62,66,66,45,49,57,59,60,54,50,49,48,48,49,51,59,59,48
2024,5,12,34,31,34,44,57,59,57,60,48,33,21,19,18,11,12,15,11,11,2,2,2,2,2,2
2024,5,13,2,6,10,7,4,21,45,38,15,17,20,11,11,11,6,6,9,13,8,28,26,32,41,50
2024,5,14,35,29,30,48,56,56,56,58,58,58,23,14,15,17,27,17,11,49,58,52,49,52,53,48
2024,5,15,57,55,54,55,54,50,55,57,53,54,48,45,46,49,52,49,44,39,30,28,31,31,18,18
2024,5,16,17,17,16,18,18,18,16,14,17,17,15,11,11,11,6,6,9,15,9,6,4,6,5,20
2024,5,17,24,24,14,7,7,15,17,17,15,15,15,11,13,14,9,7,9,14,10,12,12,10,7,16
2024,5,18,10,19,13,21,17,21,21,21,15,15,15,11,11,15,12,10,11,12,5,7,15,29,35,43
2024,5,19,50,51,53,55,47,49,33,49,50,53,40,18,17,12,6,26,17,15,11,8,11,29,38,48
2024,5,20,48,34,20,10,12,18,17,19,49,49,49,52,52,44,38,38,25,53,8,10,13,20,16,28
2024,5,21,27,36,52,59,54,57,45,48,36,38,34,43,13,15,17,9,35,49,45,54,58,52,40,43
2024,5,22,53,59,36,43,52,56,56,60,56,59,58,55,56,58,52,50,34,63,2,12,2,2,2,31
2024,5,23,36,57,58,51,44,46,59,35,50,60,47,56,49,42,34,32,25,29,27,19,18,12,12,17
2024,5,24,21,13,10,11,7,44,31,32,49,49,49,49,43,43,43,35,23,75,15,11,4,14,11,24
2024,5,25,8,2,40,40,47,99,62,46,49,53,50,53,58,44,30,43,21,33,29,50,31,48,49,59
2024,5,26,44,54,38,42,28,21,30,17,15,23,19,12,31,31,31,27,22,22,8,14,24,22,7,10
2024,5,27,9,14,3,5,15,20,17,16,16,16,36,60,59,44,28,17,17,30,42,58,57,47,58,57
2024,5,28,57,57,54,56,57,58,60,27,18,19,18,16,17,27,32,34,53,42,30,56,52,44,42,43
2024,5,29,56,57,51,45,42,38,43,55,56,58,59,51,43,33,34,36,32,18,24,28,28,46,59,59
2024,5,30,58,54,52,56,57,61,57,65,60,61,53,52,39,41,41,36,34,46,57,55,59,40,25,23
2024,5,31,14,10,12,10,16,27,38,42,38,39,43,49,53,53,39,54,56,60,59,54,58,50,46,44
2024,6,1,28,21,24,31,28,17,20,36,41,55,57,42,38,44,44,40,36,12,2,2,2,13,12,2
2024,6,2,13,26,28,21,19,13,12,15,15,15,15,11,11,11,6,6,9,11,2,8,27,53,56,54
2024,6,3,54,57,55,54,51,51,47,48,56,59,61,33,29,29,25,29,42,11,5,21,43,57,57,52
2024,6,4,48,40,49,58,58,58,49,26,15,15,15,13,12,11,11,17,30,26,38,56,43,57,59,58
2024,6,5,58,59,53,45,34,17,19,12,15,15,17,11,16,39,55,13,15,26,17,46,45,45,49,48
2024,6,6,51,49,38,47,57,59,60,39,17,15,15,11,11,14,15,12,14,11,2,3,3,23,23,22
2024,6,7,30,45,53,40,44,43,60,58,60,56,40,40,43,46,51,54,56,58,57,58,59,57,58,56
2024,6,8,51,49,38,42,52,55,57,50,26,15,15,11,11,11,11,6,9,11,2,2,2,2,2,2
2024,6,9,2,2,3,3,15,57,51,36,22,16,15,43,43,43,43,35,19,11,8,2,2,17,31,21
2024,6,10,23,15,14,50,60,60,59,53,40,34,24,45,15,53,13,9,11,11,9,40,51,47,56,29
2024,6,11,13,5,16,48,60,56,53,45,45,53,58,56,58,57,56,54,46,59,57,45,42,51,58,53
2024,6,12,41,53,52,56,58,56,58,36,24,15,15,11,11,11,11,6,9,24,7,4,14,38,44,36
2024,6,13,43,55,59,58,57,56,51,49,52,56,49,35,34,33,18,10,12,6,2,2,2,2,3,3
2024,6,14,2,2,2,3,14,15,30,29,49,49,15,11,11,11,11,6,6,6,2,2,21,15,3,2
2024,6,15,3,2,2,2,12,12,12,12,15,15,15,11,11,11,11,6,23,12,28,35,35,58,43,52
2024,6,16,43,38,45,42,33,42,36,44,76,49,50,16,49,43,11,7,52,49,55,55,8,34,29,37
2024,6,17,27,58,56,52,36,38,31,39,34,29,25,18,19,24,33,27,28,24,20,26,34,24,22,19
2024,6,18,21,26,18,14,15,15,15,17,26,28,36,36,46,55,57,56,54,56,58,58,57,54,51,47
2024,6,19,30,36,35,45,45,46,44,50,55,61,51,34,17,22,41,50,48,41,37,17,37,20,15,15
