Year,Month,Day,Period,313_rtpv_3,118_rtpv,118_rtpv_6,313_rtpv_9,320_rtpv,118_rtpv_8,313_rtpv_12,313_rtpv,313_rtpv_6,313_rtpv_11,320_rtpv_2,313_rtpv_2,320_rtpv_4,313_rtpv_10,213_rtpv,313_rtpv_7,308_rtpv,313_rtpv_5,313_rtpv_13,118_rtpv_7,320_rtpv_3,118_rtpv_4,320_rtpv_5,118_rtpv_3,118_rtpv_5,118_rtpv_2,313_rtpv_4,118_rtpv_10,320_rtpv_6,313_rtpv_8,118_rtpv_9
2024,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,8,8.1,1.6,1.5,9.6,4.3,1.9,4.3,13.4,9.1,10.0,4.3,9.6,4.0,9.7,2.3,9.6,13.3,9.2,4.5,1.8,4.5,1.6,4.6,1.7,1.6,1.6,8.7,0.8,1.6,8.8,1.6
2024,1,1,9,21.8,3.7,3.6,23.6,10.6,4.2,10.5,36.0,23.5,25.2,10.5,23.1,9.9,24.0,5.0,23.7,35.9,22.8,10.5,4.1,10.5,3.7,11.0,3.7,3.5,3.7,23.1,1.7,3.6,23.7,3.8
2024,1,1,10,32.3,5.0,5.0,34.6,15.5,6.1,15.5,53.0,33.1,37.0,15.5,33.9,14.5,34.8,7.0,34.5,52.9,33.6,15.1,6.0,15.2,5.1,16.0,5.1,4.9,5.0,34.2,2.5,5.0,34.1,5.5
