Year,Month,Day,Period,309_wind,122_wind,303_wind,317_wind
2024,1,1,1,142.8,713.2,480.8,795.1
2024,1,1,2,139.1,712.8,634.9,794.4
2024,1,1,3,145.3,708.4,487.3,773.6
2024,1,1,4,144.8,710.7,432.7,767.3
2024,1,1,5,137.1,701.4,407.9,752.2
2024,1,1,6,98.6,682.5,440.2,719.4
2024,1,1,7,62.2,614.7,377.3,655.3
2024,1,1,8,47.3,517.7,199.3,594.6
2024,1,1,9,48.9,426.6,110.6,579.1
2024,1,1,10,30.7,274.2,3.6,466.8
2024,1,1,11,27.4,93.0,2.4,301.4
2024,1,1,12,60.9,6.3,56.2,110.7
2024,1,1,13,20.4,3.8,91.5,78.9
2024,1,1,14,1.6,1.1,103.0,107.9
2024,1,1,15,0.0,0.0,39.7,22.3
2024,1,1,16,2.6,0.0,87.7,24.6
2024,1,1,17,37.9,0.9,92.3,10.8
2024,1,1,18,46.9,276.3,89.4,243.2
2024,1,1,19,24.0,272.9,90.4,375.2
2024,1,1,20,24.0,345.6,81.1,568.4
2024,1,1,21,27.4,411.7,172.9,636.1
2024,1,1,22,6.5,376.6,326.9,719.2
2024,1,1,23,1.3,561.3,256.7,734.9
2024,1,1,24,0.1,568.4,141.1,729.1
2024,1,2,1,0.8,630.0,52.6,757.1
2024,1,2,2,2.7,672.3,17.4,753.4
2024,1,2,3,11.4,661.3,8.9,734.3
2024,1,2,4,18.3,654.0,7.0,724.2
2024,1,2,5,23.6,654.4,11.6,725.7
2024,1,2,6,24.6,666.4,23.3,748.0
2024,1,2,7,10.3,686.7,16.1,764.3
2024,1,2,8,5.6,689.3,20.5,764.3
2024,1,2,9,3.7,683.8,35.2,765.3
2024,1,2,10,0.8,698.6,33.4,781.5
2024,1,2,11,0.0,713.5,22.9,785.8
2024,1,2,12,0.0,710.3,31.8,776.7
2024,1,2,13,0.0,702.2,79.6,752.7
2024,1,2,14,0.0,699.2,82.8,715.3
2024,1,2,15,0.0,686.9,49.0,730.0
2024,1,2,16,0.0,695.4,98.9,731.5
2024,1,2,17,0.6,712.3,219.6,747.7
2024,1,2,18,1.4,712.4,89.0,754.9
2024,1,2,19,24.8,712.2,47.5,772.0
2024,1,2,20,25.3,711.2,0.0,779.9
2024,1,2,21,13.2,711.9,2.9,747.8
2024,1,2,22,10.0,696.7,175.2,749.2
2024,1,2,23,35.7,689.7,333.2,786.5
2024,1,2,24,51.7,666.6,343.0,789.9
2024,1,3,1,26.7,658.3,429.0,779.2
2024,1,3,2,82.8,688.5,563.7,788.5
2024,1,3,3,98.4,686.9,781.3,781.2
2024,1,3,4,132.4,675.8,802.1,761.7
2024,1,3,5,80.0,680.5,696.5,768.4
2024,1,3,6,108.9,677.8,658.7,754.6
2024,1,3,7,107.8,666.2,776.2,721.8
2024,1,3,8,106.7,694.4,790.7,671.1
2024,1,3,9,116.3,690.1,721.2,563.3
2024,1,3,10,83.0,690.3,639.7,551.0
2024,1,3,11,65.0,647.2,567.8,619.9
2024,1,3,12,114.7,698.7,567.8,680.2
2024,1,3,13,58.8,523.4,598.4,568.7
2024,1,3,14,86.1,500.1,688.7,575.8
2024,1,3,15,82.9,481.8,585.5,535.6
2024,1,3,16,72.8,491.6,524.2,465.0
2024,1,3,17,73.1,177.5,537.6,526.7
2024,1,3,18,79.0,10.9,329.9,87.5
2024,1,3,19,96.5,30.1,286.6,123.8
2024,1,3,20,92.5,96.9,294.6,264.8
2024,1,3,21,118.7,389.5,303.2,400.4
2024,1,3,22,113.8,404.6,330.4,513.5
2024,1,3,23,120.2,354.7,315.2,497.4
2024,1,3,24,79.7,414.1,357.0,219.7
