Generator category,Fuel,Start Fuel,Region,scenario,total.cap.x.units,avg.capacity,total.capacity,min.capacity,max.capacity,sd.capacity,avg.units,total.units,min.units,max.units,sd.units
Coal/Steam,Coal/Steam,NA,1,No scenario,1119,139.875,1119,76,350,93.4718253959831,1,8,1,1,0
Hydro,Hydro,NA,1,No scenario,300,50,300,50,50,0,1,6,1,1,0
NG/CC,NG/CC,NA,1,No scenario,710,355,710,355,355,0,1,2,1,1,0
NG/CT,NG/CT,NA,1,No scenario,385,55,385,55,55,0,1,7,1,1,0
Nuclear,Nuclear,NA,1,No scenario,400,400,400,400,400,NA,1,1,1,1,NA
Oil/CT,Oil/CT,NA,1,No scenario,80,20,80,20,20,0,1,4,1,1,0
Oil/Steam,Oil/Steam,NA,1,No scenario,24,12,24,12,12,0,1,2,1,1,0
PV,PV,NA,1,No scenario,404,40.4,404,25.3,93.6,24.5099526269999,1,10,1,1,0
RTPV,RTPV,NA,1,No scenario,94.1,9.41,94.1,4.5,11.8,1.94904535036458,1,10,1,1,0
SynchCond,SynchCond,NA,1,No scenario,0,0,0,0,0,NA,1,1,1,1,NA
Wind,Wind,NA,1,No scenario,713.5,713.5,713.5,713.5,713.5,NA,1,1,1,1,NA
Coal/Steam,Coal/Steam,NA,2,No scenario,1043,149,1043,76,350,97.0360757656656,1,7,1,1,0
Hydro,Hydro,NA,2,No scenario,500,50,500,50,50,0,1,10,1,1,0
NG/CC,NG/CC,NA,2,No scenario,1065,355,1065,355,355,0,1,3,1,1,0
NG/CT,NG/CT,NA,2,No scenario,495,55,495,55,55,0,1,9,1,1,0
Oil/CT,Oil/CT,NA,2,No scenario,80,20,80,20,20,0,1,4,1,1,0
PV,PV,NA,2,No scenario,125.1,125.1,125.1,125.1,125.1,NA,1,1,1,1,NA
RTPV,RTPV,NA,2,No scenario,13.2,13.2,13.2,13.2,13.2,NA,1,1,1,1,NA
SynchCond,SynchCond,NA,2,No scenario,0,0,0,0,0,NA,1,1,1,1,NA
Coal/Steam,Coal/Steam,NA,3,No scenario,155,155,155,155,155,NA,1,1,1,1,NA
Hydro,Hydro,NA,3,No scenario,200,50,200,50,50,0,1,4,1,1,0
NG/CC,NG/CC,NA,3,No scenario,1775,355,1775,355,355,0,1,5,1,1,0
NG/CT,NG/CT,NA,3,No scenario,605,55,605,55,55,0,1,11,1,1,0
Oil/CT,Oil/CT,NA,3,No scenario,80,20,80,20,20,0,1,4,1,1,0
Oil/Steam,Oil/Steam,NA,3,No scenario,60,12,60,12,12,0,1,5,1,1,0
PV,PV,NA,3,No scenario,1025.4,73.2428571428571,1025.4,49.7,188.2,38.4631234838237,1,14,1,1,0
RTPV,RTPV,NA,3,No scenario,1054.1,52.705,1054.1,9.4,101.7,25.7005524208497,1,20,1,1,0
SynchCond,SynchCond,NA,3,No scenario,0,0,0,0,0,NA,1,1,1,1,NA
Wind,Wind,NA,3,No scenario,1794.4,598.133333333333,1794.4,148.3,847,390.302604825196,1,3,1,1,0
