name,Type,Region,Zone
Abercrombie Point_1,Biomass,NBSO,NBSO
Agrilectric Power Partners Ltd_1,Biomass,MISO-9,MISO
Alexandria Energy Center_1,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_1,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_1A,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_2,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_3,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_4,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_5,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_6,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_7,Biomass,ISO-NE,ISO-NE
Androscoggin Mill_8,Biomass,ISO-NE,ISO-NE
Bay Front_1,Biomass,MISO-1,MISO
Bay Front_1A,Biomass,MISO-1,MISO
Bay Front_2,Biomass,MISO-1,MISO
Beaver Wood Joint Venture_1,Biomass,ISO-NE,ISO-NE
Boralex Ashland_1,Biomass,NBSO,NBSO
Boralex Beaver Livermore Falls_1,Biomass,ISO-NE,ISO-NE
Boralex Chateaugay Power Station_1,Biomass,NYISO A-F,NYISO
Boralex Fort Fairfield_1,Biomass,NBSO,NBSO
Boralex Sherman LLC_1,Biomass,ISO-NE,ISO-NE
Boralex Stratton Energy_1,Biomass,ISO-NE,ISO-NE
Boralex Thunder Bay_1,Biomass,IESO,IESO
Boralex Thunder Bay_1A,Biomass,IESO,IESO
Boralex Thunder Bay_2,Biomass,IESO,IESO
Bridgewater Power LP_1,Biomass,ISO-NE,ISO-NE
Brompton Mill_1,Biomass,HQ,HQ
Brompton Mill_2,Biomass,HQ,HQ
BROOKLYN ENERGY CENTRE_1,Biomass,NBSO,NBSO
BROOKLYN ENERGY CENTRE_2,Biomass,NBSO,NBSO
BROOKLYN ENERGY CENTRE_3,Biomass,NBSO,NBSO
BROOKLYN ENERGY CENTRE_4,Biomass,NBSO,NBSO
Cadillac Renewable Energy_1,Biomass,MISO-7,MISO
Calstock Power_1,Biomass,IESO,IESO
Chapais Energy Centre_1,Biomass,HQ,HQ
Covington Facility_1,Biomass,PJM-ROR,PJM
Cowee_1,Biomass,NYISO A-F,NYISO
Craven County Wood Energy LP_1,Biomass,SERC-Duke,SERC
DG Whitefield LLC_1,Biomass,ISO-NE,ISO-NE
Dolbeau_1,Biomass,HQ,HQ
Dolbeau_1A,Biomass,HQ,HQ
DOM_1,Biomass,IESO,IESO
DOM_1A,Biomass,IESO,IESO
DOM_2,Biomass,IESO,IESO
DOMTAR_1,Biomass,IESO,IESO
Fibrominn Biomass Power Plant_1,Biomass,MISO-1,MISO
Finch Paper_3,Biomass,NYISO A-F,NYISO
Flambeau River Papers_1,Biomass,MISO-1,MISO
French Island_1A,Biomass,MISO-1,MISO
French Island_2A,Biomass,MISO-1,MISO
Gatineau_1,Biomass,HQ,HQ
Genesee Power Station LP_1,Biomass,MISO-7,MISO
Georgia Pacific Port Hudson_1,Biomass,MISO-9,MISO
Grand-Mere_1,Biomass,HQ,HQ
Grand-Mere_2,Biomass,HQ,HQ
Grand-Mere_3,Biomass,HQ,HQ
Grayling Generating Station_1,Biomass,MISO-7,MISO
Greenville Steam_1,Biomass,ISO-NE,ISO-NE
Harden Furniture_1,Biomass,NYISO A-F,NYISO
Hillman Power LLC_1,Biomass,MISO-7,MISO
Indeck Jonesboro Energy Center_1,Biomass,ISO-NE,ISO-NE
Indeck Jonesboro Energy Center_1A,Biomass,ISO-NE,ISO-NE
Indeck Jonesboro Energy Center_2,Biomass,ISO-NE,ISO-NE
Indeck West Enfield Energy Center_1,Biomass,ISO-NE,ISO-NE
Inland Paperboard Packaging Rome_1,Biomass,SERC-SOCO_GA,SERC
International Paper Eastover Facility_1,Biomass,SERC-Duke,SERC
International Paper Eastover Facility_2,Biomass,SERC-Duke,SERC
International Paper Franklin Mill_1,Biomass,PJM-ROR,PJM
International Paper Kaukauna Mill_1,Biomass,MISO-2,MISO
International Paper Kaukauna Mill_2,Biomass,MISO-2,MISO
International Paper Kaukauna Mill_3,Biomass,MISO-2,MISO
International Paper Kaukauna Mill_4,Biomass,MISO-2,MISO
International Paper Pensacola_1,Biomass,SERC-SOCO_FL,SERC
J C McNeil_1,Biomass,ISO-NE,ISO-NE
J-Massachusetts Division_1,Biomass,ISO-NE,ISO-NE
John H Warden_1,Biomass,MISO-2,MISO
Johnsonburg Mill_1,Biomass,PJM-MAAC,PJM
Koda Energy_1,Biomass,MISO-1,MISO
Koppers Susquehanna Plant_1,Biomass,PJM-MAAC,PJM
Lavalley Lumber LLC_1,Biomass,ISO-NE,ISO-NE
Lincoln Paper & Tissue_1,Biomass,ISO-NE,ISO-NE
Lyonsdale Biomass LLC_1,Biomass,NYISO A-F,NYISO
M L Hibbard_1,Biomass,MISO-1,MISO
M L Hibbard_2,Biomass,MISO-1,MISO
Madison Plant (PERPET)_1,Biomass,FRCC,FRCC
