name,Type,Region,Zone
150MileHouse,Other,BCHA,WECC
8MileCanyon,Wind,BPAT,WECC
Abel1,Gas CT,SRP,WECC
Abel2,Gas CT,SRP,WECC
Abel3,Gas CT,SRP,WECC
Abel4,Gas CT,SRP,WECC
Abel5,Gas CT,SRP,WECC
Abel6,Gas CT,SRP,WECC
Abel7,Gas CT,SRP,WECC
Abel8,Gas CT,SRP,WECC
Abel9,Gas CT,SRP,WECC
Aberdeen,Biomass,BPAT,WECC
Aberfeldie2-1,Hydro,BCHA,WECC
Aberfeldie2-2,Hydro,BCHA,WECC
Aberfeldie2-3,Hydro,BCHA,WECC
Abiquiu1,Hydro,PNM,WECC
Abiquiu2,Hydro,PNM,WECC
Abiquiu3,Hydro,PNM,WECC
AccionaAB,Wind,AESO,WECC
ACE-Cogen,CHP-QF,CISC,WECC
Added_PV_Storage_6hr,Storage,CISC,WECC
AdelantoSolar,PV,CISC,WECC
AESO_Reserve,Other,AESO,WECC
AESO-P+G,Gas CT,AESO,WECC
AFA_Solar_Farm,PV,WACM,WECC
AftonCC-Total,Gas CC,PNM,WECC
AgnewsCC-Total,CHP-QF,CIPV,WECC
Agua_Fria_PV,PV,SRP,WECC
Agua_Mansa,Gas CT,CISC,WECC
AguaCalienteSolar1,PV,AZPS,WECC
AguaCalienteSolar2,PV,AZPS,WECC
AguaCalienteSolar3,PV,AZPS,WECC
AguaFria1,Other,SRP,WECC
AguaFria2,Other,SRP,WECC
AguaFria3,Other,SRP,WECC
AguaFria4,Gas CT,SRP,WECC
AguaFria5,Gas CT,SRP,WECC
AguaFria6,Gas CT,SRP,WECC
AGWishon1,Hydro,CIPV,WECC
AGWishon2,Hydro,CIPV,WECC
AGWishon3,Hydro,CIPV,WECC
AGWishon4,Hydro,CIPV,WECC
Aidlin_Geo1,Geothermal,CIPV,WECC
Aidlin_Geo2,Geothermal,CIPV,WECC
AirLiquide,Gas CT,AESO,WECC
Airport5-1,Gas CT,PSCO,WECC
AirportIndustrial1,Other,PSCO,WECC
AirportIndustrial2,Other,PSCO,WECC
AirportIndustrial3,Other,PSCO,WECC
AirportIndustrial4,Other,PSCO,WECC
Akolkolex,Hydro,BCHA,WECC
Alameda1,Gas CT,CIPB,WECC
Alameda2,Gas CT,CIPB,WECC
Alamo_1,Hydro,CISC,WECC
AlamogordoPV,PV,PNM,WECC
AlbeniFalls1,Hydro,BPAT,WECC
AlbeniFalls2,Hydro,BPAT,WECC
AlbeniFalls3,Hydro,BPAT,WECC
Albuquerque_PV,PV,PNM,WECC
Alcova1,Hydro,WACM,WECC
Alcova2,Hydro,WACM,WECC
AldenBailey,Gas CT,BPAT,WECC
Alder11,Hydro,TPWR,WECC
Alder12,Hydro,TPWR,WECC
AlgonquinCC-Total,CHP-QF,CIPV,WECC
Almond1,Gas CT,TIDC,WECC
Almond2-2,Gas CT,TIDC,WECC
Almond2-3,Gas CT,TIDC,WECC
Almond2-4,Gas CT,TIDC,WECC
Alouette,Hydro,BCHA,WECC
ALPAC1,Biomass,AESO,WECC
ALPAC2,Biomass,AESO,WECC
ALPAC3,Biomass,AESO,WECC
ALPAC4,Biomass,AESO,WECC
Alpaugh50,PV,CIPV,WECC
AlpaughNorth,PV,CIPV,WECC
AlpineSolar,PV,CISC,WECC
Alta_PH1,Hydro,CIPV,WECC
Alta_PH2,Hydro,CIPV,WECC
Alta_Vista,CSP,CISC,WECC
AltaGasHarm_2,Gas CT,AESO,WECC
AltaMesaPhaseIVGEN1,Wind,CISC,WECC
Altamont_Bio2,Biomass,CIPB,WECC
Altamont_Bio3,Biomass,CIPB,WECC
Altamont_Bio4,Biomass,CIPB,WECC
Altamont_Midway,Wind,CIPV,WECC
Altamont1,Biomass,CIPB,WECC
AltamontPwrAgg,Wind,CIPV,WECC
AltamontPwrPart,Wind,CIPB,WECC
AltaW1,Wind,CISC,WECC
AltaW2,Wind,CISC,WECC
AltaW3,Wind,CISC,WECC
AltaW4,Wind,CISC,WECC
AltaW5,Wind,CISC,WECC
AltaW6,Wind,CISC,WECC
AltaW7_PinyonP1,Wind,CISC,WECC
AltaW8,Wind,CISC,WECC
AltaW9_PinyonP2,Wind,CISC,WECC
AmedeeWineagle1,Geothermal,CIPV,WECC
AmedeeWineagle2,Geothermal,CIPV,WECC
Ameresco1,Biomass,CIPV,WECC
AmericanCanyon1,Biomass,CIPV,WECC
AmericanCanyon2,Biomass,CIPV,WECC
AmericanFalls1,Hydro,IPFE,WECC
AmericanFalls2,Hydro,IPFE,WECC
AmericanFalls3,Hydro,IPFE,WECC
AmesHydro,Hydro,PSCO,WECC
AmonixSolarPower,PV,TEPC,WECC
AmonixSwan,PV,TEPC,WECC
Amp_Chow_Bio,Biomass,CIPV,WECC
Anaheim_GT,Gas CT,CISC,WECC
Anderson,Biomass,CIPV,WECC
AndersonRanch1,Hydro,IPTV,WECC
AndersonRanch2,Hydro,IPTV,WECC
Angels,Hydro,CIPV,WECC
AnheuserBusch,PV,CIPV,WECC
AntelopeValleySolar1,PV,CISC,WECC
AntelopeValleySolar2,PV,CISC,WECC
ApacheCC-Total,Gas CC,WALC,WECC
ApacheGT2,Gas CT,WALC,WECC
