name,TypeSpecific,Type,Region,Zone
Abel1,CT-NatGas-Industrial,Gas CT,SRP,US
Abel2,CT-NatGas-Industrial,Gas CT,SRP,US
Abel3,CT-NatGas-Industrial,Gas CT,SRP,US
Abel4,CT-NatGas-Industrial,Gas CT,SRP,US
Abel5,CT-NatGas-Industrial,Gas CT,SRP,US
Abel6,CT-NatGas-Industrial,Gas CT,SRP,US
Abel7,CT-NatGas-Industrial,Gas CT,SRP,US
Abel8,CT-NatGas-Industrial,Gas CT,SRP,US
Abel9,CT-NatGas-Industrial,Gas CT,SRP,US
Agua_Fria_PV,SolarPV-Tracking,PV,SRP,US
AguaCalienteSolar1,SolarPV-NonTracking,PV,AZPS,US
AguaCalienteSolar2,SolarPV-NonTracking,PV,AZPS,US
AguaCalienteSolar3,SolarPV-NonTracking,PV,AZPS,US
AguaFria1,ST-NatGas,Other,SRP,US
AguaFria2,ST-NatGas,Other,SRP,US
AguaFria3,ST-NatGas,Other,SRP,US
AguaFria4,CT-NatGas-Industrial,Gas CT,SRP,US
AguaFria5,CT-NatGas-Industrial,Gas CT,SRP,US
AguaFria6,CT-NatGas-Industrial,Gas CT,SRP,US
AmonixSolarPower,SolarPV-Tracking,PV,TEPC,US
AmonixSwan,SolarPV-Tracking,PV,TEPC,US
ApacheCC-Total,CCWhole-NatGas-Industrial,Gas CC,WALC,US
ApacheGT2,CT-NatGas-Industrial,Gas CT,WALC,US
ApacheGT3,CT-NatGas-Industrial,Gas CT,WALC,US
ApacheGT4,CT-NatGas-Aero,Gas CT,WALC,US
ApacheST2,ST-Coal,Coal,WALC,US
ApacheST3,ST-Coal,Coal,WALC,US
APS_PVF_14010,Utility Scale PV,PV,AZPS,US
APS_PVT_14209,Utility Scale PV,PV,AZPS,US
ArizonaFalls,Hydro_ZeroK,Hydro,SRP,US
ArlingtonValleyPV1,SolarPV-NonTracking,PV,SRP,US
ArlingtonValleyPV2,SolarPV-Tracking,PV,SRP,US
ArlngtnVallyCC-Total,CCWhole-NatGas-Industrial,Gas CC,SRP,US
Astroenergy,SolarPV-Tracking,PV,TEPC,US
Avalon,SolarPV-NonTracking,PV,TEPC,US
Badger_1,SolarPV-Tracking,PV,AZPS,US
BlackMountain1,CT-NatGas-Aero,Gas CT,TEPC,US
BlackMountain2,CT-NatGas-Aero,Gas CT,TEPC,US
BluffviewCC-Total,CCWhole-NatGas-Aero,Gas CC,WALC,US
BowieCC1-Total,CCWhole-NatGas-Industrial,Gas CC,TEPC,US
BowieCC2-Total,CCWhole-NatGas-Industrial,Gas CC,TEPC,US
Cedar_Mountain,WT-Onshore,Wind,AZPS,US
ChinoSolarValey,SolarPV-Tracking,PV,AZPS,US
Cholla_1,ST-Coal,Coal,AZPS,US
Cholla_2,ST-Coal,Coal,AZPS,US
Cholla_3,ST-Coal,Coal,AZPS,US
Cholla_4,ST-Coal,Coal,AZPS,US
Coolidge01,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge02,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge03,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge04,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge05,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge06,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge07,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge08,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge09,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge10,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge11,CT-NatGas-Aero,Gas CT,SRP,US
Coolidge12,CT-NatGas-Aero,Gas CT,SRP,US
Copper_Crossing,SolarPV-Tracking,PV,SRP,US
Coronado_CO1,ST-Coal,Coal,SRP,US
Coronado_CO2,ST-Coal,Coal,SRP,US
Coronado1-1,ST-Coal,Coal,SRP,US
Costco_1,SolarPV-NonTracking,PV,TEPC,US
Cotton_Center,SolarPV-Tracking,PV,AZPS,US
CPB_UASTP_1,SolarPV-Tracking,PV,TEPC,US
Crosscut_CC5,Hydro_ZeroK,Hydro,SRP,US
CSP_APS_14226_SM14,CSP-TES,CSP-TES,AZPS,US
CSP_APS_14226_SM2,CSP-TES,CSP-TES,AZPS,US
CSP_APS_14226_OOS1,CSP-TES,CSP-TES,AZPS,US
CSP_APS_14226_OOS2,CSP-TES,CSP-TES,AZPS,US
Davis_Dam_1,Hydro_FixedDispatch,Hydro,WALC,US
Davis_Dam_2,Hydro_FixedDispatch,Hydro,WALC,US
Davis_Dam_3,Hydro_FixedDispatch,Hydro,WALC,US
Davis_Dam_4,Hydro_FixedDispatch,Hydro,WALC,US
Davis_Dam_5,Hydro_FixedDispatch,Hydro,WALC,US
Demoss_Petrie_1,CT-NatGas-Aero,Gas CT,TEPC,US
DesertBasinCC-Total,CCWhole-NatGas-Industrial,Gas CC,SRP,US
