name,TypeSpecific,Type,Region,Zone
150MileHouse,ST-Other,Other,BCHA,CAN
8MileCanyon,WT-Onshore,Wind,BPAT,PNW
Abel1,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel2,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel3,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel4,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel5,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel6,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel7,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel8,CT-NatGas-Industrial,Gas CT,SRP,AZ
Abel9,CT-NatGas-Industrial,Gas CT,SRP,AZ
Aberdeen,Bio-ST,Biomass,BPAT,PNW
Aberfeldie2-1,Hydro,Hydro,BCHA,CAN
Aberfeldie2-2,Hydro,Hydro,BCHA,CAN
Aberfeldie2-3,Hydro,Hydro,BCHA,CAN
Abiquiu1,Hydro_ZeroK,Hydro,PNM,NM
Abiquiu2,Hydro_ZeroK,Hydro,PNM,NM
Abiquiu3,Hydro_ZeroK,Hydro,PNM,NM
AccionaAB,WT-Onshore,Wind,AESO,CAN
ACE-Cogen,ST-Coal,CHP-QF,CISC,CA
Added_PV_Storage_6hr,Battery,Storage,CISC,CA
AdelantoSolar,SolarPV-NonTracking,PV,CISC,CA
AESO_Reserve,Other,Other,AESO,CAN
AESO-P+G,CT-NatGas-Industrial,Gas CT,AESO,CAN
AFA_Solar_Farm,SolarPV-Tracking,PV,WACM,COWY
AftonCC-Total,CCWhole-NatGas-Industrial,Gas CC,PNM,NM
AgnewsCC-Total,CCWhole-NatGas-Aero,CHP-QF,CIPV,CA
Agua_Fria_PV,SolarPV-Tracking,PV,SRP,AZ
Agua_Mansa,CT-NatGas-Aero,Gas CT,CISC,CA
AguaCalienteSolar1,SolarPV-NonTracking,PV,AZPS,AZ
AguaCalienteSolar2,SolarPV-NonTracking,PV,AZPS,AZ
AguaCalienteSolar3,SolarPV-NonTracking,PV,AZPS,AZ
AguaFria1,ST-NatGas,Other,SRP,AZ
AguaFria2,ST-NatGas,Other,SRP,AZ
AguaFria3,ST-NatGas,Other,SRP,AZ
AguaFria4,CT-NatGas-Industrial,Gas CT,SRP,AZ
AguaFria5,CT-NatGas-Industrial,Gas CT,SRP,AZ
AguaFria6,CT-NatGas-Industrial,Gas CT,SRP,AZ
AGWishon1,HydroRPS_FixedDispatch,Hydro,CIPV,CA
AGWishon2,HydroRPS_FixedDispatch,Hydro,CIPV,CA
AGWishon3,HydroRPS_FixedDispatch,Hydro,CIPV,CA
AGWishon4,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Aidlin_Geo1,Geo-BinaryCycle,Geothermal,CIPV,CA
Aidlin_Geo2,Geo-BinaryCycle,Geothermal,CIPV,CA
AirLiquide,CT-NatGas-Industrial,Gas CT,AESO,CAN
Airport5-1,CT-NatGas-Aero,Gas CT,PSCO,COWY
AirportIndustrial1,CT-OilDistillate,Other,PSCO,COWY
