name,Type,Region,Zone
101_3,Coal/Steam,1,1
101_4,Coal/Steam,1,1
102_3,Coal/Steam,1,1
102_4,Coal/Steam,1,1
115_3,Coal/Steam,1,1
116_1,Coal/Steam,1,1
123_2,Coal/Steam,1,1
123_3,Coal/Steam,1,1
201_3,Coal/Steam,2,2
202_3,Coal/Steam,2,2
202_4,Coal/Steam,2,2
216_1,Coal/Steam,2,2
223_1,Coal/Steam,2,2
223_2,Coal/Steam,2,2
223_3,Coal/Steam,2,2
316_1,Coal/Steam,3,3
122_1,Hydro,1,1
122_2,Hydro,1,1
122_3,Hydro,1,1
122_4,Hydro,1,1
122_5,Hydro,1,1
122_6,Hydro,1,1
201_4,Hydro,2,2
215_1,Hydro,2,2
215_2,Hydro,2,2
215_3,Hydro,2,2
222_1,Hydro,2,2
222_2,Hydro,2,2
222_3,Hydro,2,2
222_4,Hydro,2,2
222_5,Hydro,2,2
222_6,Hydro,2,2
322_1,Hydro,3,3
322_2,Hydro,3,3
322_3,Hydro,3,3
322_4,Hydro,3,3
107_1,NG/CC,1,1
118_1,NG/CC,1,1
213_3,NG/CC,2,2
218_1,NG/CC,2,2
221_1,NG/CC,2,2
313_1,NG/CC,3,3
318_1,NG/CC,3,3
321_1,NG/CC,3,3
323_1,NG/CC,3,3
323_2,NG/CC,3,3
113_1,NG/CT,1,1
113_2,NG/CT,1,1
113_3,NG/CT,1,1
113_4,NG/CT,1,1
123_1,NG/CT,1,1
123_4,NG/CT,1,1
123_5,NG/CT,1,1
207_1,NG/CT,2,2
207_2,NG/CT,2,2
213_1,NG/CT,2,2
213_2,NG/CT,2,2
215_4,NG/CT,2,2
215_5,NG/CT,2,2
223_4,NG/CT,2,2
223_5,NG/CT,2,2
223_6,NG/CT,2,2
301_3,NG/CT,3,3
301_4,NG/CT,3,3
302_3,NG/CT,3,3
302_4,NG/CT,3,3
307_1,NG/CT,3,3
307_2,NG/CT,3,3
315_6,NG/CT,3,3
315_7,NG/CT,3,3
315_8,NG/CT,3,3
322_5,NG/CT,3,3
322_6,NG/CT,3,3
121_1,Nuclear,1,1
101_1,Oil/CT,1,1
101_2,Oil/CT,1,1
102_1,Oil/CT,1,1
102_2,Oil/CT,1,1
201_1,Oil/CT,2,2
201_2,Oil/CT,2,2
202_1,Oil/CT,2,2
202_2,Oil/CT,2,2
301_1,Oil/CT,3,3
301_2,Oil/CT,3,3
302_1,Oil/CT,3,3
302_2,Oil/CT,3,3
115_1,Oil/Steam,1,1
115_2,Oil/Steam,1,1
315_1,Oil/Steam,3,3
315_2,Oil/Steam,3,3
315_3,Oil/Steam,3,3
315_4,Oil/Steam,3,3
315_5,Oil/Steam,3,3
101_pv,PV,1,1
101_pv_2,PV,1,1
101_pv_3,PV,1,1
101_pv_4,PV,1,1
102_pv,PV,1,1
102_pv_2,PV,1,1
103_pv,PV,1,1
104_pv,PV,1,1
113_pv,PV,1,1
119_pv,PV,1,1
215_pv,PV,2,2
310_pv,PV,3,3
310_pv_2,PV,3,3
312_pv,PV,3,3
313_pv,PV,3,3
313_pv_2,PV,3,3
314_pv,PV,3,3
314_pv_2,PV,3,3
314_pv_3,PV,3,3
314_pv_4,PV,3,3
319_pv,PV,3,3
320_pv,PV,3,3
324_pv,PV,3,3
324_pv_2,PV,3,3
324_pv_3,PV,3,3
118_rtpv,RTPV,1,1
118_rtpv_10,RTPV,1,1
118_rtpv_2,RTPV,1,1
118_rtpv_3,RTPV,1,1
118_rtpv_4,RTPV,1,1
118_rtpv_5,RTPV,1,1
118_rtpv_6,RTPV,1,1
118_rtpv_7,RTPV,1,1
118_rtpv_8,RTPV,1,1
118_rtpv_9,RTPV,1,1
213_rtpv,RTPV,2,2
308_rtpv,RTPV,3,3
313_rtpv,RTPV,3,3
313_rtpv_10,RTPV,3,3
313_rtpv_11,RTPV,3,3
313_rtpv_12,RTPV,3,3
313_rtpv_13,RTPV,3,3
313_rtpv_2,RTPV,3,3
313_rtpv_3,RTPV,3,3
313_rtpv_4,RTPV,3,3
313_rtpv_5,RTPV,3,3
313_rtpv_6,RTPV,3,3
313_rtpv_7,RTPV,3,3
313_rtpv_8,RTPV,3,3
313_rtpv_9,RTPV,3,3
320_rtpv,RTPV,3,3
320_rtpv_2,RTPV,3,3
320_rtpv_3,RTPV,3,3
320_rtpv_4,RTPV,3,3
320_rtpv_5,RTPV,3,3
320_rtpv_6,RTPV,3,3
114_1,SynchCond,1,1
214_1,SynchCond,2,2
314_1,SynchCond,3,3
122_wind,Wind,1,1
303_wind,Wind,3,3
309_wind,Wind,3,3
317_wind,Wind,3,3
104_csp,PV,1,1
