/ BEGIN,Objects,,,,,,,,
class,name,category,description,,,,,,
Report,Default Report,,,,,,,,
Report,Default Report_flatFiles,,,,,,,,
/ END,Objects,,,,,,,,
/ BEGIN,Attributes,,,,,,,,
name,class,attribute,value,,,,,,
Default Report,Report,Output Results by Day,-1,,,,,,
Default Report,Report,Output Results by Month,-1,,,,,,
Default Report,Report,Output Results by Fiscal Year,-1,,,,,,
Default Report_flatFiles,Report,Output Results by Day,-1,,,,,,
Default Report_flatFiles,Report,Output Results by Month,-1,,,,,,
Default Report_flatFiles,Report,Output Results by Fiscal Year,-1,,,,,,
/ END,Attributes,,,,,,,,
/ BEGIN,Reports,,,,,,,,
object,parent_class,child_class,collection,property,phase_id,report_period,report_summary,report_statistics,report_samples
Default Report,System,Generator,Generators,Generation,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Units Generating,4,TRUE,FALSE,FALSE,FALSE
Default Report,System,Generator,Generators,Fuel Transport Cost,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Generation Cost,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Total Generation Cost,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Offer Quantity,4,TRUE,FALSE,FALSE,FALSE
Default Report,System,Generator,Generators,Offer Price,4,TRUE,FALSE,FALSE,FALSE
Default Report,System,Generator,Generators,Offer Cleared,4,TRUE,FALSE,FALSE,FALSE
Default Report,System,Generator,Generators,Price Received,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Pool Revenue,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Net Revenue,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Available Capacity,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Emissions Cost,4,TRUE,TRUE,FALSE,FALSE
Default Report,System,Generator,Generators,Fuel Cost,4,TRUE,TRUE,FALSE,FALSE
