Generator,Fuel
101_CT_1,Oil
101_CT_2,Oil
101_STEAM_3,Coal
101_STEAM_4,Coal
102_CT_1,Oil
102_CT_2,Oil
102_STEAM_3,Coal
102_STEAM_4,Coal
107_CC_1,NG
113_CT_1,NG
113_CT_2,NG
113_CT_3,NG
113_CT_4,NG
115_STEAM_1,Oil
115_STEAM_2,Oil
115_STEAM_3,Coal
116_STEAM_1,Coal
118_CC_1,NG
123_STEAM_2,Coal
123_STEAM_3,Coal
123_CT_1,NG
123_CT_4,NG
123_CT_5,NG
201_CT_1,Oil
201_CT_2,Oil
201_STEAM_3,Coal
202_CT_1,Oil
202_CT_2,Oil
202_STEAM_3,Coal
202_STEAM_4,Coal
207_CT_1,NG
207_CT_2,NG
213_CC_3,NG
213_CT_1,NG
213_CT_2,NG
215_CT_4,NG
215_CT_5,NG
216_STEAM_1,Coal
218_CC_1,NG
221_CC_1,NG
223_STEAM_1,Coal
223_STEAM_2,Coal
223_STEAM_3,Coal
223_CT_4,NG
223_CT_5,NG
223_CT_6,NG
301_CT_1,Oil
301_CT_2,Oil
301_CT_3,NG
301_CT_4,NG
302_CT_1,Oil
302_CT_2,Oil
302_CT_3,NG
302_CT_4,NG
307_CT_1,NG
307_CT_2,NG
313_CC_1,NG
315_STEAM_1,Oil
315_STEAM_2,Oil
315_STEAM_3,Oil
315_STEAM_4,Oil
315_STEAM_5,Oil
315_CT_6,NG
315_CT_7,NG
315_CT_8,NG
316_STEAM_1,Coal
318_CC_1,NG
321_CC_1,NG
322_CT_5,NG
322_CT_6,NG
323_CC_1,NG
323_CC_2,NG
114_SYNC_COND_1,NA
121_NUCLEAR_1,Nuclear
122_HYDRO_1,NA
122_HYDRO_2,NA
122_HYDRO_3,NA
122_HYDRO_4,NA
122_HYDRO_5,NA
122_HYDRO_6,NA
201_HYDRO_4,NA
214_SYNC_COND_1,NA
215_HYDRO_1,NA
215_HYDRO_2,NA
215_HYDRO_3,NA
222_HYDRO_1,NA
222_HYDRO_2,NA
222_HYDRO_3,NA
222_HYDRO_4,NA
222_HYDRO_5,NA
222_HYDRO_6,NA
314_SYNC_COND_1,NA
322_HYDRO_1,NA
322_HYDRO_2,NA
322_HYDRO_3,NA
322_HYDRO_4,NA
320_PV_1,NA
314_PV_1,NA
314_PV_2,NA
313_PV_1,NA
314_PV_3,NA
314_PV_4,NA
313_PV_2,NA
310_PV_1,NA
324_PV_1,NA
312_PV_1,NA
310_PV_2,NA
324_PV_2,NA
324_PV_3,NA
113_PV_1,NA
319_PV_1,NA
215_PV_1,NA
102_PV_1,NA
101_PV_1,NA
102_PV_2,NA
104_PV_1,NA
212_CSP_1,NA
101_PV_2,NA
101_PV_3,NA
101_PV_4,NA
103_PV_1,NA
119_PV_1,NA
308_RTPV_1,NA
313_RTPV_1,NA
313_RTPV_2,NA
313_RTPV_3,NA
313_RTPV_4,NA
313_RTPV_5,NA
313_RTPV_6,NA
313_RTPV_7,NA
313_RTPV_8,NA
313_RTPV_9,NA
313_RTPV_10,NA
313_RTPV_11,NA
313_RTPV_12,NA
320_RTPV_1,NA
320_RTPV_2,NA
320_RTPV_3,NA
313_RTPV_13,NA
320_RTPV_4,NA
320_RTPV_5,NA
118_RTPV_1,NA
118_RTPV_2,NA
118_RTPV_3,NA
118_RTPV_4,NA
118_RTPV_5,NA
118_RTPV_6,NA
320_RTPV_6,NA
118_RTPV_7,NA
118_RTPV_8,NA
118_RTPV_9,NA
118_RTPV_10,NA
213_RTPV_1,NA
309_WIND_1,NA
317_WIND_1,NA
303_WIND_1,NA
122_WIND_1,NA
313_STORAGE_1,Storage
