Generator,Forced Outage Rate,Mean Time to Repair
101_CT_1,10,50
101_CT_2,10,50
101_STEAM_3,2,40
101_STEAM_4,2,40
102_CT_1,10,50
102_CT_2,10,50
102_STEAM_3,2,40
102_STEAM_4,2,40
107_CC_1,3.3,24
113_CT_1,3.1,51
113_CT_2,3.1,51
113_CT_3,3.1,51
113_CT_4,3.1,51
115_STEAM_1,2,60
115_STEAM_2,2,60
115_STEAM_3,4,40
116_STEAM_1,4,40
118_CC_1,3.3,24
123_STEAM_2,4,40
123_STEAM_3,8,100
123_CT_1,3.1,51
123_CT_4,3.1,51
123_CT_5,3.1,51
201_CT_1,10,50
201_CT_2,10,50
201_STEAM_3,2,40
202_CT_1,10,50
202_CT_2,10,50
202_STEAM_3,2,40
202_STEAM_4,2,40
207_CT_1,3.1,51
207_CT_2,3.1,51
213_CC_3,3.3,24
213_CT_1,3.1,51
213_CT_2,3.1,51
215_CT_4,3.1,51
215_CT_5,3.1,51
216_STEAM_1,4,40
218_CC_1,3.3,24
221_CC_1,3.3,24
223_STEAM_1,4,40
223_STEAM_2,4,40
223_STEAM_3,8,100
223_CT_4,3.1,51
223_CT_5,3.1,51
223_CT_6,3.1,51
301_CT_1,10,50
301_CT_2,10,50
301_CT_3,3.1,51
301_CT_4,3.1,51
302_CT_1,10,50
302_CT_2,10,50
302_CT_3,3.1,51
302_CT_4,3.1,51
307_CT_1,3.1,51
307_CT_2,3.1,51
313_CC_1,3.3,24
315_STEAM_1,2,60
315_STEAM_2,2,60
315_STEAM_3,2,60
315_STEAM_4,2,60
315_STEAM_5,2,60
315_CT_6,3.1,51
315_CT_7,3.1,51
315_CT_8,3.1,51
316_STEAM_1,4,40
318_CC_1,3.3,24
321_CC_1,3.3,24
322_CT_5,3.1,51
322_CT_6,3.1,51
323_CC_1,3.3,24
323_CC_2,3.3,24
121_NUCLEAR_1,12,150
122_HYDRO_1,1,20
122_HYDRO_2,1,20
122_HYDRO_3,1,20
122_HYDRO_4,1,20
122_HYDRO_5,1,20
122_HYDRO_6,1,20
201_HYDRO_4,1,20
215_HYDRO_1,1,20
215_HYDRO_2,1,20
215_HYDRO_3,1,20
222_HYDRO_1,1,20
222_HYDRO_2,1,20
222_HYDRO_3,1,20
222_HYDRO_4,1,20
222_HYDRO_5,1,20
222_HYDRO_6,1,20
322_HYDRO_1,1,20
322_HYDRO_2,1,20
322_HYDRO_3,1,20
322_HYDRO_4,1,20
