Generator,Category,Nodes_Node,Fuels_Fuel,Max Capacity,Units,Shutdown Cost,Start Cost,Max Ramp Up,Max Ramp Down,Pump Load,Pump Efficiency,Min Down Time,Min Up Time,Min Stable Level
101_CT_1,Oil CT,101,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
101_CT_2,Oil CT,101,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
101_STEAM_3,Coal,101,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
101_STEAM_4,Coal,101,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
102_CT_1,Oil CT,102,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
102_CT_2,Oil CT,102,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
102_STEAM_3,Coal,102,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
102_STEAM_4,Coal,102,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
107_CC_1,Gas CC,107,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
113_CT_1,Gas CT,113,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
113_CT_2,Gas CT,113,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
113_CT_3,Gas CT,113,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
113_CT_4,Gas CT,113,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
115_STEAM_1,Oil ST,115,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
115_STEAM_2,Oil ST,115,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
115_STEAM_3,Coal,115,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
116_STEAM_1,Coal,116,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
118_CC_1,Gas CC,118,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
123_STEAM_2,Coal,123,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
123_STEAM_3,Coal,123,Coal,350,1,36749.813559,36749.813559,4,4,NA,NA,48,24,140
123_CT_1,Gas CT,123,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
123_CT_4,Gas CT,123,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
