Node,Voltage,Region,Zone
101,138,1,11
102,138,1,11
103,138,1,11
104,138,1,11
105,138,1,11
106,138,1,11
107,138,1,11
108,138,1,11
109,138,1,11
110,138,1,11
111,230,1,11
112,230,1,11
113,230,1,12
114,230,1,12
115,230,1,12
116,230,1,12
117,230,1,12
118,230,1,12
119,230,1,12
120,230,1,12
121,230,1,12
122,230,1,12
123,230,1,12
124,230,1,12
201,138,2,21
202,138,2,21
203,138,2,21
204,138,2,21
205,138,2,21
206,138,2,21
207,138,2,21
208,138,2,21
209,138,2,21
210,138,2,21
211,230,2,21
212,230,2,21
213,230,2,22
214,230,2,22
215,230,2,22
216,230,2,22
217,230,2,22
218,230,2,22
219,230,2,22
220,230,2,22
221,230,2,22
222,230,2,22
223,230,2,22
224,230,2,22
301,138,3,31
302,138,3,31
303,138,3,31
304,138,3,31
305,138,3,31
306,138,3,31
307,138,3,31
308,138,3,31
309,138,3,31
310,138,3,31
311,230,3,31
312,230,3,31
313,230,3,32
314,230,3,32
315,230,3,32
316,230,3,32
317,230,3,32
318,230,3,32
319,230,3,32
320,230,3,32
321,230,3,32
322,230,3,32
323,230,3,32
324,230,3,32
325,230,3,32
