Generator,Heat Rate Base
101_CT_1,83.04
101_CT_2,83.04
101_STEAM_3,315
101_STEAM_4,315
102_CT_1,92.7
102_CT_2,92.7
102_STEAM_3,275.175
102_STEAM_4,275.175
107_CC_1,971.55
113_CT_1,228.525
113_CT_2,228.525
113_CT_3,228.525
113_CT_4,228.525
115_STEAM_1,68.5875
115_STEAM_2,68.5875
115_STEAM_3,561.72
116_STEAM_1,649.605
118_CC_1,976.65
123_STEAM_2,538.005
123_STEAM_3,1340.85
123_CT_1,221.595
123_CT_4,221.595
123_CT_5,221.595
201_CT_1,88.5
201_CT_2,88.5
201_STEAM_3,308.25
202_CT_1,86.46
202_CT_2,86.46
202_STEAM_3,281.25
202_STEAM_4,281.25
207_CT_1,227.205
207_CT_2,227.205
213_CC_3,1053.15
213_CT_1,228.525
213_CT_2,228.525
215_CT_4,247.665
215_CT_5,247.665
216_STEAM_1,533.82
218_CC_1,1531.275
221_CC_1,926.925
223_STEAM_1,532.425
223_STEAM_2,532.425
223_STEAM_3,1244.25
223_CT_4,344.52
223_CT_5,344.52
223_CT_6,344.52
301_CT_1,92.4
301_CT_2,92.4
301_CT_3,227.865
301_CT_4,227.865
302_CT_1,92.4
302_CT_2,92.4
302_CT_3,267.96
302_CT_4,267.96
307_CT_1,232.485
307_CT_2,232.485
313_CC_1,1067.175
315_STEAM_1,57
315_STEAM_2,57
315_STEAM_3,57
315_STEAM_4,57
315_STEAM_5,57
315_CT_6,180.015
315_CT_7,180.015
315_CT_8,180.015
316_STEAM_1,581.25
318_CC_1,1069.725
321_CC_1,972.825
322_CT_5,210.045
322_CT_6,210.045
323_CC_1,993.225
323_CC_2,993.225
114_SYNC_COND_1,0
121_NUCLEAR_1,3133.35
122_HYDRO_1,0
122_HYDRO_2,0
122_HYDRO_3,0
122_HYDRO_4,0
122_HYDRO_5,0
122_HYDRO_6,0
201_HYDRO_4,0
214_SYNC_COND_1,0
215_HYDRO_1,0
215_HYDRO_2,0
215_HYDRO_3,0
222_HYDRO_1,0
222_HYDRO_2,0
222_HYDRO_3,0
222_HYDRO_4,0
222_HYDRO_5,0
222_HYDRO_6,0
314_SYNC_COND_1,0
322_HYDRO_1,0
322_HYDRO_2,0
322_HYDRO_3,0
322_HYDRO_4,0
320_PV_1,0
314_PV_1,0
314_PV_2,0
313_PV_1,0
314_PV_3,0
314_PV_4,0
313_PV_2,0
310_PV_1,0
324_PV_1,0
312_PV_1,0
310_PV_2,0
324_PV_2,0
324_PV_3,0
113_PV_1,0
319_PV_1,0
215_PV_1,0
102_PV_1,0
101_PV_1,0
102_PV_2,0
104_PV_1,0
212_CSP_1,0
101_PV_2,0
101_PV_3,0
101_PV_4,0
103_PV_1,0
119_PV_1,0
308_RTPV_1,0
313_RTPV_1,0
313_RTPV_2,0
313_RTPV_3,0
313_RTPV_4,0
313_RTPV_5,0
313_RTPV_6,0
313_RTPV_7,0
313_RTPV_8,0
313_RTPV_9,0
313_RTPV_10,0
313_RTPV_11,0
313_RTPV_12,0
320_RTPV_1,0
320_RTPV_2,0
320_RTPV_3,0
313_RTPV_13,0
320_RTPV_4,0
320_RTPV_5,0
118_RTPV_1,0
118_RTPV_2,0
118_RTPV_3,0
118_RTPV_4,0
118_RTPV_5,0
118_RTPV_6,0
320_RTPV_6,0
118_RTPV_7,0
118_RTPV_8,0
118_RTPV_9,0
118_RTPV_10,0
213_RTPV_1,0
309_WIND_1,0
317_WIND_1,0
303_WIND_1,0
122_WIND_1,0
