Generator,Band,Heat Rate Incr,Load Point
101_CT_1,1,3.46,8
101_CT_1,2,9.98,12
101_CT_1,3,10,16
101_CT_1,4,10.92,20
101_CT_2,1,3.46,8
101_CT_2,2,9.98,12
101_CT_2,3,10,16
101_CT_2,4,10.92,20
101_PV_1,1,0,0
101_PV_1,2,0,0
101_PV_1,3,0,0
101_PV_1,4,0,0
101_PV_2,1,0,0
101_PV_2,2,0,0
101_PV_2,3,0,0
101_PV_2,4,0,0
101_PV_3,1,0,0
101_PV_3,2,0,0
101_PV_3,3,0,0
101_PV_3,4,0,0
101_PV_4,1,0,0
101_PV_4,2,0,0
101_PV_4,3,0,0
101_PV_4,4,0,0
101_STEAM_3,1,3.5,30.02
101_STEAM_3,2,7.08,45.296
101_STEAM_3,3,8.47,60.648
101_STEAM_3,4,9.02,76
101_STEAM_4,1,3.5,30.02
101_STEAM_4,2,7.08,45.296
101_STEAM_4,3,8.47,60.648
101_STEAM_4,4,9.02,76
102_CT_1,1,3.8625,8
102_CT_1,2,9.07,12
102_CT_1,3,9.65,16
102_CT_1,4,10.15,20
102_CT_2,1,3.8625,8
102_CT_2,2,9.07,12
102_CT_2,3,9.65,16
102_CT_2,4,10.15,20
102_PV_1,1,0,0
102_PV_1,2,0,0
102_PV_1,3,0,0
102_PV_1,4,0,0
102_PV_2,1,0,0
102_PV_2,2,0,0
102_PV_2,3,0,0
102_PV_2,4,0,0
102_STEAM_3,1,3.0575,30.02
102_STEAM_3,2,9.21,45.296
102_STEAM_3,3,10.4,60.648
102_STEAM_3,4,11.24,76
102_STEAM_4,1,3.0575,30.02
102_STEAM_4,2,9.21,45.296
102_STEAM_4,3,10.4,60.648
102_STEAM_4,4,11.24,76
103_PV_1,1,0,0
103_PV_1,2,0,0
103_PV_1,3,0,0
103_PV_1,4,0,0
104_PV_1,1,0,0
104_PV_1,2,0,0
104_PV_1,3,0,0
104_PV_1,4,0,0
107_CC_1,1,1.905,170.045
107_CC_1,2,6.3,231.815
107_CC_1,3,7.27,293.23
107_CC_1,4,8.29,355
113_CT_1,1,3.4625,22
113_CT_1,2,7.28,33
113_CT_1,3,8.02,44
113_CT_1,4,8.23,55
113_CT_2,1,3.4625,22
113_CT_2,2,7.28,33
113_CT_2,3,8.02,44
113_CT_2,4,8.23,55
113_CT_3,1,3.4625,22
113_CT_3,2,7.28,33
113_CT_3,3,8.02,44
113_CT_3,4,8.23,55
113_CT_4,1,3.4625,22
113_CT_4,2,7.28,33
113_CT_4,3,8.02,44
113_CT_4,4,8.23,55
113_PV_1,1,0,0
113_PV_1,2,0,0
113_PV_1,3,0,0
113_PV_1,4,0,0
114_SYNC_COND_1,1,0,0
114_SYNC_COND_1,2,0,0
114_SYNC_COND_1,3,0,0
114_SYNC_COND_1,4,0,0
115_STEAM_1,1,4.5725,5.004
115_STEAM_1,2,12.69,7.332
115_STEAM_1,3,12.75,9.672
115_STEAM_1,4,13.62,12
115_STEAM_2,1,4.5725,5.004
115_STEAM_2,2,12.69,7.332
115_STEAM_2,3,12.75,9.672
115_STEAM_2,4,13.62,12
115_STEAM_3,1,3.02,62
115_STEAM_3,2,10.18,93
115_STEAM_3,3,11.23,124
115_STEAM_3,4,13.5,155
116_STEAM_1,1,3.4925,62
116_STEAM_1,2,9.82,93
116_STEAM_1,3,10.72,124
116_STEAM_1,4,11.92,155
118_CC_1,1,1.915,170.045
118_CC_1,2,6.13,231.815
118_CC_1,3,7.53,293.23
118_CC_1,4,8.81,355
118_RTPV_1,1,0,0
118_RTPV_1,2,0,0
