Generator,Fuel
101_CT_1,Oil
101_CT_2,Oil
101_STEAM_3,Coal
101_STEAM_4,Coal
102_CT_1,Oil
102_CT_2,Oil
102_STEAM_3,Coal
102_STEAM_4,Coal
107_CC_1,NG
113_CT_1,NG
113_CT_2,NG
113_CT_3,NG
113_CT_4,NG
115_STEAM_1,Oil
115_STEAM_2,Oil
115_STEAM_3,Coal
116_STEAM_1,Coal
118_CC_1,NG
123_STEAM_2,Coal
123_STEAM_3,Coal
123_CT_1,NG
123_CT_4,NG
123_CT_5,NG
201_CT_1,Oil
201_CT_2,Oil
201_STEAM_3,Coal
202_CT_1,Oil
202_CT_2,Oil
202_STEAM_3,Coal
202_STEAM_4,Coal
207_CT_1,NG
207_CT_2,NG
213_CC_3,NG
213_CT_1,NG
213_CT_2,NG
215_CT_4,NG
215_CT_5,NG
216_STEAM_1,Coal
218_CC_1,NG
221_CC_1,NG
223_STEAM_1,Coal
223_STEAM_2,Coal
223_STEAM_3,Coal
223_CT_4,NG
223_CT_5,NG
223_CT_6,NG
301_CT_1,Oil
301_CT_2,Oil
301_CT_3,NG
301_CT_4,NG
302_CT_1,Oil
302_CT_2,Oil
302_CT_3,NG
302_CT_4,NG
307_CT_1,NG
307_CT_2,NG
313_CC_1,NG
315_STEAM_1,Oil
315_STEAM_2,Oil
315_STEAM_3,Oil
315_STEAM_4,Oil
315_STEAM_5,Oil
315_CT_6,NG
315_CT_7,NG
315_CT_8,NG
316_STEAM_1,Coal
318_CC_1,NG
321_CC_1,NG
322_CT_5,NG
322_CT_6,NG
323_CC_1,NG
323_CC_2,NG
114_SYNC_COND_1,Sync_Cond
121_NUCLEAR_1,Nuclear
122_HYDRO_1,Hydro
122_HYDRO_2,Hydro
122_HYDRO_3,Hydro
122_HYDRO_4,Hydro
122_HYDRO_5,Hydro
122_HYDRO_6,Hydro
201_HYDRO_4,Hydro
214_SYNC_COND_1,Sync_Cond
215_HYDRO_1,Hydro
215_HYDRO_2,Hydro
215_HYDRO_3,Hydro
222_HYDRO_1,Hydro
222_HYDRO_2,Hydro
222_HYDRO_3,Hydro
222_HYDRO_4,Hydro
222_HYDRO_5,Hydro
222_HYDRO_6,Hydro
314_SYNC_COND_1,Sync_Cond
322_HYDRO_1,Hydro
322_HYDRO_2,Hydro
322_HYDRO_3,Hydro
322_HYDRO_4,Hydro
320_PV_1,Solar
314_PV_1,Solar
314_PV_2,Solar
313_PV_1,Solar
314_PV_3,Solar
314_PV_4,Solar
313_PV_2,Solar
310_PV_1,Solar
324_PV_1,Solar
312_PV_1,Solar
310_PV_2,Solar
324_PV_2,Solar
324_PV_3,Solar
113_PV_1,Solar
319_PV_1,Solar
215_PV_1,Solar
102_PV_1,Solar
101_PV_1,Solar
102_PV_2,Solar
104_PV_1,Solar
212_CSP_1,CSP
101_PV_2,Solar
101_PV_3,Solar
101_PV_4,Solar
103_PV_1,Solar
119_PV_1,Solar
308_RTPV_1,Solar
313_RTPV_1,Solar
313_RTPV_2,Solar
313_RTPV_3,Solar
313_RTPV_4,Solar
313_RTPV_5,Solar
313_RTPV_6,Solar
313_RTPV_7,Solar
313_RTPV_8,Solar
313_RTPV_9,Solar
313_RTPV_10,Solar
313_RTPV_11,Solar
313_RTPV_12,Solar
320_RTPV_1,Solar
320_RTPV_2,Solar
320_RTPV_3,Solar
313_RTPV_13,Solar
320_RTPV_4,Solar
320_RTPV_5,Solar
118_RTPV_1,Solar
118_RTPV_2,Solar
118_RTPV_3,Solar
118_RTPV_4,Solar
118_RTPV_5,Solar
118_RTPV_6,Solar
320_RTPV_6,Solar
118_RTPV_7,Solar
118_RTPV_8,Solar
118_RTPV_9,Solar
118_RTPV_10,Solar
213_RTPV_1,Solar
309_WIND_1,Wind
317_WIND_1,Wind
303_WIND_1,Wind
122_WIND_1,Wind
