Generator,Min Stable Level
101_CT_1,8
101_CT_2,8
101_STEAM_3,30
101_STEAM_4,30
102_CT_1,8
102_CT_2,8
102_STEAM_3,30
102_STEAM_4,30
107_CC_1,170
113_CT_1,22
113_CT_2,22
113_CT_3,22
113_CT_4,22
115_STEAM_1,5
115_STEAM_2,5
115_STEAM_3,62
116_STEAM_1,62
118_CC_1,170
123_STEAM_2,62
123_STEAM_3,140
123_CT_1,22
123_CT_4,22
123_CT_5,22
201_CT_1,8
201_CT_2,8
201_STEAM_3,30
202_CT_1,8
202_CT_2,8
202_STEAM_3,30
202_STEAM_4,30
207_CT_1,22
207_CT_2,22
213_CC_3,170
213_CT_1,22
213_CT_2,22
215_CT_4,22
215_CT_5,22
216_STEAM_1,62
218_CC_1,170
221_CC_1,170
223_STEAM_1,62
223_STEAM_2,62
223_STEAM_3,140
223_CT_4,22
223_CT_5,22
223_CT_6,22
301_CT_1,8
301_CT_2,8
301_CT_3,22
301_CT_4,22
302_CT_1,8
302_CT_2,8
302_CT_3,22
302_CT_4,22
307_CT_1,22
307_CT_2,22
313_CC_1,170
315_STEAM_1,5
315_STEAM_2,5
315_STEAM_3,5
315_STEAM_4,5
315_STEAM_5,5
315_CT_6,22
315_CT_7,22
315_CT_8,22
316_STEAM_1,62
318_CC_1,170
321_CC_1,170
322_CT_5,22
322_CT_6,22
323_CC_1,170
323_CC_2,170
114_SYNC_COND_1,0
121_NUCLEAR_1,396
122_HYDRO_1,0
122_HYDRO_2,0
122_HYDRO_3,0
122_HYDRO_4,0
122_HYDRO_5,0
122_HYDRO_6,0
201_HYDRO_4,0
214_SYNC_COND_1,0
215_HYDRO_1,0
215_HYDRO_2,0
215_HYDRO_3,0
222_HYDRO_1,0
222_HYDRO_2,0
222_HYDRO_3,0
222_HYDRO_4,0
222_HYDRO_5,0
222_HYDRO_6,0
314_SYNC_COND_1,0
322_HYDRO_1,0
322_HYDRO_2,0
322_HYDRO_3,0
322_HYDRO_4,0
320_PV_1,0
314_PV_1,0
314_PV_2,0
313_PV_1,0
314_PV_3,0
314_PV_4,0
313_PV_2,0
310_PV_1,0
324_PV_1,0
312_PV_1,0
310_PV_2,0
324_PV_2,0
324_PV_3,0
113_PV_1,0
319_PV_1,0
215_PV_1,0
102_PV_1,0
101_PV_1,0
102_PV_2,0
104_PV_1,0
212_CSP_1,30
101_PV_2,0
101_PV_3,0
101_PV_4,0
103_PV_1,0
119_PV_1,0
308_RTPV_1,0
313_RTPV_1,0
313_RTPV_2,0
313_RTPV_3,0
313_RTPV_4,0
313_RTPV_5,0
313_RTPV_6,0
313_RTPV_7,0
313_RTPV_8,0
313_RTPV_9,0
313_RTPV_10,0
313_RTPV_11,0
313_RTPV_12,0
320_RTPV_1,0
320_RTPV_2,0
320_RTPV_3,0
313_RTPV_13,0
320_RTPV_4,0
320_RTPV_5,0
118_RTPV_1,0
118_RTPV_2,0
118_RTPV_3,0
118_RTPV_4,0
118_RTPV_5,0
118_RTPV_6,0
320_RTPV_6,0
118_RTPV_7,0
118_RTPV_8,0
118_RTPV_9,0
118_RTPV_10,0
213_RTPV_1,0
309_WIND_1,0
317_WIND_1,0
303_WIND_1,0
122_WIND_1,0
