Generator,Max Ramp Up,Max Ramp Down
101_CT_1,3,3
101_CT_2,3,3
101_STEAM_3,2,2
101_STEAM_4,2,2
102_CT_1,3,3
102_CT_2,3,3
102_STEAM_3,2,2
102_STEAM_4,2,2
107_CC_1,4.14,4.14
113_CT_1,3.7,3.7
113_CT_2,3.7,3.7
113_CT_3,3.7,3.7
113_CT_4,3.7,3.7
115_STEAM_1,1,1
115_STEAM_2,1,1
115_STEAM_3,3,3
116_STEAM_1,3,3
118_CC_1,4.14,4.14
123_STEAM_2,3,3
123_STEAM_3,4,4
123_CT_1,3.7,3.7
123_CT_4,3.7,3.7
123_CT_5,3.7,3.7
201_CT_1,3,3
201_CT_2,3,3
201_STEAM_3,2,2
202_CT_1,3,3
202_CT_2,3,3
202_STEAM_3,2,2
202_STEAM_4,2,2
207_CT_1,3.7,3.7
207_CT_2,3.7,3.7
213_CC_3,4.14,4.14
213_CT_1,3.7,3.7
213_CT_2,3.7,3.7
215_CT_4,3.7,3.7
215_CT_5,3.7,3.7
216_STEAM_1,3,3
218_CC_1,4.14,4.14
221_CC_1,4.14,4.14
223_STEAM_1,3,3
223_STEAM_2,3,3
223_STEAM_3,4,4
223_CT_4,3.7,3.7
223_CT_5,3.7,3.7
223_CT_6,3.7,3.7
301_CT_1,3,3
301_CT_2,3,3
301_CT_3,3.7,3.7
301_CT_4,3.7,3.7
302_CT_1,3,3
302_CT_2,3,3
302_CT_3,3.7,3.7
302_CT_4,3.7,3.7
307_CT_1,3.7,3.7
307_CT_2,3.7,3.7
313_CC_1,4.14,4.14
315_STEAM_1,1,1
315_STEAM_2,1,1
315_STEAM_3,1,1
315_STEAM_4,1,1
315_STEAM_5,1,1
315_CT_6,3.7,3.7
315_CT_7,3.7,3.7
315_CT_8,3.7,3.7
316_STEAM_1,3,3
318_CC_1,4.14,4.14
321_CC_1,4.14,4.14
322_CT_5,3.7,3.7
322_CT_6,3.7,3.7
323_CC_1,4.14,4.14
323_CC_2,4.14,4.14
121_NUCLEAR_1,20,20
320_PV_1,51.6,51.6
314_PV_1,51.6,51.6
314_PV_2,51.6,51.6
313_PV_1,95.1,95.1
314_PV_3,92.7,92.7
314_PV_4,51.6,51.6
313_PV_2,93.3,93.3
310_PV_1,51.7,51.7
324_PV_1,49.7,49.7
312_PV_1,94.1,94.1
310_PV_2,51.6,51.6
324_PV_2,51.6,51.6
324_PV_3,51,51
113_PV_1,93.6,93.6
319_PV_1,188.2,188.2
215_PV_1,125.1,125.1
102_PV_1,25.6,25.6
101_PV_1,25.9,25.9
102_PV_2,25.3,25.3
104_PV_1,26.8,26.8
212_CSP_1,20,20
101_PV_2,26.7,26.7
101_PV_3,26.2,26.2
101_PV_4,25.8,25.8
103_PV_1,61.5,61.5
119_PV_1,66.6,66.6
308_RTPV_1,100.9,100.9
313_RTPV_1,101.7,101.7
313_RTPV_2,63.1,63.1
313_RTPV_3,65.4,65.4
313_RTPV_4,67,67
313_RTPV_5,64.8,64.8
313_RTPV_6,63.8,63.8
313_RTPV_7,64.1,64.1
313_RTPV_8,66.6,66.6
313_RTPV_9,62.4,62.4
313_RTPV_10,66.9,66.9
313_RTPV_11,65.2,65.2
313_RTPV_12,27.8,27.8
320_RTPV_1,27.3,27.3
320_RTPV_2,27,27
320_RTPV_3,28.3,28.3
313_RTPV_13,27.2,27.2
320_RTPV_4,27,27
320_RTPV_5,28.2,28.2
118_RTPV_1,9.3,9.3
118_RTPV_2,9.7,9.7
118_RTPV_3,9.4,9.4
118_RTPV_4,9.1,9.1
118_RTPV_5,9.1,9.1
118_RTPV_6,9.7,9.7
320_RTPV_6,9.4,9.4
118_RTPV_7,11.8,11.8
118_RTPV_8,11.2,11.2
118_RTPV_9,10.3,10.3
118_RTPV_10,4.5,4.5
213_RTPV_1,13.2,13.2
309_WIND_1,148.3,148.3
317_WIND_1,799.1,799.1
303_WIND_1,847,847
122_WIND_1,713.5,713.5
