Generator,Start Cost,Shutdown Cost
101_CT_1,51.747,51.747
101_CT_2,51.747,51.747
101_STEAM_3,11172.014352,11172.014352
101_STEAM_4,11172.014352,11172.014352
102_CT_1,51.747,51.747
102_CT_2,51.747,51.747
102_STEAM_3,11172.014352,11172.014352
102_STEAM_4,11172.014352,11172.014352
107_CC_1,28046.681022,28046.681022
113_CT_1,5665.234428,5665.234428
113_CT_2,5665.234428,5665.234428
113_CT_3,5665.234428,5665.234428
113_CT_4,5665.234428,5665.234428
115_STEAM_1,703.7592,703.7592
115_STEAM_2,703.7592,703.7592
115_STEAM_3,22784.795619,22784.795619
116_STEAM_1,22784.795619,22784.795619
118_CC_1,28046.681022,28046.681022
123_STEAM_2,22784.795619,22784.795619
123_STEAM_3,36749.813559,36749.813559
123_CT_1,5665.234428,5665.234428
123_CT_4,5665.234428,5665.234428
123_CT_5,5665.234428,5665.234428
201_CT_1,51.747,51.747
201_CT_2,51.747,51.747
201_STEAM_3,11172.014352,11172.014352
202_CT_1,51.747,51.747
202_CT_2,51.747,51.747
202_STEAM_3,11172.014352,11172.014352
202_STEAM_4,11172.014352,11172.014352
207_CT_1,5665.234428,5665.234428
207_CT_2,5665.234428,5665.234428
213_CC_3,28046.681022,28046.681022
213_CT_1,5665.234428,5665.234428
213_CT_2,5665.234428,5665.234428
215_CT_4,5665.234428,5665.234428
215_CT_5,5665.234428,5665.234428
216_STEAM_1,22784.795619,22784.795619
218_CC_1,28046.681022,28046.681022
221_CC_1,28046.681022,28046.681022
223_STEAM_1,22784.795619,22784.795619
223_STEAM_2,22784.795619,22784.795619
223_STEAM_3,36749.813559,36749.813559
223_CT_4,5665.234428,5665.234428
223_CT_5,5665.234428,5665.234428
223_CT_6,5665.234428,5665.234428
301_CT_1,51.747,51.747
301_CT_2,51.747,51.747
301_CT_3,5665.234428,5665.234428
301_CT_4,5665.234428,5665.234428
302_CT_1,51.747,51.747
302_CT_2,51.747,51.747
302_CT_3,5665.234428,5665.234428
302_CT_4,5665.234428,5665.234428
307_CT_1,5665.234428,5665.234428
307_CT_2,5665.234428,5665.234428
313_CC_1,28046.681022,28046.681022
315_STEAM_1,703.7592,703.7592
315_STEAM_2,703.7592,703.7592
315_STEAM_3,703.7592,703.7592
315_STEAM_4,703.7592,703.7592
315_STEAM_5,703.7592,703.7592
315_CT_6,5665.234428,5665.234428
315_CT_7,5665.234428,5665.234428
315_CT_8,5665.234428,5665.234428
316_STEAM_1,22784.795619,22784.795619
318_CC_1,28046.681022,28046.681022
321_CC_1,28046.681022,28046.681022
322_CT_5,5665.234428,5665.234428
322_CT_6,5665.234428,5665.234428
323_CC_1,28046.681022,28046.681022
323_CC_2,28046.681022,28046.681022
121_NUCLEAR_1,8102.68965,8102.68965
212_CSP_1,2000,0
