Reserve,Generator
Spin_Up,107_CC_1
Spin_Up,118_CC_1
Spin_Up,213_CC_3
Spin_Up,218_CC_1
Spin_Up,221_CC_1
Spin_Up,313_CC_1
Spin_Up,318_CC_1
Spin_Up,321_CC_1
Spin_Up,323_CC_1
Spin_Up,323_CC_2
Flex_Up,107_CC_1
Flex_Up,118_CC_1
Flex_Up,213_CC_3
Flex_Up,218_CC_1
Flex_Up,221_CC_1
Flex_Up,313_CC_1
Flex_Up,318_CC_1
Flex_Up,321_CC_1
Flex_Up,323_CC_1
Flex_Up,323_CC_2
Flex_Down,107_CC_1
Flex_Down,118_CC_1
Flex_Down,213_CC_3
Flex_Down,218_CC_1
Flex_Down,221_CC_1
Flex_Down,313_CC_1
Flex_Down,318_CC_1
Flex_Down,321_CC_1
Flex_Down,323_CC_1
Flex_Down,323_CC_2
Reg_Up,107_CC_1
Reg_Up,118_CC_1
Reg_Up,213_CC_3
Reg_Up,218_CC_1
Reg_Up,221_CC_1
Reg_Up,313_CC_1
Reg_Up,318_CC_1
Reg_Up,321_CC_1
Reg_Up,323_CC_1
Reg_Up,323_CC_2
Reg_Down,107_CC_1
Reg_Down,118_CC_1
Reg_Down,213_CC_3
Reg_Down,218_CC_1
Reg_Down,221_CC_1
Reg_Down,313_CC_1
Reg_Down,318_CC_1
Reg_Down,321_CC_1
Reg_Down,323_CC_1
Reg_Down,323_CC_2
Spin_Up,101_CT_1
Spin_Up,101_CT_2
Spin_Up,102_CT_1
Spin_Up,102_CT_2
Spin_Up,113_CT_1
Spin_Up,113_CT_2
Spin_Up,113_CT_3
Spin_Up,113_CT_4
Spin_Up,123_CT_1
Spin_Up,123_CT_4
Spin_Up,123_CT_5
Spin_Up,201_CT_1
Spin_Up,201_CT_2
Spin_Up,202_CT_1
Spin_Up,202_CT_2
Spin_Up,207_CT_1
Spin_Up,207_CT_2
Spin_Up,213_CT_1
Spin_Up,213_CT_2
Spin_Up,215_CT_4
Spin_Up,215_CT_5
Spin_Up,223_CT_4
Spin_Up,223_CT_5
Spin_Up,223_CT_6
Spin_Up,301_CT_1
Spin_Up,301_CT_2
Spin_Up,301_CT_3
Spin_Up,301_CT_4
Spin_Up,302_CT_1
Spin_Up,302_CT_2
Spin_Up,302_CT_3
Spin_Up,302_CT_4
Spin_Up,307_CT_1
Spin_Up,307_CT_2
Spin_Up,315_CT_6
Spin_Up,315_CT_7
Spin_Up,315_CT_8
Spin_Up,322_CT_5
Spin_Up,322_CT_6
Flex_Up,101_CT_1
Flex_Up,101_CT_2
Flex_Up,102_CT_1
Flex_Up,102_CT_2
Flex_Up,113_CT_1
Flex_Up,113_CT_2
Flex_Up,113_CT_3
Flex_Up,113_CT_4
Flex_Up,123_CT_1
Flex_Up,123_CT_4
Flex_Up,123_CT_5
Flex_Up,201_CT_1
Flex_Up,201_CT_2
Flex_Up,202_CT_1
Flex_Up,202_CT_2
Flex_Up,207_CT_1
Flex_Up,207_CT_2
Flex_Up,213_CT_1
Flex_Up,213_CT_2
Flex_Up,215_CT_4
Flex_Up,215_CT_5
Flex_Up,223_CT_4
Flex_Up,223_CT_5
Flex_Up,223_CT_6
Flex_Up,301_CT_1
Flex_Up,301_CT_2
Flex_Up,301_CT_3
Flex_Up,301_CT_4
Flex_Up,302_CT_1
Flex_Up,302_CT_2
Flex_Up,302_CT_3
Flex_Up,302_CT_4
Flex_Up,307_CT_1
Flex_Up,307_CT_2
Flex_Up,315_CT_6
Flex_Up,315_CT_7
Flex_Up,315_CT_8
Flex_Up,322_CT_5
Flex_Up,322_CT_6
Flex_Down,101_CT_1
Flex_Down,101_CT_2
Flex_Down,102_CT_1
Flex_Down,102_CT_2
Flex_Down,113_CT_1
Flex_Down,113_CT_2
Flex_Down,113_CT_3
Flex_Down,113_CT_4
Flex_Down,123_CT_1
Flex_Down,123_CT_4
Flex_Down,123_CT_5
Flex_Down,201_CT_1
Flex_Down,201_CT_2
Flex_Down,202_CT_1
Flex_Down,202_CT_2
Flex_Down,207_CT_1
Flex_Down,207_CT_2
Flex_Down,213_CT_1
Flex_Down,213_CT_2
Flex_Down,215_CT_4
Flex_Down,215_CT_5
Flex_Down,223_CT_4
Flex_Down,223_CT_5
Flex_Down,223_CT_6
Flex_Down,301_CT_1
Flex_Down,301_CT_2
