"time","101_1","101_2","101_3","101_4","102_1","102_2","102_3","102_4","102_pv_2","107_1","113_1","113_2","113_3","113_4","113_pv","114_1","115_1","115_2","115_3","116_1","118_1","118_rtpv_10","118_rtpv_2","118_rtpv_3","118_rtpv_4","118_rtpv_5","118_rtpv_6","118_rtpv_7","118_rtpv_9","121_1","122_1","122_2","122_3","122_4","122_5","122_6","122_wind","123_1","123_2","123_3","123_4","123_5","201_1","201_2","201_3","201_4","202_1","202_2","202_3","202_4","207_1","207_2","213_1","213_2","213_3","213_rtpv","214_1","215_1","215_2","215_3","215_4","215_5","215_pv","216_1","218_1","221_1","222_1","222_2","222_3","222_4","222_5","222_6","223_1","223_2","223_3","223_4","223_5","223_6","301_1","301_2","301_3","301_4","302_1","302_2","302_3","302_4","307_1","307_2","309_wind","313_1","313_pv","313_pv_2","313_rtpv","313_rtpv_10","313_rtpv_12","313_rtpv_13","313_rtpv_2","313_rtpv_3","313_rtpv_4","313_rtpv_5","313_rtpv_6","313_rtpv_7","313_rtpv_8","313_rtpv_9","314_1","315_1","315_2","315_3","315_4","315_5","315_6","315_7","315_8","316_1","318_1","320_pv","321_1","322_1","322_2","322_3","322_4","322_5","322_6","323_1","323_2"
2024-01-01 00:00:00,0,0,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,400,4.2,4.2,4.2,4.2,4.2,4.2,713.2,0,145.303778861509,256.666666666667,0,0,0,0,65.7777777777778,9.3,0,0,66.7628878051567,70.8888888888889,0,0,0,0,0,0,0,9.3,9.3,9.3,0,0,0,155,0,0,9.3,9.3,9.3,9.3,9.3,9.3,155,155,350,0,0,0,0,0,0,0,0,0,0,0,0,0,142.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,16.5,16.5,16.5,16.5,0,0,0,0
2024-01-01 01:00:00,0,0,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,134.333333333333,134.333333333333,0,0,0,0,0,0,0,0,0,400,3.8,3.8,3.8,3.8,3.8,3.8,712.8,0,135.419973727276,233.333333333333,0,0,0,0,30,9.5,0,0,30,30,0,0,0,0,0,0,0,9.5,9.5,9.5,0,0,0,144.666666666667,0,0,9.5,9.5,9.5,9.5,9.5,9.5,144.666666666667,152.480026272724,256.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,139.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,20.3,20.3,20.3,20.3,0,0,0,0
2024-01-01 02:00:00,0,0,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,144.666666666667,144.666666666667,0,0,0,0,0,0,0,0,0,400,3.8,3.8,3.8,3.8,3.8,3.8,708.4,0,144.666666666667,233.333333333333,0,0,0,0,30,9.3,0,0,30,30,0,0,0,0,0,0,0,9.3,9.3,9.3,0,0,0,144.666666666667,0,0,9.3,9.3,9.3,9.3,9.3,9.3,144.666666666667,144.666666666667,254.699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,145.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.666666666667,0,0,0,12,12,12,12,0,0,0,0
2024-01-01 03:00:00,0,0,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,144.666666666667,144.666666666667,0,0,0,0,0,0,0,0,0,400,4.2,4.2,4.2,4.2,4.2,4.2,710.7,0,144.666666666667,239.166666666667,0,0,0,0,30,9.5,0,0,30,30,0,0,0,0,0,0,0,9.5,9.5,9.5,0,0,0,144.666666666667,0,0,9.5,9.5,9.5,9.5,9.5,9.5,144.666666666667,144.666666666667,256.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,144.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.666666666667,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0
2024-01-01 04:00:00,0,0,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,155,155,0,0,0,0,0,0,0,0,0,400,3.8,3.8,3.8,3.8,3.8,3.8,701.4,0,155,303.333333333333,0,0,0,0,30,9.3,0,0,30,30,0,0,0,0,0,0,0,9.3,9.3,9.3,0,0,0,155,0,0,9.3,9.3,9.3,9.3,9.3,9.3,155,155,321.966666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,137.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,11.7,11.7,11.7,11.7,0,0,0,0
2024-01-01 05:00:00,0,0,55.5555555555556,57.9333333333336,0,0,60.6666666666667,55.5555555555556,0,0,0,0,0,0,0,0,0,0,155,155,0,0,0,0,0,0,0,0,0,400,3.8,3.8,3.8,3.8,3.8,3.8,682.5,0,155,350,0,0,0,0,60.6666666666667,9.1,0,0,60.6666666666667,55.5555555555556,22,0,0,0,0,0,0,9.1,9.1,9.1,0,22,0,155,0,0,9.1,9.1,9.1,9.1,9.1,9.1,155,155,350,22,0,0,0,0,22,22,0,0,0,0,22,0,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,155,0,0,0,6.8,6.8,6.8,6.8,0,0,0,0
2024-01-01 06:00:00,0,0,76,76,0,0,76,76,0,0,0,0,0,0,0,0,0,0,155,155,0,0,0,0,0,0,0,0,0,400,4.2,4.2,4.2,4.2,4.2,4.2,614.7,0,155,350,0,0,0,0,76,9.5,0,0,76,76,36.6666666666667,0,36.6666666666667,36.6666666666667,0,0,0,9.5,9.5,9.5,36.6666666666667,36.6666666666667,0,155,0,0,9.5,9.5,9.5,9.5,9.5,9.5,155,155,350,36.6666666666667,0,0,0,0,33,36.6666666666667,0,0,33,36.6666666666667,34.6666666666664,0,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,155,0,0,0,7.6,7.6,7.6,7.6,0,0,0,0
2024-01-01 07:00:00,0,0,55.5555555555556,56.5666666666659,0,0,55.5555555555556,55.5555555555556,15,0,0,0,0,0,49.7,0,0,0,155,155,0,0.8,1.6,1.7,1.6,1.6,1.5,1.8,1.6,400,3.8,3.8,3.8,3.8,3.8,3.8,517.7,0,155,350,0,0,0,0,55.5555555555556,18.9,0,0,55.5555555555556,55.5555555555556,22,0,22,22,0,2.3,0,18.9,18.9,18.9,22,22,63.8,155,0,0,18.9,18.9,18.9,18.9,18.9,18.9,155,155,350,22,0,0,0,0,22,22,0,0,22,22,22,0,47.3,0,31.1,31.1,13.4,9.7,4.3,4.5,9.6,8.1,8.7,9.2,9.1,9.6,8.8,9.6,0,0,0,0,0,0,0,22,22,155,0,23.9,0,19.2,19.2,19.2,19.2,0,0,0,0
2024-01-01 08:00:00,0,0,60.6666666666667,60.1,0,0,60.6666666666667,60.6666666666667,18.2,0,0,0,0,0,63.1,0,0,0,155,155,0,1.7,3.7,3.7,3.7,3.5,3.6,4.1,3.8,400,3.8,3.8,3.8,3.8,3.8,3.8,426.6,0,155,350,0,0,0,0,60.6666666666667,18.5,0,0,60.6666666666667,60.6666666666667,0,0,22,22,0,5,0,18.5,18.5,18.5,22,0,82.3,155,0,0,18.5,18.5,18.5,18.5,18.5,18.5,155,155,350,0,0,0,0,0,0,0,0,0,22,22,0,0,48.9,0,47.8,48,36,24,10.5,10.5,23.1,21.8,23.1,22.8,23.5,23.7,23.7,23.6,0,0,0,0,0,0,0,22,0,155,0,30.7,0,10.9,10.9,10.9,10.9,0,0,0,0
2024-01-01 09:00:00,0,0,55.5555555555556,55.5555555555556,0,0,60.6666666666667,55.5555555555556,18.8,0,0,0,0,0,66.6,0,0,0,155,155,0,2.5,5,5.1,5.1,4.9,5,6,5.5,400,3.8,3.8,3.8,3.8,3.8,3.8,274.2,0,155,350,0,0,0,0,60.6666666666667,18.5,0,0,60.6666666666667,60.2333333333333,0,0,0,22,0,7,0,18.5,18.5,18.5,0,0,86.1,155,0,0,18.5,18.5,18.5,18.5,18.5,18.5,155,155,350,0,0,0,0,0,0,0,0,0,22,22,0,0,30.7,0,58.4,58.8,53,34.8,15.5,15.1,33.9,32.3,34.2,33.6,33.1,34.5,34.1,34.6,0,0,0,0,0,0,0,22,0,155,0,34.9,0,32.7,32.7,32.7,32.7,0,0,0,0
2024-01-01 10:00:00,0,0,65.7777777777778,60.6666666666667,0,0,62.2666666666672,65.7777777777778,18.7,0,0,0,0,0,67.1,0,0,0,155,155,0,3,6,6,6.1,5.8,6.1,6.9,6.6,400,3.8,3.8,3.8,3.8,3.8,3.8,93,0,155,350,0,0,0,0,60.6666666666667,18.7,0,0,65.7777777777778,60.6666666666667,0,0,0,22,0,8,0,18.7,18.7,18.7,0,0,86.6,155,0,0,18.7,18.7,18.7,18.7,18.7,18.7,155,155,350,0,0,0,0,0,0,0,0,0,22,22,0,22,27.4,0,64.2,65.4,64.5,41.1,18.3,17.8,40.1,40.1,40.2,39.9,38.8,40.7,42.1,41.9,0,0,0,0,0,0,0,22,0,155,0,35.2,0,35.2,35.2,35.2,35.2,0,0,0,0
