"time","101_CT_1","101_CT_2","101_PV_1","101_PV_2","101_PV_3","101_PV_4","101_STEAM_3","101_STEAM_4","102_CT_1","102_CT_2","102_PV_1","102_PV_2","102_STEAM_3","102_STEAM_4","103_PV_1","104_PV_1","107_CC_1","113_CT_1","113_CT_2","113_CT_3","113_CT_4","113_PV_1","114_SYNC_COND_1","115_STEAM_1","115_STEAM_2","115_STEAM_3","116_STEAM_1","118_CC_1","118_RTPV_1","118_RTPV_10","118_RTPV_2","118_RTPV_3","118_RTPV_4","118_RTPV_5","118_RTPV_6","118_RTPV_7","118_RTPV_8","118_RTPV_9","119_PV_1","121_NUCLEAR_1","122_HYDRO_1","122_HYDRO_2","122_HYDRO_3","122_HYDRO_4","122_HYDRO_5","122_HYDRO_6","122_WIND_1","123_CT_1","123_CT_4","123_CT_5","123_STEAM_2","123_STEAM_3","201_CT_1","201_CT_2","201_HYDRO_4","201_STEAM_3","202_CT_1","202_CT_2","202_STEAM_3","202_STEAM_4","207_CT_1","207_CT_2","213_CC_3","213_CT_1","213_CT_2","213_RTPV_1","214_SYNC_COND_1","215_CT_4","215_CT_5","215_HYDRO_1","215_HYDRO_2","215_HYDRO_3","215_PV_1","216_STEAM_1","218_CC_1","221_CC_1","222_HYDRO_1","222_HYDRO_2","222_HYDRO_3","222_HYDRO_4","222_HYDRO_5","222_HYDRO_6","223_CT_4","223_CT_5","223_CT_6","223_STEAM_1","223_STEAM_2","223_STEAM_3","301_CT_1","301_CT_2","301_CT_3","301_CT_4","302_CT_1","302_CT_2","302_CT_3","302_CT_4","303_WIND_1","307_CT_1","307_CT_2","308_RTPV_1","309_WIND_1","310_PV_1","310_PV_2","312_PV_1","313_CC_1","313_PV_1","313_PV_2","313_RTPV_1","313_RTPV_10","313_RTPV_11","313_RTPV_12","313_RTPV_13","313_RTPV_2","313_RTPV_3","313_RTPV_4","313_RTPV_5","313_RTPV_6","313_RTPV_7","313_RTPV_8","313_RTPV_9","314_PV_1","314_PV_2","314_PV_3","314_PV_4","314_SYNC_COND_1","315_CT_6","315_CT_7","315_CT_8","315_STEAM_1","315_STEAM_2","315_STEAM_3","315_STEAM_4","315_STEAM_5","316_STEAM_1","317_WIND_1","318_CC_1","319_PV_1","320_PV_1","320_RTPV_1","320_RTPV_2","320_RTPV_3","320_RTPV_4","320_RTPV_5","320_RTPV_6","321_CC_1","322_CT_5","322_CT_6","322_HYDRO_1","322_HYDRO_2","322_HYDRO_3","322_HYDRO_4","323_CC_1","323_CC_2","324_PV_1","324_PV_2","324_PV_3"
2020-07-05 00:00:00,0,0,0,0,0,0,76,76,0,0,0,0,76,76,0,0,170,0,0,0,0,0,0,0,0,124,124,231.7,0,0,0,0,0,0,0,0,0,0,0,400,12.3,12.3,12.3,12.3,12.3,12.3,14.2,0,0,0,124,280,0,0,10.7,45.3,0,0,60.7,60.7,0,0,0,0,0,0,0,0,0,10.7,10.7,10.7,0,124,0,180.379379,10.7,10.7,10.7,10.7,10.7,10.7,0,0,0,155,155,280,0,0,0,0,0,0,0,0,401.2,0,0,0,29.4,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,231.7,0,0,25.8,25.8,25.8,25.8,170,170,0,0,0
2020-07-05 01:00:00,0,0,0,0,0,0,76,76,0,0,0,0,76,76,0,0,170,0,0,0,0,0,0,0,0,124,124,231.7,0,0,0,0,0,0,0,0,0,0,0,400,13.2,13.2,13.2,13.2,13.2,13.2,25.5,0,0,0,124,280,0,0,8.6,45.3,0,0,60.7,60.7,0,0,0,0,0,0,0,0,0,8.6,8.6,8.6,0,124,0,170,8.6,8.6,8.6,8.6,8.6,8.6,0,0,0,155,155,211.590724,0,0,0,0,0,0,0,0,256.6,0,0,0,22.1,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0.3,0,0,0,0,0,0,0,0,0,231.7,0,0,27.4,27.4,27.4,27.4,170,170,0,0,0
2020-07-05 02:00:00,0,0,0,0,0,0,76,76,0,0,0,0,76,76,0,0,170,0,0,0,0,0,0,0,0,124,124,231.7,0,0,0,0,0,0,0,0,0,0,0,400,12.7,12.7,12.7,12.7,12.7,12.7,2.6,0,0,0,93,280,0,0,8.8,45.3,0,0,60.7,60.7,0,0,0,0,0,0,0,0,0,8.8,8.8,8.8,0,124,0,170,8.8,8.8,8.8,8.8,8.8,8.8,0,0,0,155,155,210,0,0,0,0,0,0,0,0,145.7,0,0,0,26.2,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,5,0,0,0,0,0,0,0,0,0,171.79643,0,0,31.9,31.9,31.9,31.9,170,170,0,0,0
2020-07-05 03:00:00,0,0,0,0,0,0,76,76,0,0,0,0,76,76,0,0,170,0,0,0,0,0,0,0,0,124,124,231.7,0,0,0,0,0,0,0,0,0,0,0,400,12.7,12.7,12.7,12.7,12.7,12.7,0,0,0,0,93,280,0,0,8.8,45.3,0,0,60.7,60.7,0,0,0,0,0,0,0,0,0,8.8,8.8,8.8,0,124,0,170,8.8,8.8,8.8,8.8,8.8,8.8,0,0,0,155,155,210,0,0,0,0,0,0,0,0,56,0,0,0,18.6,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0.2,0,0,0,0,0,0,0,0,0,180.060333,0,0,28.8,28.8,28.8,28.8,170,170,0,0,0
2020-07-05 04:00:00,0,0,0,0,0,0,76,76,0,0,0,0,60.7,60.7,0,0,170,0,0,0,0,0,0,0,0,93,124,170,0,0,0,0,0,0,0,0,0,0,0,400,13.2,13.2,13.2,13.2,13.2,13.2,0,0,0,0,93,280,0,0,8.8,40.9043459999992,0,0,60.7,60.7,0,0,0,0,0,0,0,0,0,8.8,8.8,8.8,0,124,0,170,8.8,8.8,8.8,8.8,8.8,8.8,0,0,0,155,155,210,0,0,0,0,0,0,0,0,34.2,0,0,0,10.7,0,0,0,231.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,170,0,0,40.7,40.7,40.7,40.7,170,170,0,0,0
2020-07-05 05:00:00,0,0,8.8,9.4,8.8,8.1,76,76,0,0,9,9.2,45.3,45.3,1,9.3,170,0,0,0,0,9.7,0,0,0,62,93,170,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.8,400,27.4,27.4,27.4,27.4,27.4,27.4,0,0,0,0,93,140,0,0,8.8,30,0,0,30,30,0,0,0,0,0,0.1,0,0,0,8.8,8.8,8.8,40.3,93,0,170,8.8,8.8,8.8,8.8,8.8,8.8,0,0,0,93.6458740000005,93,210,0,0,0,0,0,0,0,0,12.7,0,0,0.8,9.9,17.9,17.8,17.9,231.7,17.6,17.6,0.8,0.6,0.1,0.2,0.1,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,18.2,17.6,18.6,17.6,0,0,0,0,0,0,0,0,0,62,0,0,66.6,18,0.2,0.2,0.1,0.2,0,0,170,0,0,35.5,35.5,35.5,35.5,170,170,16.6,16.9,16.9
2020-07-05 06:00:00,0,0,14,14.2,13.7,13.9,45.3,45.3,0,0,13.5,13.7,30,30,12.2,14.2,170,0,0,0,0,16.4,0,0,0,62,62,170,1.9,0.8,1.9,1.5,1.9,1.7,1.9,1.9,2,1.7,11.5,400,39.2,39.2,39.2,39.2,39.2,39.2,0,0,0,0,62,140,0,0,17.9,30,0,0,30,30,0,0,0,0,0,2.4,0,0,0,17.9,17.9,17.9,49.4,62,0,170,17.9,17.9,17.9,17.9,17.9,17.9,0,0,0,62,62,140,0,0,0,0,0,0,0,0,9.8,0,0,18.8,12.1,27,27.1,33.1,207.999197999999,33,32.5,18.8,11.1,10.3,4.6,4.6,11.2,11.2,12,12.5,12.2,11.2,12.4,11.2,26.5,27.1,33.6,27.1,0,0,0,0,0,0,0,0,0,62,2.9,0,105.2,26.2,4.6,4.6,4.5,4.6,4.7,1.6,170,0,0,31.3,31.3,31.3,31.3,170,170,25.8,26.1,26.1
2020-07-05 07:00:00,0,0,16,17.1,16.1,15.6,30,30,0,0,16.2,16,30,30,23.9,16.6,170,0,0,0,0,45.1,0,0,0,62,62,170,3.6,1.8,3.6,3.4,3.5,3.5,3.5,4.3,4.4,3.9,19.3,397.524248,38.2,38.2,38.2,38.2,38.2,38.2,0,0,0,0,62,140,0,0,27.2,30,0,0,30,30,0,0,0,0,0,4.8,0,0,0,27.2,27.2,27.2,62.1,62,0,170,27.2,27.2,27.2,27.2,27.2,27.2,0,0,0,62,62,140,0,0,0,0,0,0,0,0,8.6,0,0,36.6,4.5,32.3,32.4,47.6,170,47.6,46.8,36.7,23.8,23.7,9.9,10.3,24.7,24.8,23.7,25,24.1,24.3,24.4,24.3,31.9,32.7,46.7,32.7,0,0,0,0,0,0,0,0,0,62,2.8,0,124.8,31.8,9.9,9.9,10.1,10,10.8,3.5,170,0,0,31.7,31.7,31.7,31.7,170,170,31.2,31.5,31.5
2020-07-05 08:00:00,0,0,18.2,18,16.7,16.2,45.3,45.3,0,0,18.5,17.8,30,30,34.1,16.9,170,0,0,0,0,49.2,0,0,0,62,62,170,5.1,2.7,5.1,4.9,5,5,5,6.3,6.5,5.7,30.4,400,39.2,39.2,39.2,39.2,39.2,39.2,0,0,0,0,62,140,0,0,27.8,30,0,0,30,30,0,0,0,0,0,6.8,0,0,0,27.8,27.8,27.8,84.1,62,0,170,27.8,27.8,27.8,27.8,27.8,27.8,0,0,0,62,62,140,0,0,0,0,0,0,0,0,3.7,0,0,55.8,0.8,34.6,34.9,57.9,231.584398,58.1,57.3,55.9,36.3,36.6,15.1,15.1,37.4,37.1,35.6,37.9,36,36.2,36.4,36.2,33.1,35.3,58.6,35.3,0,0,0,0,0,0,0,0,0,62,0.1,0,134.2,32.9,15.1,15.1,15.4,15.1,15.8,5,170,0,0,34.9,34.9,34.9,34.9,170,170,33.7,34.2,34.2
2020-07-05 09:00:00,0,0,18.5,18.7,18.5,18.4,76,76,0,0,18.9,18.4,45.3,45.3,41.7,18.3,170,0,0,0,0,53.7,0,0,0,62,62,170,6.2,3.2,6.2,6,6.1,6.1,6.1,7.5,7.8,6.9,39.9,400,37.7,37.7,37.7,37.7,37.7,37.7,0,0,0,0,62,140,0,0,29.6,30,0,0,30,30,0,0,0,0,0,8,0,0,0,29.6,29.6,29.6,88.4,93,0,170,29.6,29.6,29.6,29.6,29.6,29.6,0,0,0,90.8818409999994,93,210,0,0,0,0,0,0,0,0,4.2,0,0,69.4,2.7,35.3,35.5,64,231.7,60.3,63.2,69.5,44.2,44.6,18.5,18.2,46.2,45.3,44.5,46.7,44.3,44.4,44.8,44.5,35.1,36.4,64.9,36.4,0,0,0,0,0,0,0,0,0,62,0,0,135.7,34.7,18.5,18.5,18.8,18.4,19,5.9,170,0,0,20.5,20.5,20.5,20.5,170,170,34.9,35.1,35.1
