name,Type,Region,Zone
212_CSP_1,CSP,2,21
101_STEAM_3,Coal,1,11
101_STEAM_4,Coal,1,11
102_STEAM_3,Coal,1,11
102_STEAM_4,Coal,1,11
115_STEAM_3,Coal,1,12
116_STEAM_1,Coal,1,12
123_STEAM_2,Coal,1,12
123_STEAM_3,Coal,1,12
201_STEAM_3,Coal,2,21
202_STEAM_3,Coal,2,21
202_STEAM_4,Coal,2,21
216_STEAM_1,Coal,2,22
223_STEAM_1,Coal,2,22
223_STEAM_2,Coal,2,22
223_STEAM_3,Coal,2,22
316_STEAM_1,Coal,3,32
107_CC_1,Gas CC,1,11
118_CC_1,Gas CC,1,12
213_CC_3,Gas CC,2,22
218_CC_1,Gas CC,2,22
221_CC_1,Gas CC,2,22
313_CC_1,Gas CC,3,32
318_CC_1,Gas CC,3,32
321_CC_1,Gas CC,3,32
323_CC_1,Gas CC,3,32
323_CC_2,Gas CC,3,32
113_CT_1,Gas CT,1,12
113_CT_2,Gas CT,1,12
113_CT_3,Gas CT,1,12
113_CT_4,Gas CT,1,12
123_CT_1,Gas CT,1,12
123_CT_4,Gas CT,1,12
123_CT_5,Gas CT,1,12
207_CT_1,Gas CT,2,21
207_CT_2,Gas CT,2,21
213_CT_1,Gas CT,2,22
213_CT_2,Gas CT,2,22
215_CT_4,Gas CT,2,22
215_CT_5,Gas CT,2,22
223_CT_4,Gas CT,2,22
223_CT_5,Gas CT,2,22
223_CT_6,Gas CT,2,22
301_CT_3,Gas CT,3,31
301_CT_4,Gas CT,3,31
302_CT_3,Gas CT,3,31
302_CT_4,Gas CT,3,31
307_CT_1,Gas CT,3,31
307_CT_2,Gas CT,3,31
313_CC_1,Gas CC,3,32
315_CT_6,Gas CT,3,32
315_CT_7,Gas CT,3,32
315_CT_8,Gas CT,3,32
322_CT_5,Gas CT,3,32
322_CT_6,Gas CT,3,32
122_HYDRO_1,Hydro,1,12
122_HYDRO_2,Hydro,1,12
122_HYDRO_3,Hydro,1,12
122_HYDRO_4,Hydro,1,12
122_HYDRO_5,Hydro,1,12
122_HYDRO_6,Hydro,1,12
201_HYDRO_4,Hydro,2,21
215_HYDRO_1,Hydro,2,22
215_HYDRO_2,Hydro,2,22
215_HYDRO_3,Hydro,2,22
222_HYDRO_1,Hydro,2,22
222_HYDRO_2,Hydro,2,22
222_HYDRO_3,Hydro,2,22
222_HYDRO_4,Hydro,2,22
222_HYDRO_5,Hydro,2,22
222_HYDRO_6,Hydro,2,22
322_HYDRO_1,Hydro,3,32
322_HYDRO_2,Hydro,3,32
322_HYDRO_3,Hydro,3,32
322_HYDRO_4,Hydro,3,32
121_NUCLEAR_1,Nuclear,1,12
101_CT_1,Oil CT,1,11
101_CT_2,Oil CT,1,11
102_CT_1,Oil CT,1,11
102_CT_2,Oil CT,1,11
201_CT_1,Oil CT,2,21
201_CT_2,Oil CT,2,21
202_CT_1,Oil CT,2,21
202_CT_2,Oil CT,2,21
301_CT_1,Oil CT,3,31
301_CT_2,Oil CT,3,31
302_CT_1,Oil CT,3,31
302_CT_2,Oil CT,3,31
115_STEAM_1,Oil ST,1,12
115_STEAM_2,Oil ST,1,12
315_STEAM_1,Oil ST,3,32
315_STEAM_2,Oil ST,3,32
315_STEAM_3,Oil ST,3,32
315_STEAM_4,Oil ST,3,32
315_STEAM_5,Oil ST,3,32
101_PV_1,Solar,1,11
101_PV_2,Solar,1,11
101_PV_3,Solar,1,11
101_PV_4,Solar,1,11
102_PV_1,Solar,1,11
102_PV_2,Solar,1,11
103_PV_1,Solar,1,11
104_PV_1,Solar,1,11
113_PV_1,Solar,1,12
118_RTPV_1,Solar,1,12
118_RTPV_10,Solar,1,12
118_RTPV_2,Solar,1,12
118_RTPV_3,Solar,1,12
118_RTPV_4,Solar,1,12
118_RTPV_5,Solar,1,12
118_RTPV_6,Solar,1,12
118_RTPV_7,Solar,1,12
118_RTPV_8,Solar,1,12
118_RTPV_9,Solar,1,12
119_PV_1,Solar,1,12
213_RTPV_1,Solar,2,22
215_PV_1,Solar,2,22
308_RTPV_1,Solar,3,31
310_PV_1,Solar,3,31
310_PV_2,Solar,3,31
312_PV_1,Solar,3,31
313_PV_1,Solar,3,32
313_PV_2,Solar,3,32
313_RTPV_1,Solar,3,32
313_RTPV_10,Solar,3,32
313_RTPV_11,Solar,3,32
313_RTPV_12,Solar,3,32
313_RTPV_13,Solar,3,32
313_RTPV_2,Solar,3,32
313_RTPV_3,Solar,3,32
313_RTPV_4,Solar,3,32
313_RTPV_5,Solar,3,32
313_RTPV_6,Solar,3,32
313_RTPV_7,Solar,3,32
313_RTPV_8,Solar,3,32
313_RTPV_9,Solar,3,32
314_PV_1,Solar,3,32
314_PV_2,Solar,3,32
314_PV_3,Solar,3,32
314_PV_4,Solar,3,32
319_PV_1,Solar,3,32
320_PV_1,Solar,3,32
320_RTPV_1,Solar,3,32
320_RTPV_2,Solar,3,32
320_RTPV_3,Solar,3,32
320_RTPV_4,Solar,3,32
320_RTPV_5,Solar,3,32
320_RTPV_6,Solar,3,32
324_PV_1,Solar,3,32
324_PV_2,Solar,3,32
324_PV_3,Solar,3,32
313_STORAGE_1,Storage,3,32
114_SYNC_COND_1,Sync_Cond,1,12
214_SYNC_COND_1,Sync_Cond,2,22
314_SYNC_COND_1,Sync_Cond,3,32
122_WIND_1,Wind,1,12
303_WIND_1,Wind,3,31
309_WIND_1,Wind,3,31
317_WIND_1,Wind,3,32
