Year,Month,Day,Period,122_HYDRO_1,122_HYDRO_2,122_HYDRO_3,122_HYDRO_4,122_HYDRO_5,122_HYDRO_6,201_HYDRO_4,215_HYDRO_1,215_HYDRO_2,215_HYDRO_3,222_HYDRO_1,222_HYDRO_2,222_HYDRO_3,222_HYDRO_4,222_HYDRO_5,222_HYDRO_6,322_HYDRO_1,322_HYDRO_2,322_HYDRO_3,322_HYDRO_4,    SUM,PER UNIT
2020,1,1,1,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5,184.2,0.1842
2020,1,1,2,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,20.3,20.3,20.3,20.3,199,0.199
2020,1,1,3,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,12,12,12,12,163.8,0.1638
2020,1,1,4,4.2,4.2,4.2,4.2,4.2,4.2,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11.9,11.9,11.9,11.9,167.8,0.1678
2020,1,1,5,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,11.7,11.7,11.7,11.7,162.6,0.1626
2020,1,1,6,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,6.8,6.8,6.8,6.8,141,0.141
2020,1,1,7,4.2,4.2,4.2,4.2,4.2,4.2,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,7.6,7.6,7.6,7.6,150.6,0.1506
2020,1,1,8,3.8,3.8,3.8,3.8,3.8,3.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,19.2,19.2,19.2,19.2,288.6,0.2886
2020,1,1,9,3.8,3.8,3.8,3.8,3.8,3.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,10.9,10.9,10.9,10.9,251.4,0.2514
2020,1,1,10,3.8,3.8,3.8,3.8,3.8,3.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,32.7,32.7,32.7,32.7,338.6,0.3386
2020,1,1,11,3.8,3.8,3.8,3.8,3.8,3.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,35.2,35.2,35.2,35.2,350.6,0.3506
2020,1,1,12,3.8,3.8,3.8,3.8,3.8,3.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,35.5,35.5,35.5,35.5,349.8,0.3498
2020,1,1,13,3.8,3.8,3.8,3.8,3.8,3.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,35.1,35.1,35.1,35.1,350.2,0.3502
2020,1,1,14,4.2,4.2,4.2,4.2,4.2,4.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,21.4,21.4,21.4,21.4,297.8,0.2978
2020,1,1,15,4.2,4.2,4.2,4.2,4.2,4.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,16.9,16.9,16.9,16.9,279.8,0.2798
2020,1,1,16,13.2,13.2,13.2,13.2,13.2,13.2,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,19.4,19.4,19.4,19.4,343.8,0.3438
2020,1,1,17,12.7,12.7,12.7,12.7,12.7,12.7,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,15.1,15.1,15.1,15.1,325.6,0.3256
2020,1,1,18,13.2,13.2,13.2,13.2,13.2,13.2,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,23.6,23.6,23.6,23.6,352.6,0.3526
2020,1,1,19,9,9,9,9,9,9,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,33.1,33.1,33.1,33.1,279.4,0.2794
2020,1,1,20,4.2,4.2,4.2,4.2,4.2,4.2,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,38.4,38.4,38.4,38.4,273.8,0.2738
2020,1,1,21,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,40.8,40.8,40.8,40.8,279,0.279
2020,1,1,22,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,37.4,37.4,37.4,37.4,265.4,0.2654
2020,1,1,23,3.8,3.8,3.8,3.8,3.8,3.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,41,41,41,41,277.8,0.2778
2020,1,1,24,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,10,10,10,10,155.8,0.1558
2020,1,2,1,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.4,9.4,9.4,9.4,147.4,0.1474
2020,1,2,2,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,30.3,30.3,30.3,30.3,231,0.231
2020,1,2,3,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,25,25,25,25,209.8,0.2098
2020,1,2,4,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,23.1,23.1,23.1,23.1,202.2,0.2022
2020,1,2,5,2.8,2.8,2.8,2.8,2.8,2.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,22.6,22.6,22.6,22.6,200.2,0.2002
2020,1,2,6,2.8,2.8,2.8,2.8,2.8,2.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,17.5,17.5,17.5,17.5,181.8,0.1818
2020,1,2,7,3.3,3.3,3.3,3.3,3.3,3.3,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,11.1,11.1,11.1,11.1,243.2,0.2432
2020,1,2,8,2.4,2.4,2.4,2.4,2.4,2.4,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,22.7,22.7,22.7,22.7,290.2,0.2902
2020,1,2,9,3.3,3.3,3.3,3.3,3.3,3.3,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,26.1,26.1,26.1,26.1,311.2,0.3112
2020,1,2,10,2.4,2.4,2.4,2.4,2.4,2.4,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,26.4,26.4,26.4,26.4,307,0.307
2020,1,2,11,2.8,2.8,2.8,2.8,2.8,2.8,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,32,32,32,32,331.8,0.3318
2020,1,2,12,2.8,2.8,2.8,2.8,2.8,2.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,39.1,39.1,39.1,39.1,362.2,0.3622
2020,1,2,13,2.8,2.8,2.8,2.8,2.8,2.8,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,33.6,33.6,33.6,33.6,336.2,0.3362
2020,1,2,14,2.8,2.8,2.8,2.8,2.8,2.8,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,30.6,30.6,30.6,30.6,328.2,0.3282
2020,1,2,15,2.8,2.8,2.8,2.8,2.8,2.8,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,29.7,29.7,29.7,29.7,232.6,0.2326
2020,1,2,16,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,29.7,29.7,29.7,29.7,231.6,0.2316
2020,1,2,17,3.3,3.3,3.3,3.3,3.3,3.3,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,31.1,31.1,31.1,31.1,239.2,0.2392
2020,1,2,18,3.3,3.3,3.3,3.3,3.3,3.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,32.4,32.4,32.4,32.4,242.4,0.2424
2020,1,2,19,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,31.9,31.9,31.9,31.9,243.4,0.2434
2020,1,2,20,3.8,3.8,3.8,3.8,3.8,3.8,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,34.7,34.7,34.7,34.7,254.6,0.2546
2020,1,2,21,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,32.8,32.8,32.8,32.8,249.4,0.2494
2020,1,2,22,4.7,4.7,4.7,4.7,4.7,4.7,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,29.1,29.1,29.1,29.1,237.6,0.2376
2020,1,2,23,4.7,4.7,4.7,4.7,4.7,4.7,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,40.3,40.3,40.3,40.3,282.4,0.2824
2020,1,2,24,4.7,4.7,4.7,4.7,4.7,4.7,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,19.9,19.9,19.9,19.9,198.8,0.1988
