Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1,     SUM,PER UNIT
2020,1,1,1,142.8,795.1,480.8,713.2,2131.9,0.850074
2020,1,1,2,139.1,794.4,634.9,712.8,2281.2,0.909606
2020,1,1,3,145.3,773.6,487.3,708.4,2114.6,0.843176
2020,1,1,4,144.8,767.3,432.7,710.7,2055.5,0.819610
2020,1,1,5,137.1,752.2,407.9,701.4,1998.6,0.796922
2020,1,1,6,98.6,719.4,440.2,682.5,1940.7,0.773835
2020,1,1,7,62.2,655.3,377.3,614.7,1709.5,0.681646
2020,1,1,8,47.3,594.6,199.3,517.7,1358.9,0.541848
2020,1,1,9,48.9,579.1,110.6,426.6,1165.2,0.464612
2020,1,1,10,30.7,466.8,3.6,274.2,775.3,0.309143
2020,1,1,11,27.4,301.4,2.4,93,424.2,0.169146
2020,1,1,12,60.9,110.7,56.2,6.3,234.1,0.093345
2020,1,1,13,20.4,78.9,91.5,3.8,194.6,0.077595
2020,1,1,14,1.6,107.9,103,1.1,213.6,0.085171
2020,1,1,15,0,22.3,39.7,0,62,0.024722
2020,1,1,16,2.6,24.6,87.7,0,114.9,0.045815
2020,1,1,17,37.9,10.8,92.3,0.9,141.9,0.056581
2020,1,1,18,46.9,243.2,89.4,276.3,655.8,0.261494
2020,1,1,19,24,375.2,90.4,272.9,762.5,0.304039
2020,1,1,20,24,568.4,81.1,345.6,1019.1,0.406356
2020,1,1,21,27.4,636.1,172.9,411.7,1248.1,0.497667
2020,1,1,22,6.5,719.2,326.9,376.6,1429.2,0.569879
2020,1,1,23,1.3,734.9,256.7,561.3,1554.2,0.619722
2020,1,1,24,0.1,729.1,141.1,568.4,1438.7,0.573667
2020,1,2,1,0.8,757.1,52.6,630,1440.5,0.574385
2020,1,2,2,2.7,753.4,17.4,672.3,1445.8,0.576498
2020,1,2,3,11.4,734.3,8.9,661.3,1415.9,0.564576
2020,1,2,4,18.3,724.2,7,654,1403.5,0.559632
2020,1,2,5,23.6,725.7,11.6,654.4,1415.3,0.564337
2020,1,2,6,24.6,748,23.3,666.4,1462.3,0.583077
2020,1,2,7,10.3,764.3,16.1,686.7,1477.4,0.589098
2020,1,2,8,5.6,764.3,20.5,689.3,1479.7,0.590016
2020,1,2,9,3.7,765.3,35.2,683.8,1488,0.593325
2020,1,2,10,0.8,781.5,33.4,698.6,1514.3,0.603812
2020,1,2,11,0,785.8,22.9,713.5,1522.2,0.606962
2020,1,2,12,0,776.7,31.8,710.3,1518.8,0.605606
2020,1,2,13,0,752.7,79.6,702.2,1534.5,0.611867
2020,1,2,14,0,715.3,82.8,699.2,1497.3,0.597033
2020,1,2,15,0,730,49,686.9,1465.9,0.584513
2020,1,2,16,0,731.5,98.9,695.4,1525.8,0.608397
2020,1,2,17,0.6,747.7,219.6,712.3,1680.2,0.669963
2020,1,2,18,1.4,754.9,89,712.4,1557.7,0.621117
2020,1,2,19,24.8,772,47.5,712.2,1556.5,0.620639
2020,1,2,20,25.3,779.9,0,711.2,1516.4,0.604649
2020,1,2,21,13.2,747.8,2.9,711.9,1475.8,0.588460
2020,1,2,22,10,749.2,175.2,696.7,1631.1,0.650385
2020,1,2,23,35.7,786.5,333.2,689.7,1845.1,0.735715
2020,1,2,24,51.7,789.9,343,666.6,1851.2,0.738147
2020,1,3,1,26.7,779.2,429,658.3,1893.2,0.754895
2020,1,3,2,82.8,788.5,563.7,688.5,2123.5,0.846724
2020,1,3,3,98.4,781.2,781.3,686.9,2347.8,0.936162
2020,1,3,4,132.4,761.7,802.1,675.8,2372,0.945811
2020,1,3,5,80,768.4,696.5,680.5,2225.4,0.887356
2020,1,3,6,108.9,754.6,658.7,677.8,2200,0.877228
2020,1,3,7,107.8,721.8,776.2,666.2,2272,0.905937
2020,1,3,8,106.7,671.1,790.7,694.4,2262.9,0.902309
2020,1,3,9,116.3,563.3,721.2,690.1,2090.9,0.833725
2020,1,3,10,83,551,639.7,690.3,1964,0.783125
2020,1,3,11,65,619.9,567.8,647.2,1899.9,0.757566
2020,1,3,12,114.7,680.2,567.8,698.7,2061.4,0.821963
2020,1,3,13,58.8,568.7,598.4,523.4,1749.3,0.697516
2020,1,3,14,86.1,575.8,688.7,500.1,1850.7,0.737948
2020,1,3,15,82.9,535.6,585.5,481.8,1685.8,0.672196
2020,1,3,16,72.8,465,524.2,491.6,1553.6,0.619482
2020,1,3,17,73.1,526.7,537.6,177.5,1314.9,0.524303
2020,1,3,18,79,87.5,329.9,10.9,507.3,0.202281
2020,1,3,19,96.5,123.8,286.6,30.1,537,0.214123
2020,1,3,20,92.5,264.8,294.6,96.9,748.8,0.298576
2020,1,3,21,118.7,400.4,303.2,389.5,1211.8,0.483193
2020,1,3,22,113.8,513.5,330.4,404.6,1362.3,0.543203
2020,1,3,23,120.2,497.4,315.2,354.7,1287.5,0.513378
2020,1,3,24,79.7,219.7,357,414.1,1070.5,0.426851
2020,1,4,1,28.5,52.6,195.5,198.8,475.4,0.189561
2020,1,4,2,30.6,63.5,94.5,77.5,266.1,0.106105
2020,1,4,3,23.6,60.1,32.5,33.4,149.6,0.059652
2020,1,4,4,46.9,73.7,53.4,28.5,202.5,0.080745
2020,1,4,5,41.4,54.9,154.6,60,310.9,0.123968
2020,1,4,6,23.1,72.7,108.3,85.3,289.4,0.115395
2020,1,4,7,18.8,55.9,31.1,82.2,188,0.074963
2020,1,4,8,20.6,26.4,99.3,70.8,217.1,0.086566
2020,1,4,9,2.6,15.2,90.9,86.4,195.1,0.077794
2020,1,4,10,0,45.4,12.9,101.7,160,0.063798
2020,1,4,11,0,108.7,0,48.2,156.9,0.062562
2020,1,4,12,0,169.5,8.9,121.2,299.6,0.119462
2020,1,4,13,4.9,155.7,131.2,243.6,535.4,0.213485
2020,1,4,14,60.3,159.5,344.6,255.6,820,0.326967
2020,1,4,15,65,358.7,496.6,452.7,1373,0.547470
2020,1,4,16,76.6,304.8,386,441.7,1209.1,0.482117
2020,1,4,17,37.9,154.4,161.5,403.3,757.1,0.301886
2020,1,4,18,37.8,554.6,327.2,88.9,1008.5,0.402129
2020,1,4,19,105.5,409.6,395.6,557.4,1468.1,0.585390
2020,1,4,20,137.3,614.2,602.7,591.2,1945.4,0.775709
2020,1,4,21,142.9,740.1,822.5,574.5,2280,0.909127
2020,1,4,22,147,774.4,835.8,706.1,2463.3,0.982216
2020,1,4,23,147,796.3,833.3,713.5,2490.1,0.992902
2020,1,4,24,147.4,799.1,839.2,577.2,2362.9,0.942183
2020,1,5,1,146.8,799.1,836.4,587.3,2369.6,0.944854
2020,1,5,2,147,798.4,839.9,627.5,2412.8,0.962080
2020,1,5,3,147.6,799,838.8,602.4,2387.8,0.952111
2020,1,5,4,146.6,799.1,840.7,613.1,2399.5,0.956777
2020,1,5,5,147.5,797.2,839.7,599.4,2383.8,0.950516
2020,1,5,6,147.2,768.4,834.2,630.4,2380.2,0.949081
2020,1,5,7,147.1,729.5,828.3,696.8,2401.7,0.957654
2020,1,5,8,146.6,703.7,807.5,670.3,2328.1,0.928307
2020,1,5,9,145.5,632.8,761.8,663.9,2204,0.878823
2020,1,5,10,146.2,755,715.8,703.3,2320.3,0.925196
2020,1,5,11,140.3,762,554.4,648.4,2105.1,0.839388
2020,1,5,12,101.9,628.3,262,628.7,1620.9,0.646318
2020,1,5,13,78.4,561.4,313,590.8,1543.6,0.615495
2020,1,5,14,70.4,443,299.3,507.3,1320,0.526337
2020,1,5,15,51.1,479.6,291.4,581.4,1403.5,0.559632
2020,1,5,16,53.6,357.2,352.1,433.4,1196.3,0.477013
2020,1,5,17,44.2,249.7,348.1,279.9,921.9,0.367598
2020,1,5,18,83.6,95.7,162,0,341.3,0.136090
2020,1,5,19,77.5,136.5,142.6,3.9,360.5,0.143746
2020,1,5,20,66.9,141.3,264.3,26.2,498.7,0.198852
2020,1,5,21,20.7,176,172.8,419.8,789.3,0.314725
2020,1,5,22,14.5,174.1,122.2,563.4,874.2,0.348578
2020,1,5,23,39,362,162.6,539.6,1103.2,0.439890
2020,1,5,24,86.6,477.9,286.8,658.3,1509.6,0.601938
2020,1,6,1,104,638.4,543.1,650.2,1935.7,0.771841
2020,1,6,2,117.3,570.2,635.4,650.9,1973.8,0.787033
2020,1,6,3,130,601.8,609.1,667.2,2008.1,0.800710
2020,1,6,4,135.1,721.6,723.3,661.2,2241.2,0.893656
2020,1,6,5,123.1,747.2,707.6,651,2228.9,0.888752
2020,1,6,6,104.4,745,765.6,649.7,2264.7,0.903026
2020,1,6,7,96.5,684.6,791.6,639.2,2211.9,0.881973
2020,1,6,8,94.5,705.5,804.7,645.6,2250.3,0.897285
2020,1,6,9,100.3,769.8,810.8,672.2,2353.1,0.938275
2020,1,6,10,132.4,790.9,809.8,695.1,2428.2,0.968220
2020,1,6,11,145.3,793.5,716.4,705.7,2360.9,0.941385
2020,1,6,12,143.2,784.3,669.9,704.1,2301.5,0.917700
2020,1,6,13,136,769.6,599.5,697.1,2202.2,0.878105
2020,1,6,14,123.1,761.4,498.4,688.3,2071.2,0.825870
2020,1,6,15,130.7,759.6,464.2,670.5,2025,0.807448
2020,1,6,16,143.2,723.5,521.7,664.4,2052.8,0.818533
2020,1,6,17,130.1,686.8,615.4,664.1,2096.4,0.835918
2020,1,6,18,137.2,689.3,558.6,657.7,2042.8,0.814546
2020,1,6,19,128,686.4,547.1,656.2,2017.7,0.804538
2020,1,6,20,137.8,670.4,518,661,1987.2,0.792376
2020,1,6,21,134.8,660.5,558.5,667.9,2021.7,0.806133
2020,1,6,22,145,740.1,582,678.7,2145.8,0.855616
2020,1,6,23,147.6,789.7,481,700.3,2118.6,0.844771
2020,1,6,24,148.1,799.1,462.1,712.2,2121.5,0.845927
2020,1,7,1,148,799.1,619,713.5,2279.6,0.908968
2020,1,7,2,147.7,789.9,782.8,711.7,2432.1,0.969776
2020,1,7,3,147,796,829.1,711.4,2483.5,0.990271
2020,1,7,4,146.9,796.9,833.8,709.2,2486.8,0.991587
2020,1,7,5,146.4,796.4,836.6,707.3,2486.7,0.991547
2020,1,7,6,145.5,796.7,836.6,701.9,2480.7,0.989154
2020,1,7,7,147.1,796.2,838.8,710.8,2492.9,0.994019
2020,1,7,8,147.2,795.7,837.8,704.6,2485.3,0.990988
2020,1,7,9,148,793.6,838.7,701.4,2481.7,0.989553
2020,1,7,10,147.6,793.9,823.2,703.9,2468.6,0.984330
2020,1,7,11,138.5,794.2,768.5,709.4,2410.6,0.961203
2020,1,7,12,142.4,781.9,756.4,709.1,2389.8,0.952909
2020,1,7,13,146.8,775.1,757.6,705.9,2385.4,0.951154
2020,1,7,14,146.2,783.2,746.4,704.4,2380.2,0.949081
2020,1,7,15,144.1,788.8,776.5,709,2418.4,0.964313
2020,1,7,16,146.2,787,798.8,709.4,2441.4,0.973484
2020,1,7,17,146.6,787.3,794.9,713.2,2442,0.973723
2020,1,7,18,140.9,798.3,758.1,713.5,2410.8,0.961282
2020,1,7,19,147.2,798.7,831.3,713.5,2490.7,0.993142
2020,1,7,20,145.7,796.4,836.3,713.5,2491.9,0.993620
2020,1,7,21,146.1,795.9,836.9,713.3,2492.2,0.993740
2020,1,7,22,137.1,746.7,837.2,709.3,2430.3,0.969058
2020,1,7,23,142.1,797.9,822.3,713.2,2475.5,0.987081
2020,1,7,24,145.3,767,708,711.5,2331.8,0.929782
2020,1,8,1,133.1,543.5,620.4,614.3,1911.3,0.762112
2020,1,8,2,99.3,771.7,612,696,2179,0.868854
2020,1,8,3,69.1,788.3,636,698,2191.4,0.873799
2020,1,8,4,93.1,577,685.9,529.4,1885.4,0.751784
2020,1,8,5,100.6,326.6,520.7,274.9,1222.8,0.487579
2020,1,8,6,107.2,363.1,665.7,68.4,1204.4,0.480242
2020,1,8,7,141,312.8,837.6,69,1360.4,0.542446
2020,1,8,8,148,397.7,843.1,442.8,1831.6,0.730332
2020,1,8,9,148.2,662.9,847,649.8,2307.9,0.920252
2020,1,8,10,148.3,786.7,847,622.5,2404.5,0.958770
2020,1,8,11,148.3,798.9,838.1,655.8,2441.1,0.973364
2020,1,8,12,145.1,788.1,838.4,713.5,2485.1,0.990909
2020,1,8,13,145.7,789.4,845.4,713.5,2494,0.994458
2020,1,8,14,146,798.5,843.6,713.5,2501.6,0.997488
2020,1,8,15,147.1,799,839.2,713.5,2498.8,0.996371
2020,1,8,16,146.5,796,837.9,709.2,2489.6,0.992703
2020,1,8,17,147,788.6,835.3,711,2481.9,0.989633
2020,1,8,18,147.8,797.5,843.4,713.5,2502.2,0.997727
2020,1,8,19,147.7,797.8,841.2,705.3,2492,0.993660
2020,1,8,20,147.2,798.9,788.8,704.2,2439.1,0.972567
2020,1,8,21,145.2,798.1,776.4,708.1,2427.8,0.968061
2020,1,8,22,145.4,799.1,778.4,710.1,2433,0.970134
2020,1,8,23,146.8,794.9,729,707.2,2377.9,0.948164
2020,1,8,24,147,791.6,723.7,712.5,2374.8,0.946928
2020,1,9,1,146.8,793.8,733.9,712.9,2387.4,0.951952
2020,1,9,2,146.2,790.7,674.5,713.5,2324.9,0.927031
2020,1,9,3,147.8,789.2,748.8,713.5,2399.3,0.956697
2020,1,9,4,147.6,789.3,744.7,713.5,2395.1,0.955022
2020,1,9,5,147.3,787.3,684.8,713.5,2332.9,0.930221
2020,1,9,6,147,785.7,607.4,712.1,2252.2,0.898042
2020,1,9,7,147.2,784.9,509.9,701.4,2143.4,0.854659
