LoadLevel,Duration,Stage
010101,1,st0
010102,1,st0
010103,1,st0
010104,1,st0
010105,1,st0
010106,1,st0
010107,1,st0
010108,1,st0
010109,1,st0
010110,1,st0
010111,1,st0
010112,1,st0
010113,1,st0
010114,1,st0
010115,1,st0
010116,1,st0
010117,1,st0
010118,1,st0
010119,1,st0
010120,1,st0
010121,1,st0
010122,1,st0
010123,1,st0
010124,1,st0
010201,1,st0
010202,1,st0
010203,1,st0
010204,1,st0
010205,1,st0
010206,1,st0
010207,1,st0
010208,1,st0
010209,1,st0
010210,1,st0
010211,1,st0
010212,1,st0
010213,1,st0
010214,1,st0
010215,1,st0
010216,1,st0
010217,1,st0
010218,1,st0
010219,1,st0
010220,1,st0
010221,1,st0
010222,1,st0
010223,1,st0
010224,1,st0
010301,1,st0
010302,1,st0
010303,1,st0
010304,1,st0
010305,1,st0
010306,1,st0
010307,1,st0
010308,1,st0
010309,1,st0
010310,1,st0
010311,1,st0
010312,1,st0
010313,1,st0
010314,1,st0
010315,1,st0
010316,1,st0
010317,1,st0
010318,1,st0
010319,1,st0
010320,1,st0
010321,1,st0
010322,1,st0
010323,1,st0
010324,1,st0
010401,1,st0
010402,1,st0
010403,1,st0
010404,1,st0
010405,1,st0
010406,1,st0
010407,1,st0
010408,1,st0
010409,1,st0
010410,1,st0
010411,1,st0
010412,1,st0
010413,1,st0
010414,1,st0
010415,1,st0
010416,1,st0
010417,1,st0
010418,1,st0
010419,1,st0
010420,1,st0
010421,1,st0
010422,1,st0
010423,1,st0
010424,1,st0
010501,1,st0
010502,1,st0
010503,1,st0
010504,1,st0
010505,1,st0
010506,1,st0
010507,1,st0
010508,1,st0
010509,1,st0
010510,1,st0
010511,1,st0
010512,1,st0
010513,1,st0
010514,1,st0
010515,1,st0
010516,1,st0
010517,1,st0
010518,1,st0
010519,1,st0
010520,1,st0
010521,1,st0
010522,1,st0
010523,1,st0
010524,1,st0
010601,1,st0
010602,1,st0
010603,1,st0
010604,1,st0
010605,1,st0
010606,1,st0
010607,1,st0
010608,1,st0
010609,1,st0
010610,1,st0
010611,1,st0
010612,1,st0
010613,1,st0
010614,1,st0
010615,1,st0
010616,1,st0
010617,1,st0
010618,1,st0
010619,1,st0
010620,1,st0
010621,1,st0
010622,1,st0
010623,1,st0
010624,1,st0
010701,1,st0
010702,1,st0
010703,1,st0
010704,1,st0
010705,1,st0
010706,1,st0
010707,1,st0
010708,1,st0
010709,1,st0
010710,1,st0
010711,1,st0
010712,1,st0
010713,1,st0
010714,1,st0
010715,1,st0
010716,1,st0
010717,1,st0
010718,1,st0
010719,1,st0
010720,1,st0
010721,1,st0
010722,1,st0
010723,1,st0
010724,1,st0
010801,1,st0
010802,1,st0
010803,1,st0
010804,1,st0
010805,1,st0
010806,1,st0
010807,1,st0
010808,1,st0
010809,1,st0
010810,1,st0
010811,1,st0
010812,1,st0
010813,1,st0
010814,1,st0
010815,1,st0
010816,1,st0
010817,1,st0
010818,1,st0
010819,1,st0
010820,1,st0
010821,1,st0
010822,1,st0
010823,1,st0
010824,1,st0
010901,1,st0
010902,1,st0
010903,1,st0
010904,1,st0
010905,1,st0
010906,1,st0
010907,1,st0
010908,1,st0
010909,1,st0
010910,1,st0
010911,1,st0
010912,1,st0
010913,1,st0
010914,1,st0
010915,1,st0
010916,1,st0
010917,1,st0
010918,1,st0
010919,1,st0
010920,1,st0
010921,1,st0
010922,1,st0
010923,1,st0
010924,1,st0
011001,1,st0
011002,1,st0
011003,1,st0
011004,1,st0
011005,1,st0
011006,1,st0
011007,1,st0
011008,1,st0
011009,1,st0
011010,1,st0
011011,1,st0
011012,1,st0
011013,1,st0
011014,1,st0
011015,1,st0
011016,1,st0
011017,1,st0
011018,1,st0
011019,1,st0
011020,1,st0
011021,1,st0
011022,1,st0
011023,1,st0
011024,1,st0
011101,1,st0
011102,1,st0
011103,1,st0
011104,1,st0
011105,1,st0
011106,1,st0
011107,1,st0
011108,1,st0
011109,1,st0
011110,1,st0
011111,1,st0
011112,1,st0
011113,1,st0
011114,1,st0
011115,1,st0
011116,1,st0
011117,1,st0
011118,1,st0
011119,1,st0
011120,1,st0
011121,1,st0
011122,1,st0
011123,1,st0
011124,1,st0
011201,1,st0
011202,1,st0
011203,1,st0
011204,1,st0
011205,1,st0
011206,1,st0
011207,1,st0
011208,1,st0
011209,1,st0
011210,1,st0
011211,1,st0
011212,1,st0
011213,1,st0
011214,1,st0
011215,1,st0
011216,1,st0
011217,1,st0
011218,1,st0
011219,1,st0
011220,1,st0
011221,1,st0
011222,1,st0
011223,1,st0
011224,1,st0
011301,1,st0
011302,1,st0
011303,1,st0
011304,1,st0
011305,1,st0
011306,1,st0
011307,1,st0
011308,1,st0
011309,1,st0
011310,1,st0
011311,1,st0
011312,1,st0
011313,1,st0
011314,1,st0
011315,1,st0
011316,1,st0
011317,1,st0
011318,1,st0
011319,1,st0
011320,1,st0
011321,1,st0
011322,1,st0
011323,1,st0
011324,1,st0
011401,1,st0
011402,1,st0
011403,1,st0
011404,1,st0
011405,1,st0
011406,1,st0
011407,1,st0
011408,1,st0
011409,1,st0
011410,1,st0
011411,1,st0
011412,1,st0
011413,1,st0
011414,1,st0
011415,1,st0
011416,1,st0
011417,1,st0
011418,1,st0
011419,1,st0
011420,1,st0
011421,1,st0
011422,1,st0
011423,1,st0
011424,1,st0
011501,1,st0
011502,1,st0
011503,1,st0
011504,1,st0
011505,1,st0
011506,1,st0
011507,1,st0
011508,1,st0
011509,1,st0
011510,1,st0
011511,1,st0
011512,1,st0
011513,1,st0
011514,1,st0
011515,1,st0
011516,1,st0
011517,1,st0
011518,1,st0
011519,1,st0
011520,1,st0
011521,1,st0
011522,1,st0
011523,1,st0
011524,1,st0
011601,1,st0
011602,1,st0
011603,1,st0
011604,1,st0
011605,1,st0
011606,1,st0
011607,1,st0
011608,1,st0
011609,1,st0
011610,1,st0
011611,1,st0
011612,1,st0
011613,1,st0
011614,1,st0
011615,1,st0
011616,1,st0
011617,1,st0
011618,1,st0
011619,1,st0
011620,1,st0
011621,1,st0
011622,1,st0
011623,1,st0
011624,1,st0
011701,1,st0
011702,1,st0
011703,1,st0
011704,1,st0
011705,1,st0
011706,1,st0
011707,1,st0
011708,1,st0
011709,1,st0
011710,1,st0
011711,1,st0
011712,1,st0
011713,1,st0
011714,1,st0
011715,1,st0
011716,1,st0
011717,1,st0
011718,1,st0
011719,1,st0
011720,1,st0
011721,1,st0
011722,1,st0
011723,1,st0
011724,1,st0
011801,1,st0
011802,1,st0
011803,1,st0
011804,1,st0
011805,1,st0
011806,1,st0
011807,1,st0
011808,1,st0
011809,1,st0
011810,1,st0
011811,1,st0
011812,1,st0
011813,1,st0
011814,1,st0
011815,1,st0
011816,1,st0
011817,1,st0
011818,1,st0
011819,1,st0
011820,1,st0
011821,1,st0
011822,1,st0
011823,1,st0
011824,1,st0
011901,1,st0
011902,1,st0
011903,1,st0
011904,1,st0
011905,1,st0
011906,1,st0
011907,1,st0
011908,1,st0
011909,1,st0
011910,1,st0
011911,1,st0
011912,1,st0
011913,1,st0
011914,1,st0
011915,1,st0
011916,1,st0
011917,1,st0
011918,1,st0
011919,1,st0
011920,1,st0
011921,1,st0
011922,1,st0
011923,1,st0
011924,1,st0
012001,1,st0
012002,1,st0
012003,1,st0
012004,1,st0
012005,1,st0
012006,1,st0
012007,1,st0
012008,1,st0
012009,1,st0
012010,1,st0
012011,1,st0
012012,1,st0
012013,1,st0
012014,1,st0
012015,1,st0
012016,1,st0
012017,1,st0
012018,1,st0
012019,1,st0
012020,1,st0
012021,1,st0
012022,1,st0
012023,1,st0
012024,1,st0
012101,1,st0
012102,1,st0
012103,1,st0
012104,1,st0
012105,1,st0
012106,1,st0
012107,1,st0
012108,1,st0
012109,1,st0
012110,1,st0
012111,1,st0
012112,1,st0
012113,1,st0
012114,1,st0
012115,1,st0
012116,1,st0
012117,1,st0
012118,1,st0
012119,1,st0
012120,1,st0
012121,1,st0
012122,1,st0
012123,1,st0
012124,1,st0
012201,1,st0
012202,1,st0
012203,1,st0
012204,1,st0
012205,1,st0
012206,1,st0
012207,1,st0
012208,1,st0
012209,1,st0
012210,1,st0
012211,1,st0
012212,1,st0
012213,1,st0
012214,1,st0
012215,1,st0
012216,1,st0
012217,1,st0
012218,1,st0
012219,1,st0
012220,1,st0
012221,1,st0
012222,1,st0
012223,1,st0
012224,1,st0
012301,1,st0
012302,1,st0
012303,1,st0
012304,1,st0
012305,1,st0
012306,1,st0
012307,1,st0
012308,1,st0
012309,1,st0
012310,1,st0
