Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone,lat,lng
101,Abel,138.0,PV,108.0,22.0,1.04777,-7.74152,0.0,0.0,1,11.0,11.0,33.39610326,-113.835642
102,Adams,138.0,PV,97.0,20.0,1.04783,-7.81784,0.0,0.0,1,11.0,12.0,33.35767844,-113.8259335
103,Adler,138.0,PQ,180.0,37.0,1.01085,-7.2109,0.0,0.0,1,11.0,11.0,33.53683282,-114.6703991
104,Agricola,138.0,PQ,74.0,15.0,1.01765,-10.56614,0.0,0.0,1,11.0,11.0,33.81230352,-113.8254191
105,Aiken,138.0,PQ,71.0,14.0,1.03568,-10.70887,0.0,0.0,1,11.0,11.0,33.65955984,-113.9990231
106,Alber,138.0,PQ,136.0,28.0,1.03242,-13.27944,0.0,-100.0,1,11.0,12.0,33.73803645,-114.1819242
107,Alder,138.0,PV,125.0,25.0,1.03745,-11.27673,0.0,0.0,1,11.0,12.0,34.69726196,-113.7013088
108,Alger,138.0,PQ,171.0,35.0,1.01024,-13.74967,0.0,0.0,1,11.0,12.0,34.4592108,-113.7616436
109,Ali,138.0,PQ,175.0,36.0,1.0261,-8.81524,0.0,0.0,1,11.0,13.0,33.92043627,-114.308281
110,Allen,138.0,PQ,195.0,40.0,1.05,-10.62063,0.0,0.0,1,11.0,13.0,33.91279307,-114.2929646
111,Anna,230.0,PQ,0.0,0.0,1.02764,-3.91674,0.0,0.0,1,11.0,13.0,33.90438607,-114.3011177
112,Archer,230.0,PQ,0.0,0.0,1.02024,-2.42424,0.0,0.0,1,11.0,13.0,33.91086601,-114.3134024
113,Arne,230.0,Ref,265.0,54.0,1.03943,0.0,0.0,0.0,1,12.0,14.0,34.35428034,-114.274657
114,Arnold,230.0,PV,194.0,39.0,1.04401,-1.73056,0.0,0.0,1,12.0,16.0,33.77708609,-114.8199113
115,Arthur,230.0,PV,317.0,64.0,1.04335,7.9597,0.0,0.0,1,12.0,16.0,33.50618372,-115.3295084
116,Asser,230.0,PV,100.0,20.0,1.04565,7.56929,0.0,0.0,1,12.0,16.0,33.66103124,-115.321058
117,Aston,230.0,PQ,0.0,0.0,1.04783,11.43417,0.0,0.0,1,12.0,17.0,33.57523255,-115.6408087
118,Astor,230.0,PV,333.0,68.0,1.05,12.52457,0.0,0.0,1,12.0,17.0,33.54453082,-115.799956
