GEN_ID,MODEL,STARTUP,SHUTDOWN,NCOST,COST_5,COST_4,COST_3,COST_2,COST_1,COST_0
0,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
1,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
2,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
3,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
4,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
5,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
6,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
7,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
8,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
9,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
10,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
11,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
12,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
13,1,0.0,0.0,3,0.0,0.0,0.5,0.0,1.0,0.0
14,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
15,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
16,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
17,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
18,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
19,1,8102.68965,8102.68965,3,100.0,1033.277285,200.0,1750.274965,320.0,2622.049495
20,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
21,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
22,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
23,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
24,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
25,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
26,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
27,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
28,1,36749.813559,36749.813559,3,140.0,3018.77772,227.5,4572.93031825,280.0,5560.24820785
29,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
30,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
31,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
32,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
33,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
34,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
35,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
36,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
37,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
38,1,11172.014352,11172.014352,3,15.2,549.693209336,38.0,1009.89699399,60.8,1490.24794894
39,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
40,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
41,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
42,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
43,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
44,1,0.0,0.0,3,0.0,0.0,0.5,0.0,1.0,0.0
45,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
46,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
47,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
48,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
49,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
