Simulation,Category,Object,Parameter,Scaling Factor,Data File
DAY_AHEAD,Generator,122_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_5,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_6,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,201_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
