names,Year DA,notes,Q1 Week1 DA,notes,Q2 Week1 DA,notes,Q3 Week1 DA,notes,Q4 Week1 DA,notes,Year RT,notes,Q1 Week1 RT,notes,Q2 Week1 RT,notes,Q3 Week1 RT,notes,Q4 Week1 RT,notes,Q1 DA,notes,Q2 DA,notes,Q3 DA,notes,Q4 DA,notes,Q1 RT,notes,Q2 RT,notes,Q3 RT,notes,Q4 RT,notes
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/START ATTRIBUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods per Day,24,interval is hrs,24,interval is hrs,24,interval is hrs,24,interval is hrs,24,interval is hrs,288,interval is 5min,288,interval is 5min,288,interval is 5min,288,interval is 5min,288,interval is 5min,24,interval is hrs,24,interval is hrs,24,interval is hrs,24,interval is hrs,288,interval is 5min,288,interval is 5min,288,interval is 5min,288,interval is 5min
Date From,45292,1/1/2024,45292,1/1/2024,45292,4/1/2024,45292,7/1/2024,45292,10/1/2024,45292,1/1/2024,45292,1/1/2024,45292,4/1/2024,45292,7/1/2024,45292,10/1/2024,45292,1/1/2024,45292,4/1/2024,45292,7/1/2024,45292,10/1/2024,45292,1/1/2024,45292,4/1/2024,45292,7/1/2024,45292,10/1/2024
Step Count,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Step Type,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year,4,year
Chrono Date From,45292,1/1/2024,45292,1/1/2024,45383,4/1/2024,45474,7/1/2024,45566,10/1/2024,45292,1/1/2024,45292,1/1/2024,45383,4/1/2024,45474,7/1/2024,45566,10/1/2024,45292,1/1/2024,45383,4/1/2024,45474,7/1/2024,45566,10/1/2024,45292,1/1/2024,45383,4/1/2024,45474,7/1/2024,45566,10/1/2024
Chrono Step Count,365,,7,,7,,7,,7,,105120,,2016,,2016,,2016,,2016,,90,,90,,91,,90,,25920,,25920,,26208,,25920,
Chrono Step Type,2,daily,2,daily,2,daily,2,daily,2,daily,0,minute,0,minute,0,minute,0,minute,0,minute,2,daily,2,daily,2,daily,2,daily,0,minute,0,minute,0,minute,0,minute
Chrono At a Time,1,,1,,1,,1,,1,,5,,5,,5,,5,,5,,1,,1,,1,,1,,1,,1,,1,,1,
Chrono Period To,24,,24,,24,,24,,24,,288,,288,,288,,288,,288,,24,,24,,24,,24,,288,,288,,288,,288,
Look-ahead Indicator,-1,Turn on lookahead,-1,Turn on lookahead,-1,Turn on lookahead,-1,Turn on lookahead,-1,Turn on lookahead,0,No lookahead,0,No lookahead,0,No lookahead,0,No lookahead,0,No lookahead,-1,Turn on lookahead,-1,Turn on lookahead,-1,Turn on lookahead,-1,Turn on lookahead,0,No lookahead,0,No lookahead,0,No lookahead,0,No lookahead
Look-ahead Periods per Day,6,4-hour resolution,6,4-hour resolution,6,4-hour resolution,6,4-hour resolution,6,4-hour resolution,,,,,,,,,,,6,4-hour resolution,6,4-hour resolution,6,4-hour resolution,6,4-hour resolution,,,,,,,,
