bus,lat,lng
101,33.39610326,-113.835642
102,33.35767844,-113.8259335
103,33.53683282,-114.6703991
104,33.81230352,-113.8254191
105,33.65955984,-113.9990231
106,33.73803645,-114.1819242
107,34.69726196,-113.7013088
108,34.4592108,-113.7616436
109,33.92043627,-114.308281
110,33.91279307,-114.2929646
111,33.90438607,-114.3011177
112,33.91086601,-114.3134024
113,34.35428034,-114.274657
114,33.77708609,-114.8199113
115,33.50618372,-115.3295084
116,33.66103124,-115.321058
117,33.57523255,-115.6408087
118,33.54453082,-115.799956
119,33.86907891,-115.3691306
120,34.24457859,-115.2624699
121,33.52712147,-116.070778
122,32.81886407,-116.3243473
123,34.38200027,-115.0687884
124,33.54296506,-114.6564883
201,36.2556636,-113.7214959
202,36.28996256,-113.7459985
203,35.35440226,-113.9759336
204,36.19029231,-114.2218682
205,36.07922951,-113.9830412
206,35.78739717,-113.8903468
207,36.05246663,-113.0828494
208,35.93381421,-113.3177011
209,35.80510733,-114.1508325
210,35.78782341,-114.1628815
211,35.80148483,-114.1675516
212,35.79144538,-114.1461651
213,36.1460954,-114.6228964
214,35.56761113,-114.4925684
215,35.14859089,-114.5757743
216,35.26148957,-114.7307626
217,35.0877489,-114.9211636
218,35.11490694,-115.0778823
219,35.4192172,-114.9791817
220,35.64669555,-115.4465869
221,35.3163216,-115.1979424
222,36.33098104,-115.2902095
223,35.82434965,-115.5364456
224,35.35643752,-113.9602525
301,35.0475822,-118.8217654
302,35.02993688,-118.8648595
303,35.21754253,-118.0435499
304,34.63209145,-118.5635853
305,34.87388488,-118.5104873
306,34.88716764,-118.2761997
307,34.10126562,-118.878178
308,34.22471784,-118.6542579
309,34.73575793,-118.127342
310,34.72931591,-118.1045248
311,34.74209387,-118.1119332
312,34.72296307,-118.1198874
313,34.26526814,-118.0188551
314,34.94496423,-117.6848792
315,35.26597012,-117.3864335
316,35.13836711,-117.2515886
317,35.37843341,-117.0558295
318,35.50581323,-116.9765714
319,34.9176312,-117.1244195
320,34.46246563,-117.0635083
321,35.74534438,-117.1153628
322,36.43895848,-117.4852717
323,34.25300337,-117.1132211
324,35.20658182,-118.0348168
325,34.25189131,-117.1289772
