Year,Month,Day,Period,1,2,3,,,
2024,1,1,1,26.251,33.080,37.489,,,
2024,1,1,2,26.272,32.488,35.772,,,
2024,1,1,3,26.748,32.394,34.974,,,
2024,1,1,4,27.784,32.354,34.500,,,
2024,1,1,5,30.894,32.973,34.919,,,
2024,1,1,6,35.304,34.682,36.880,,,
2024,1,1,7,37.113,36.997,41.046,,,
2024,1,1,8,35.865,36.620,43.818,,,
2024,1,1,9,33.675,36.122,46.983,,,
2024,1,1,10,32.226,36.283,49.160,,,
2024,1,1,11,31.296,35.435,50.662,,,
2024,1,1,12,30.576,35.220,51.324,,,
2024,1,1,13,29.931,35.247,50.946,,,
2024,1,1,14,29.519,34.857,51.081,,,
2024,1,1,15,29.328,34.722,50.526,,,
2024,1,1,16,29.445,34.857,49.783,,,
2024,1,1,17,31.814,35.812,50.797,,,
2024,1,1,18,35.103,42.272,56.666,,,
2024,1,1,19,34.680,42.851,55.801,,,
2024,1,1,20,34.056,42.205,53.921,,,
2024,1,1,21,32.840,41.142,51.473,,,
2024,1,1,22,30.227,38.908,48.051,,,
2024,1,1,23,27.636,36.324,43.954,,,
2024,1,1,24,26.430,34.157,39.721,,,
2024,1,2,1,25.828,32.919,37.083,,,
2024,1,2,2,25.754,32.475,35.636,,,
2024,1,2,3,26.039,32.246,34.608,,,
2024,1,2,4,27.044,32.313,34.122,,,
2024,1,2,5,29.635,32.919,34.351,,,
2024,1,2,6,33.337,34.655,36.394,,,
2024,1,2,7,34.923,37.091,40.383,,,
2024,1,2,8,33.443,36.458,42.804,,,
2024,1,2,9,31.941,36.122,46.063,,,
2024,1,2,10,31.211,35.785,48.525,,,
2024,1,2,11,30.555,35.557,50.594,,,
2024,1,2,12,30.323,35.328,52.014,,,
2024,1,2,13,30.079,34.924,52.623,,,
2024,1,2,14,29.751,34.911,53.529,,,
2024,1,2,15,29.677,34.588,53.488,,,
2024,1,2,16,29.741,34.413,52.366,,,
2024,1,2,17,31.592,36.472,52.055,,,
2024,1,2,18,34.659,41.599,56.680,,,
2024,1,2,19,34.384,42.070,55.828,,,
2024,1,2,20,33.390,41.922,53.272,,,
2024,1,2,21,31.983,40.765,50.865,,,
2024,1,2,22,29.540,38.517,47.497,,,
2024,1,2,23,26.980,36.203,43.156,,,
2024,1,2,24,25.616,34.076,39.274,,,
2024,1,3,1,25.161,32.986,36.596,,,
2024,1,3,2,24.685,32.596,35.163,,,
2024,1,3,3,24.929,32.300,34.446,,,
2024,1,3,4,25.828,32.421,33.959,,,
2024,1,3,5,28.186,33.067,33.946,,,
2024,1,3,6,31.983,34.938,35.744,,,
2024,1,3,7,33.654,37.495,39.558,,,
2024,1,3,8,32.808,36.674,42.168,,,
2024,1,3,9,31.645,36.445,46.361,,,
2024,1,3,10,31.179,36.122,48.741,,,
2024,1,3,11,30.873,35.785,51.243,,,
2024,1,3,12,30.492,35.355,53.137,,,
2024,1,3,13,30.206,35.086,53.678,,,
2024,1,3,14,30.005,34.641,54.503,,,
2024,1,3,15,29.783,34.493,54.503,,,
2024,1,3,16,29.699,34.265,53.529,,,
2024,1,3,17,30.947,32.555,52.487,,,
2024,1,3,18,33.728,40.630,55.896,,,
2024,1,3,19,32.893,40.819,54.097,,,
2024,1,3,20,31.697,40.240,51.568,,,
2024,1,3,21,30.894,39.258,48.687,,,
2024,1,3,22,29.265,37.939,45.888,,,
2024,1,3,23,27.139,36.351,42.412,,,
2024,1,3,24,25.722,34.520,39.207,,,
2024,1,4,1,25.129,33.296,36.448,,,
2024,1,4,2,24.728,32.798,35.041,,,
2024,1,4,3,24.950,32.609,33.905,,,
2024,1,4,4,25.320,32.488,33.202,,,
2024,1,4,5,26.663,32.851,33.080,,,
2024,1,4,6,28.577,33.605,33.824,,,
2024,1,4,7,30.270,34.466,34.960,,,
2024,1,4,8,30.989,33.807,35.623,,,
2024,1,4,9,30.809,34.143,38.152,,,
2024,1,4,10,30.375,34.292,40.721,,,
2024,1,4,11,29.878,33.942,42.331,,,
2024,1,4,12,29.201,33.188,43.020,,,
2024,1,4,13,28.535,33.538,42.980,,,
2024,1,4,14,27.858,33.174,42.263,,,
2024,1,4,15,27.742,33.000,41.533,,,
2024,1,4,16,28.059,32.488,40.870,,,
2024,1,4,17,30.100,34.493,41.384,,,
2024,1,4,18,32.903,39.661,46.293,,,
2024,1,4,19,32.152,39.715,47.632,,,
2024,1,4,20,31.296,39.123,46.537,,,
2024,1,4,21,30.069,38.235,45.198,,,
2024,1,4,22,28.366,37.118,43.277,,,
2024,1,4,23,26.589,35.732,40.627,,,
2024,1,4,24,25.595,34.251,38.260,,,
2024,1,5,1,25.129,33.201,36.028,,,
2024,1,5,2,24.950,32.650,34.690,,,
2024,1,5,3,25.098,32.179,34.027,,,
2024,1,5,4,25.648,32.152,33.567,,,
2024,1,5,5,26.695,32.380,33.445,,,
2024,1,5,6,28.609,32.932,33.459,,,
2024,1,5,7,30.449,33.511,34.040,,,
2024,1,5,8,31.063,32.851,33.919,,,
2024,1,5,9,30.545,33.282,35.393,,,
2024,1,5,10,29.942,33.646,36.908,,,
2024,1,5,11,28.948,33.646,38.111,,,
2024,1,5,12,28.313,33.430,38.787,,,
2024,1,5,13,27.647,33.269,39.071,,,
2024,1,5,14,27.160,33.053,39.261,,,
2024,1,5,15,27.171,32.798,39.274,,,
2024,1,5,16,27.425,32.784,38.882,,,
2024,1,5,17,29.857,34.655,39.707,,,
2024,1,5,18,33.295,39.406,45.063,,,
2024,1,5,19,33.199,39.971,46.902,,,
2024,1,5,20,32.459,39.540,46.415,,,
2024,1,5,21,30.904,38.221,44.981,,,
2024,1,5,22,28.514,36.701,42.723,,,
2024,1,5,23,26.325,34.803,39.666,,,
2024,1,5,24,25.521,33.309,36.935,,,
2024,1,6,1,25.246,32.502,34.757,,,
2024,1,6,2,25.288,32.205,33.878,,,
2024,1,6,3,25.806,31.923,33.134,,,
2024,1,6,4,27.054,32.098,33.040,,,
2024,1,6,5,30.587,32.717,33.608,,,
2024,1,6,6,35.717,34.615,35.623,,,
2024,1,6,7,37.832,37.360,40.032,,,
2024,1,6,8,35.664,36.566,43.061,,,
2024,1,6,9,33.326,36.499,45.779,,,
2024,1,6,10,32.173,36.176,48.241,,,
2024,1,6,11,31.296,36.189,50.148,,,
2024,1,6,12,30.608,35.933,51.311,,,
2024,1,6,13,29.931,35.032,51.405,,,
2024,1,6,14,29.402,34.103,51.744,,,
2024,1,6,15,29.307,34.399,51.514,,,
2024,1,6,16,29.498,34.238,50.635,,,
2024,1,6,17,31.793,36.068,50.310,,,
2024,1,6,18,35.505,42.232,55.111,,,
2024,1,6,19,35.516,43.510,54.705,,,
2024,1,6,20,34.733,43.107,52.460,,,
2024,1,6,21,33.379,42.205,50.026,,,
2024,1,6,22,30.481,40.240,46.875,,,
2024,1,6,23,28.049,37.104,42.385,,,
2024,1,6,24,26.843,35.139,38.909,,,
2024,1,7,1,26.822,32.825,36.028,,,
2024,1,7,2,26.727,32.542,34.690,,,
2024,1,7,3,27.224,32.475,33.851,,,
2024,1,7,4,28.493,32.677,33.756,,,
2024,1,7,5,32.089,33.551,34.122,,,
2024,1,7,6,37.176,35.812,36.001,,,
2024,1,7,7,38.942,38.827,40.721,,,
2024,1,7,8,36.795,37.885,43.534,,,
2024,1,7,9,33.929,36.727,46.266,,,
2024,1,7,10,32.269,35.880,48.254,,,
2024,1,7,11,30.989,32.542,50.161,,,
2024,1,7,12,30.270,35.584,51.054,,,
2024,1,7,13,30.069,35.072,51.392,,,
2024,1,7,14,29.286,34.574,51.595,,,
2024,1,7,15,29.064,34.130,51.784,,,
2024,1,7,16,29.349,34.170,50.919,,,
2024,1,7,17,31.613,36.378,50.540,,,
2024,1,7,18,35.103,42.595,54.705,,,
2024,1,7,19,34.997,43.820,54.475,,,
2024,1,7,20,34.638,43.389,52.366,,,
2024,1,7,21,33.051,42.622,50.310,,,
2024,1,7,22,30.576,40.509,46.740,,,
2024,1,7,23,27.996,37.360,42.507,,,
2024,1,7,24,27.202,35.328,38.625,,,
2024,1,8,1,26.716,34.224,36.083,,,
2024,1,8,2,26.991,33.915,34.608,,,
2024,1,8,3,27.520,33.807,33.959,,,
2024,1,8,4,29.286,34.036,33.811,,,
2024,1,8,5,32.639,35.139,34.311,,,
2024,1,8,6,38.234,37.912,36.326,,,
2024,1,8,7,40.603,41.371,41.276,,,
2024,1,8,8,38.361,40.240,43.913,,,
2024,1,8,9,34.923,39.096,46.402,,,
2024,1,8,10,32.935,38.060,48.714,,,
2024,1,8,11,31.560,37.212,50.256,,,
2024,1,8,12,30.481,36.485,51.149,,,
2024,1,8,13,29.899,35.651,50.837,,,
2024,1,8,14,29.371,35.274,50.810,,,
2024,1,8,15,29.138,34.722,50.405,,,
2024,1,8,16,29.646,35.274,49.796,,,
2024,1,8,17,31.824,38.585,49.674,,,
2024,1,8,18,35.516,43.726,54.759,,,
2024,1,8,19,35.442,44.506,54.814,,,
2024,1,8,20,34.849,44.116,52.853,,,
2024,1,8,21,33.792,42.730,50.878,,,
2024,1,8,22,31.021,40.509,47.213,,,
2024,1,8,23,28.525,37.562,43.102,,,
2024,1,8,24,27.425,35.355,39.274,,,
2024,1,9,1,27.128,34.251,36.502,,,
2024,1,9,2,27.202,33.646,34.987,,,
