Year,Month,Day,Period,VALUE
2020,1,1,1,26.251
2020,1,1,2,26.272
2020,1,1,3,26.748
2020,1,1,4,27.784
2020,1,1,5,30.894
2020,1,1,6,35.304
2020,1,1,7,37.113
2020,1,1,8,35.865
2020,1,1,9,33.675
2020,1,1,10,32.226
2020,1,1,11,31.296
2020,1,1,12,30.576
2020,1,1,13,29.931
2020,1,1,14,29.519
2020,1,1,15,29.328
2020,1,1,16,29.445
2020,1,1,17,31.814
2020,1,1,18,35.103
2020,1,1,19,34.68
2020,1,1,20,34.056
2020,1,1,21,32.84
2020,1,1,22,30.227
2020,1,1,23,27.636
2020,1,1,24,26.43
2020,1,2,1,25.828
2020,1,2,2,25.754
2020,1,2,3,26.039
2020,1,2,4,27.044
2020,1,2,5,29.635
2020,1,2,6,33.337
2020,1,2,7,34.923
2020,1,2,8,33.443
2020,1,2,9,31.941
2020,1,2,10,31.211
2020,1,2,11,30.555
2020,1,2,12,30.323
2020,1,2,13,30.079
2020,1,2,14,29.751
2020,1,2,15,29.677
2020,1,2,16,29.741
2020,1,2,17,31.592
2020,1,2,18,34.659
2020,1,2,19,34.384
2020,1,2,20,33.39
2020,1,2,21,31.983
2020,1,2,22,29.54
2020,1,2,23,26.98
2020,1,2,24,25.616
2020,1,3,1,25.161
2020,1,3,2,24.685
2020,1,3,3,24.929
2020,1,3,4,25.828
2020,1,3,5,28.186
2020,1,3,6,31.983
2020,1,3,7,33.654
2020,1,3,8,32.808
2020,1,3,9,31.645
2020,1,3,10,31.179
2020,1,3,11,30.873
2020,1,3,12,30.492
2020,1,3,13,30.206
2020,1,3,14,30.005
2020,1,3,15,29.783
2020,1,3,16,29.699
2020,1,3,17,30.947
2020,1,3,18,33.728
2020,1,3,19,32.893
2020,1,3,20,31.697
2020,1,3,21,30.894
2020,1,3,22,29.265
2020,1,3,23,27.139
2020,1,3,24,25.722
2020,1,4,1,25.129
2020,1,4,2,24.728
2020,1,4,3,24.95
2020,1,4,4,25.32
2020,1,4,5,26.663
2020,1,4,6,28.577
2020,1,4,7,30.27
2020,1,4,8,30.989
2020,1,4,9,30.809
2020,1,4,10,30.375
2020,1,4,11,29.878
2020,1,4,12,29.201
2020,1,4,13,28.535
2020,1,4,14,27.858
2020,1,4,15,27.742
2020,1,4,16,28.059
2020,1,4,17,30.1
2020,1,4,18,32.903
2020,1,4,19,32.152
2020,1,4,20,31.296
2020,1,4,21,30.069
2020,1,4,22,28.366
2020,1,4,23,26.589
2020,1,4,24,25.595
