Year,Month,Day,Period,1,2,3
2020,1,1,1,27.249,33.192,38.244
2020,1,1,2,27.24,33.261,38.043
2020,1,1,3,27.189,33.3,37.908
2020,1,1,4,27.162,33.273,37.734
2020,1,1,5,27.228,33.165,37.518
2020,1,1,6,27.18,33.138,37.437
2020,1,1,7,27.189,33.03,37.17
2020,1,1,8,27.15,32.964,37.008
2020,1,1,9,27.162,32.829,36.819
2020,1,1,10,27.141,32.79,36.645
2020,1,1,11,27.15,32.697,36.444
2020,1,1,12,27.123,32.562,36.348
2020,1,1,13,27.093,32.346,36.498
2020,1,1,14,27.102,32.361,36.336
2020,1,1,15,27.15,32.439,36.039
2020,1,1,16,27.123,32.427,35.799
2020,1,1,17,27.123,32.412,35.73
2020,1,1,18,27.123,32.439,35.448
2020,1,1,19,27.219,32.481,35.502
2020,1,1,20,27.228,32.439,35.301
2020,1,1,21,27.288,32.52,35.232
2020,1,1,22,27.297,32.52,35.178
2020,1,1,23,27.327,32.427,34.95
2020,1,1,24,27.327,32.292,34.803
2020,1,1,25,27.315,32.253,35.193
2020,1,1,26,27.462,32.28,35.274
2020,1,1,27,27.501,32.226,35.085
2020,1,1,28,27.6,32.292,34.95
2020,1,1,29,27.57,32.319,34.923
2020,1,1,30,27.579,32.388,34.776
2020,1,1,31,27.627,32.388,34.788
2020,1,1,32,27.675,32.427,34.614
2020,1,1,33,27.792,32.427,34.467
2020,1,1,34,27.813,32.427,34.44
2020,1,1,35,27.783,32.388,34.452
2020,1,1,36,27.93,32.199,34.359
2020,1,1,37,27.957,32.064,34.413
2020,1,1,38,28.017,32.025,34.452
2020,1,1,39,28.125,32.037,34.413
2020,1,1,40,28.221,32.091,34.332
2020,1,1,41,28.347,32.184,34.359
2020,1,1,42,28.446,32.28,34.197
2020,1,1,43,28.551,32.439,34.251
2020,1,1,44,28.737,32.466,34.266
2020,1,1,45,28.854,32.481,34.212
2020,1,1,46,29.049,32.508,34.224
2020,1,1,47,29.31,32.481,34.278
2020,1,1,48,29.466,32.454,34.266
2020,1,1,49,29.865,32.535,34.116
2020,1,1,50,30.147,32.574,34.239
2020,1,1,51,30.39,32.589,34.305
2020,1,1,52,30.624,32.682,34.425
2020,1,1,53,30.888,32.763,34.452
2020,1,1,54,31.209,32.802,34.479
2020,1,1,55,31.491,32.937,34.722
2020,1,1,56,31.917,33.003,34.896
2020,1,1,57,32.19,33.111,34.977
2020,1,1,58,32.532,33.246,35.151
2020,1,1,59,32.931,33.312,35.382
2020,1,1,60,33.24,33.366,35.529
2020,1,1,61,33.933,33.543,34.842
2020,1,1,62,34.311,33.702,35.178
2020,1,1,63,34.593,33.93,35.502
2020,1,1,64,34.971,34.092,35.73
2020,1,1,65,35.196,34.293,36.12
2020,1,1,66,35.487,34.443,36.363
2020,1,1,67,35.769,34.617,36.711
2020,1,1,68,36.033,34.98,37.089
2020,1,1,69,36.09,35.166,37.479
2020,1,1,70,36.402,35.382,37.869
2020,1,1,71,36.501,35.475,38.298
2020,1,1,72,36.792,35.772,38.865
2020,1,1,73,36.948,36.162,39.024
2020,1,1,74,37.131,36.444,39.375
2020,1,1,75,37.269,36.672,39.9
2020,1,1,76,37.482,36.792,40.248
2020,1,1,77,37.296,36.9,40.476
2020,1,1,78,37.17,37.074,40.8
2020,1,1,79,37.191,37.197,41.097
2020,1,1,80,37.2,37.221,41.364
2020,1,1,81,37.152,37.236,41.553
2020,1,1,82,37.152,37.197,41.742
2020,1,1,83,37.044,37.143,42.009
2020,1,1,84,37.014,37.089,42.171
2020,1,1,85,36.861,36.846,42.372
2020,1,1,86,36.9,36.765,42.657
2020,1,1,87,36.792,36.78,42.843
2020,1,1,88,36.54,36.792,43.074
2020,1,1,89,36.345,36.819,43.167
2020,1,1,90,36.219,36.753,43.464
2020,1,1,91,35.886,36.738,43.677
2020,1,1,92,35.664,36.618,43.947
2020,1,1,93,35.517,36.429,44.244
2020,1,1,94,35.361,36.243,44.337
2020,1,1,95,35.178,35.988,44.472
2020,1,1,96,35.001,35.853,44.607
2020,1,1,97,34.74,36,45.465
2020,1,1,98,34.68,35.892,45.681
2020,1,1,99,34.545,35.934,45.897
2020,1,1,100,34.368,36.012,46.206
2020,1,1,101,34.185,36.066,46.314
2020,1,1,102,34.077,36.108,46.596
2020,1,1,103,33.903,36.162,46.851
2020,1,1,104,33.804,36.228,47.16
2020,1,1,105,33.648,36.189,47.31
2020,1,1,106,33.474,36.027,47.619
2020,1,1,107,33.405,35.988,47.631
2020,1,1,108,33.279,36.039,47.886
2020,1,1,109,33.3,36.12,48.345
2020,1,1,110,33.036,36.216,48.492
2020,1,1,111,32.931,36.216,48.492
2020,1,1,112,32.871,36.147,48.681
2020,1,1,113,32.802,36.147,48.801
2020,1,1,114,32.724,36.297,48.843
2020,1,1,115,32.58,36.417,49.002
2020,1,1,116,32.571,36.375,49.017
2020,1,1,117,32.493,36.282,49.125
2020,1,1,118,32.346,36.255,49.152
2020,1,1,119,32.286,36.12,49.299
2020,1,1,120,32.19,35.973,49.353
