Year,Month,Day,Period,1,2,3,,,,
2024,1,1,1,962.5,1060.1,1237.0,,,,
2024,1,1,2,963.2,1025.5,1163.1,,,,
2024,1,1,3,981.5,1020.6,1126.1,,,,
2024,1,1,4,1021.3,1018.3,1102.2,,,,
2024,1,1,5,1143.3,1054.7,1123.4,,,,
2024,1,1,6,1304.4,1151.1,1212.2,,,,
2024,1,1,7,1365.8,1261.9,1376.8,,,,
2024,1,1,8,1323.8,1247.6,1476.8,,,,
2024,1,1,9,1246.6,1226.5,1584.1,,,,
2024,1,1,10,1193.4,1233.2,1657.2,,,,
2024,1,1,11,1158.5,1194.6,1711.7,,,,
2024,1,1,12,1131.0,1183.0,1737.0,,,,
2024,1,1,13,1105.2,1184.3,1723.4,,,,
2024,1,1,14,1088.7,1161.9,1727.9,,,,
2024,1,1,15,1080.6,1153.8,1705.9,,,,
2024,1,1,16,1085.5,1162.3,1678.8,,,,
2024,1,1,17,1178.2,1212.1,1717.1,,,,
2024,1,1,18,1297.4,1437.8,1895.6,,,,
2024,1,1,19,1282.6,1453.5,1872.2,,,,
2024,1,1,20,1260.4,1435.5,1819.0,,,,
2024,1,1,21,1215.9,1405.0,1742.4,,,,
2024,1,1,22,1117.2,1331.9,1618.8,,,,
2024,1,1,23,1015.7,1234.6,1481.4,,,,
2024,1,1,24,969.2,1120.6,1326.3,,,,
2024,1,2,1,946.6,1050.6,1221.2,,,,
2024,1,2,2,943.4,1024.6,1156.8,,,,
2024,1,2,3,954.3,1012.5,1108.1,,,,
2024,1,2,4,992.8,1015.6,1082.4,,,,
2024,1,2,5,1093.3,1051.5,1095.0,,,,
2024,1,2,6,1233.9,1149.8,1190.6,,,,
2024,1,2,7,1291.0,1266.0,1351.1,,,,
2024,1,2,8,1238.1,1240.4,1440.3,,,,
2024,1,2,9,1183.2,1226.0,1551.7,,,,
2024,1,2,10,1155.7,1211.2,1635.1,,,,
2024,1,2,11,1130.3,1200.0,1708.6,,,,
2024,1,2,12,1120.8,1189.3,1760.4,,,,
2024,1,2,13,1111.6,1165.5,1779.3,,,,
2024,1,2,14,1098.2,1164.6,1807.7,,,,
2024,1,2,15,1095.0,1146.2,1805.9,,,,
2024,1,2,16,1097.5,1135.0,1771.2,,,,
2024,1,2,17,1170.1,1241.3,1761.3,,,,
2024,1,2,18,1281.5,1418.0,1896.1,,,,
2024,1,2,19,1271.6,1431.1,1873.1,,,,
2024,1,2,20,1236.4,1427.0,1800.1,,,,
2024,1,2,21,1184.6,1392.9,1719.8,,,,
2024,1,2,22,1089.4,1318.9,1601.3,,,,
2024,1,2,23,990.3,1230.1,1453.0,,,,
2024,1,2,24,938.5,1116.1,1308.7,,,,
2024,1,3,1,921.2,1055.1,1199.6,,,,
2024,1,3,2,902.9,1032.7,1135.6,,,,
2024,1,3,3,912.4,1015.2,1099.5,,,,
2024,1,3,4,946.6,1021.9,1074.3,,,,
2024,1,3,5,1036.8,1059.6,1072.9,,,,
2024,1,3,6,1184.6,1166.4,1161.3,,,,
2024,1,3,7,1245.6,1282.6,1320.0,,,,
2024,1,3,8,1214.5,1249.4,1416.9,,,,
2024,1,3,9,1171.9,1239.5,1562.0,,,,
2024,1,3,10,1154.2,1226.0,1643.2,,,,
2024,1,3,11,1142.6,1211.2,1733.8,,,,
2024,1,3,12,1127.4,1190.6,1795.6,,,,
2024,1,3,13,1116.5,1175.8,1812.2,,,,
2024,1,3,14,1108.4,1148.9,1836.1,,,,
2024,1,3,15,1099.6,1140.4,1836.1,,,,
2024,1,3,16,1096.1,1126.5,1807.3,,,,
2024,1,3,17,1145.8,1030.5,1775.3,,,,
2024,1,3,18,1248.7,1388.9,1875.4,,,,
2024,1,3,19,1218.1,1394.7,1824.0,,,,
2024,1,3,20,1174.0,1375.4,1745.5,,,,
2024,1,3,21,1143.7,1343.6,1640.9,,,,
2024,1,3,22,1077.7,1298.7,1546.3,,,,
2024,1,3,23,996.7,1235.9,1425.9,,,,
2024,1,3,24,942.4,1141.7,1305.5,,,,
2024,1,4,1,919.8,1072.6,1192.8,,,,
2024,1,4,2,904.6,1044.4,1129.3,,,,
2024,1,4,3,913.1,1033.6,1070.7,,,,
2024,1,4,4,927.2,1025.5,1037.3,,,,
2024,1,4,5,978.3,1047.5,1031.4,,,,
2024,1,4,6,1051.7,1090.1,1067.1,,,,
2024,1,4,7,1119.0,1139.0,1125.7,,,,
2024,1,4,8,1147.5,1101.8,1155.9,,,,
2024,1,4,9,1140.1,1119.7,1262.7,,,,
2024,1,4,10,1122.9,1127.8,1364.1,,,,
2024,1,4,11,1102.8,1108.1,1422.7,,,,
2024,1,4,12,1074.9,1065.9,1448.0,,,,
2024,1,4,13,1049.9,1086.5,1446.6,,,,
2024,1,4,14,1024.2,1065.4,1420.5,,,,
2024,1,4,15,1019.9,1056.5,1394.3,,,,
2024,1,4,16,1031.9,1026.0,1370.0,,,,
2024,1,4,17,1112.6,1140.4,1388.9,,,,
2024,1,4,18,1218.4,1357.0,1559.3,,,,
2024,1,4,19,1190.9,1358.8,1605.8,,,,
2024,1,4,20,1158.8,1339.5,1568.4,,,,
2024,1,4,21,1111.2,1309.5,1523.3,,,,
2024,1,4,22,1043.5,1267.3,1457.5,,,,
2024,1,4,23,975.1,1208.1,1360.5,,,,
2024,1,4,24,937.4,1125.6,1267.2,,,,
2024,1,5,1,920.2,1066.8,1174.4,,,,
2024,1,5,2,913.1,1035.8,1112.1,,,,
2024,1,5,3,918.7,1008.5,1077.4,,,,
2024,1,5,4,939.9,1006.7,1054.4,,,,
2024,1,5,5,979.4,1020.1,1048.1,,,,
2024,1,5,6,1052.7,1052.4,1048.6,,,,
2024,1,5,7,1126.0,1084.7,1077.9,,,,
2024,1,5,8,1150.0,1047.5,1072.0,,,,
2024,1,5,9,1129.9,1072.2,1146.0,,,,
2024,1,5,10,1105.6,1092.4,1213.6,,,,
2024,1,5,11,1064.7,1093.3,1261.4,,,,
2024,1,5,12,1041.4,1080.2,1288.4,,,,
2024,1,5,13,1016.4,1071.3,1299.7,,,,
2024,1,5,14,997.4,1058.7,1307.8,,,,
2024,1,5,15,997.7,1044.4,1309.1,,,,
2024,1,5,16,1007.9,1043.0,1292.0,,,,
2024,1,5,17,1102.1,1149.3,1325.4,,,,
2024,1,5,18,1232.2,1348.1,1518.8,,,,
2024,1,5,19,1229.0,1367.8,1581.0,,,,
