,Year,Month,Day,Period,Load,Hour,Minutes
2024-01-01 00:00:00,2024,1,1,0,2730,0,0
2024-01-01 00:05:00,2024,1,1,5,2732,0,5
2024-01-01 00:10:00,2024,1,1,10,2784,0,10
2024-01-01 00:15:00,2024,1,1,15,2897,0,15
2024-01-01 00:20:00,2024,1,1,20,3243,0,20
2024-01-01 00:25:00,2024,1,1,25,3700,0,25
2024-01-01 00:30:00,2024,1,1,30,3874,0,30
2024-01-01 00:35:00,2024,1,1,35,3755,0,35
2024-01-01 00:40:00,2024,1,1,40,3536,0,40
2024-01-01 00:45:00,2024,1,1,45,3385,0,45
2024-01-01 00:50:00,2024,1,1,50,3286,0,50
2024-01-01 00:55:00,2024,1,1,55,3208,0,55
2024-01-01 01:00:00,2024,1,1,60,3135,1,0
2024-01-01 01:05:00,2024,1,1,65,3088,1,5
2024-01-01 01:10:00,2024,1,1,70,3065,1,10
2024-01-01 01:15:00,2024,1,1,75,3079,1,15
2024-01-01 01:20:00,2024,1,1,80,3342,1,20
2024-01-01 01:25:00,2024,1,1,85,3680,1,25
2024-01-01 01:30:00,2024,1,1,90,3638,1,30
2024-01-01 01:35:00,2024,1,1,95,3575,1,35
2024-01-01 01:40:00,2024,1,1,100,3449,1,40
2024-01-01 01:45:00,2024,1,1,105,3169,1,45
2024-01-01 01:50:00,2024,1,1,110,2881,1,50
2024-01-01 01:55:00,2024,1,1,115,2749,1,55
2024-01-02 00:00:00,2024,1,2,0,2685,0,0
2024-01-02 00:05:00,2024,1,2,5,2676,0,5
2024-01-02 00:10:00,2024,1,2,10,2707,0,10
2024-01-02 00:15:00,2024,1,2,15,2816,0,15
2024-01-02 00:20:00,2024,1,2,20,3101,0,20
2024-01-02 00:25:00,2024,1,2,25,3500,0,25
2024-01-02 00:30:00,2024,1,2,30,3662,0,30
2024-01-02 00:35:00,2024,1,2,35,3512,0,35
2024-01-02 00:40:00,2024,1,2,40,3356,0,40
2024-01-02 00:45:00,2024,1,2,45,3278,0,45
2024-01-02 00:50:00,2024,1,2,50,3206,0,50
2024-01-02 00:55:00,2024,1,2,55,3179,0,55
2024-01-02 01:00:00,2024,1,2,60,3153,1,0
2024-01-02 01:05:00,2024,1,2,65,3115,1,5
2024-01-02 01:10:00,2024,1,2,70,3106,1,10
2024-01-02 01:15:00,2024,1,2,75,3113,1,15
2024-01-02 01:20:00,2024,1,2,80,3319,1,20
2024-01-02 01:25:00,2024,1,2,85,3635,1,25
2024-01-02 01:30:00,2024,1,2,90,3607,1,30
2024-01-02 01:35:00,2024,1,2,95,3507,1,35
2024-01-02 01:40:00,2024,1,2,100,3360,1,40
2024-01-02 01:45:00,2024,1,2,105,3090,1,45
2024-01-02 01:50:00,2024,1,2,110,2809,1,50
2024-01-02 01:55:00,2024,1,2,115,2662,1,55
2024-01-03 00:00:00,2024,1,3,0,2613,0,0
2024-01-03 00:05:00,2024,1,3,5,2561,0,5
2024-01-03 00:10:00,2024,1,3,10,2588,0,10
2024-01-03 00:15:00,2024,1,3,15,2685,0,15
2024-01-03 00:20:00,2024,1,3,20,2941,0,20
2024-01-03 00:25:00,2024,1,3,25,3360,0,25
2024-01-03 00:30:00,2024,1,3,30,3533,0,30
2024-01-03 00:35:00,2024,1,3,35,3445,0,35
2024-01-03 00:40:00,2024,1,3,40,3324,0,40
2024-01-03 00:45:00,2024,1,3,45,3274,0,45
2024-01-03 00:50:00,2024,1,3,50,3241,0,50
2024-01-03 00:55:00,2024,1,3,55,3198,0,55
2024-01-03 01:00:00,2024,1,3,60,3167,1,0
2024-01-03 01:05:00,2024,1,3,65,3144,1,5
2024-01-03 01:10:00,2024,1,3,70,3119,1,10
2024-01-03 01:15:00,2024,1,3,75,3109,1,15
2024-01-03 01:20:00,2024,1,3,80,3250,1,20
2024-01-03 01:25:00,2024,1,3,85,3542,1,25
2024-01-03 01:30:00,2024,1,3,90,3455,1,30
2024-01-03 01:35:00,2024,1,3,95,3330,1,35
2024-01-03 01:40:00,2024,1,3,100,3244,1,40
2024-01-03 01:45:00,2024,1,3,105,3057,1,45
2024-01-03 01:50:00,2024,1,3,110,2827,1,50
2024-01-03 01:55:00,2024,1,3,115,2673,1,55
2024-01-04 00:00:00,2024,1,4,0,2609,0,0
2024-01-04 00:05:00,2024,1,4,5,2566,0,5
2024-01-04 00:10:00,2024,1,4,10,2590,0,10
2024-01-04 00:15:00,2024,1,4,15,2630,0,15
2024-01-04 00:20:00,2024,1,4,20,2775,0,20
2024-01-04 00:25:00,2024,1,4,25,2983,0,25
2024-01-04 00:30:00,2024,1,4,30,3174,0,30
2024-01-04 00:35:00,2024,1,4,35,3255,0,35
2024-01-04 00:40:00,2024,1,4,40,3234,0,40
2024-01-04 00:45:00,2024,1,4,45,3185,0,45
2024-01-04 00:50:00,2024,1,4,50,3128,0,50
2024-01-04 00:55:00,2024,1,4,55,3049,0,55
2024-01-04 01:00:00,2024,1,4,60,2978,1,0
2024-01-04 01:05:00,2024,1,4,65,2905,1,5
2024-01-04 01:10:00,2024,1,4,70,2893,1,10
2024-01-04 01:15:00,2024,1,4,75,2927,1,15
2024-01-04 01:20:00,2024,1,4,80,3156,1,20
2024-01-04 01:25:00,2024,1,4,85,3456,1,25
2024-01-04 01:30:00,2024,1,4,90,3378,1,30
2024-01-04 01:35:00,2024,1,4,95,3287,1,35
2024-01-04 01:40:00,2024,1,4,100,3152,1,40
2024-01-04 01:45:00,2024,1,4,105,2960,1,45
2024-01-04 01:50:00,2024,1,4,110,2766,1,50
2024-01-04 01:55:00,2024,1,4,115,2659,1,55
2024-01-05 00:00:00,2024,1,5,0,2610,0,0
2024-01-05 00:05:00,2024,1,5,5,2590,0,5
2024-01-05 00:10:00,2024,1,5,10,2606,0,10
2024-01-05 00:15:00,2024,1,5,15,2666,0,15
2024-01-05 00:20:00,2024,1,5,20,2778,0,20
2024-01-05 00:25:00,2024,1,5,25,2986,0,25
2024-01-05 00:30:00,2024,1,5,30,3194,0,30
2024-01-05 00:35:00,2024,1,5,35,3262,0,35
2024-01-05 00:40:00,2024,1,5,40,3205,0,40
2024-01-05 00:45:00,2024,1,5,45,3136,0,45
2024-01-05 00:50:00,2024,1,5,50,3020,0,50
2024-01-05 00:55:00,2024,1,5,55,2954,0,55
2024-01-05 01:00:00,2024,1,5,60,2883,1,0
2024-01-05 01:05:00,2024,1,5,65,2829,1,5
2024-01-05 01:10:00,2024,1,5,70,2830,1,10
2024-01-05 01:15:00,2024,1,5,75,2859,1,15
2024-01-05 01:20:00,2024,1,5,80,3126,1,20
2024-01-05 01:25:00,2024,1,5,85,3495,1,25
2024-01-05 01:30:00,2024,1,5,90,3486,1,30
2024-01-05 01:35:00,2024,1,5,95,3409,1,35
2024-01-05 01:40:00,2024,1,5,100,3245,1,40
2024-01-05 01:45:00,2024,1,5,105,2976,1,45
2024-01-05 01:50:00,2024,1,5,110,2739,1,50
2024-01-05 01:55:00,2024,1,5,115,2651,1,55
2024-01-06 00:00:00,2024,1,6,0,2623,0,0
2024-01-06 00:05:00,2024,1,6,5,2627,0,5
2024-01-06 00:10:00,2024,1,6,10,2682,0,10
2024-01-06 00:15:00,2024,1,6,15,2817,0,15
2024-01-06 00:20:00,2024,1,6,20,3210,0,20
2024-01-06 00:25:00,2024,1,6,25,3742,0,25
2024-01-06 00:30:00,2024,1,6,30,3942,0,30
2024-01-06 00:35:00,2024,1,6,35,3736,0,35
2024-01-06 00:40:00,2024,1,6,40,3499,0,40
2024-01-06 00:45:00,2024,1,6,45,3380,0,45
2024-01-06 00:50:00,2024,1,6,50,3286,0,50
2024-01-06 00:55:00,2024,1,6,55,3212,0,55
2024-01-06 01:00:00,2024,1,6,60,3135,1,0
2024-01-06 01:05:00,2024,1,6,65,3074,1,5
2024-01-06 01:10:00,2024,1,6,70,3062,1,10
2024-01-06 01:15:00,2024,1,6,75,3085,1,15
2024-01-06 01:20:00,2024,1,6,80,3339,1,20
2024-01-06 01:25:00,2024,1,6,85,3721,1,25
2024-01-06 01:30:00,2024,1,6,90,3723,1,30
2024-01-06 01:35:00,2024,1,6,95,3642,1,35
2024-01-06 01:40:00,2024,1,6,100,3505,1,40
2024-01-06 01:45:00,2024,1,6,105,3197,1,45
2024-01-06 01:50:00,2024,1,6,110,2925,1,50
2024-01-06 01:55:00,2024,1,6,115,2794,1,55
2024-01-07 00:00:00,2024,1,7,0,2792,0,0
2024-01-07 00:05:00,2024,1,7,5,2782,0,5
2024-01-07 00:10:00,2024,1,7,10,2836,0,10
2024-01-07 00:15:00,2024,1,7,15,2973,0,15
2024-01-07 00:20:00,2024,1,7,20,3371,0,20
2024-01-07 00:25:00,2024,1,7,25,3880,0,25
2024-01-07 00:30:00,2024,1,7,30,4044,0,30
2024-01-07 00:35:00,2024,1,7,35,3844,0,35
2024-01-07 00:40:00,2024,1,7,40,3562,0,40
2024-01-07 00:45:00,2024,1,7,45,3390,0,45
2024-01-07 00:50:00,2024,1,7,50,3255,0,50
2024-01-07 00:55:00,2024,1,7,55,3175,0,55
2024-01-07 01:00:00,2024,1,7,60,3152,1,0
2024-01-07 01:05:00,2024,1,7,65,3059,1,5
2024-01-07 01:10:00,2024,1,7,70,3033,1,10
2024-01-07 01:15:00,2024,1,7,75,3068,1,15
2024-01-07 01:20:00,2024,1,7,80,3321,1,20
2024-01-07 01:25:00,2024,1,7,85,3680,1,25
2024-01-07 01:30:00,2024,1,7,90,3669,1,30
2024-01-07 01:35:00,2024,1,7,95,3633,1,35
2024-01-07 01:40:00,2024,1,7,100,3471,1,40
2024-01-07 01:45:00,2024,1,7,105,3208,1,45
2024-01-07 01:50:00,2024,1,7,110,2920,1,50
2024-01-07 01:55:00,2024,1,7,115,2834,1,55
2024-01-08 00:00:00,2024,1,8,0,2780,0,0
2024-01-08 00:05:00,2024,1,8,5,2810,0,5
2024-01-08 00:10:00,2024,1,8,10,2869,0,10
2024-01-08 00:15:00,2024,1,8,15,3059,0,15
2024-01-08 00:20:00,2024,1,8,20,3427,0,20
2024-01-08 00:25:00,2024,1,8,25,3980,0,25
2024-01-08 00:30:00,2024,1,8,30,4191,0,30
2024-01-08 00:35:00,2024,1,8,35,3991,0,35
2024-01-08 00:40:00,2024,1,8,40,3662,0,40
2024-01-08 00:45:00,2024,1,8,45,3460,0,45
2024-01-08 00:50:00,2024,1,8,50,3314,0,50
2024-01-08 00:55:00,2024,1,8,55,3197,0,55
2024-01-08 01:00:00,2024,1,8,60,3131,1,0
2024-01-08 01:05:00,2024,1,8,65,3070,1,5
2024-01-08 01:10:00,2024,1,8,70,3041,1,10
2024-01-08 01:15:00,2024,1,8,75,3102,1,15
2024-01-08 01:20:00,2024,1,8,80,3343,1,20
2024-01-08 01:25:00,2024,1,8,85,3723,1,25
2024-01-08 01:30:00,2024,1,8,90,3714,1,30
2024-01-08 01:35:00,2024,1,8,95,3654,1,35
2024-01-08 01:40:00,2024,1,8,100,3548,1,40
2024-01-08 01:45:00,2024,1,8,105,3257,1,45
2024-01-08 01:50:00,2024,1,8,110,2977,1,50
2024-01-08 01:55:00,2024,1,8,115,2858,1,55
2024-01-09 00:00:00,2024,1,9,0,2825,0,0
2024-01-09 00:05:00,2024,1,9,5,2834,0,5
2024-01-09 00:10:00,2024,1,9,10,2902,0,10
2024-01-09 00:15:00,2024,1,9,15,3062,0,15
2024-01-09 00:20:00,2024,1,9,20,3462,0,20
2024-01-09 00:25:00,2024,1,9,25,4010,0,25
2024-01-09 00:30:00,2024,1,9,30,4171,0,30
2024-01-09 00:35:00,2024,1,9,35,3981,0,35
2024-01-09 00:40:00,2024,1,9,40,3678,0,40
2024-01-09 00:45:00,2024,1,9,45,3467,0,45
2024-01-09 00:50:00,2024,1,9,50,3317,0,50
2024-01-09 00:55:00,2024,1,9,55,3220,0,55
2024-01-09 01:00:00,2024,1,9,60,3142,1,0
2024-01-09 01:05:00,2024,1,9,65,3077,1,5
2024-01-09 01:10:00,2024,1,9,70,3043,1,10
2024-01-09 01:15:00,2024,1,9,75,3065,1,15
2024-01-09 01:20:00,2024,1,9,80,3301,1,20
2024-01-09 01:25:00,2024,1,9,85,3693,1,25
