,Year,Month,Day,Period,Load,Hour,Minutes
2024-01-01 00:00:00,2024,1,1,0,2744,0,0
2024-01-01 00:05:00,2024,1,1,5,2580,0,5
2024-01-01 00:10:00,2024,1,1,10,2498,0,10
2024-01-01 00:15:00,2024,1,1,15,2445,0,15
2024-01-01 00:20:00,2024,1,1,20,2492,0,20
2024-01-01 00:25:00,2024,1,1,25,2689,0,25
2024-01-01 00:30:00,2024,1,1,30,3054,0,30
2024-01-01 00:35:00,2024,1,1,35,3276,0,35
2024-01-01 00:40:00,2024,1,1,40,3514,0,40
2024-01-01 00:45:00,2024,1,1,45,3676,0,45
2024-01-01 00:50:00,2024,1,1,50,3797,0,50
2024-01-01 00:55:00,2024,1,1,55,3853,0,55
2024-01-01 01:00:00,2024,1,1,60,3823,1,0
2024-01-01 01:05:00,2024,1,1,65,3833,1,5
2024-01-01 01:10:00,2024,1,1,70,3784,1,10
2024-01-01 01:15:00,2024,1,1,75,3724,1,15
2024-01-01 01:20:00,2024,1,1,80,3809,1,20
2024-01-01 01:25:00,2024,1,1,85,4205,1,25
2024-01-01 01:30:00,2024,1,1,90,4153,1,30
2024-01-01 01:35:00,2024,1,1,95,4035,1,35
2024-01-01 01:40:00,2024,1,1,100,3865,1,40
2024-01-01 01:45:00,2024,1,1,105,3591,1,45
2024-01-01 01:50:00,2024,1,1,110,3286,1,50
2024-01-01 01:55:00,2024,1,1,115,2942,1,55
2024-01-02 00:00:00,2024,1,2,0,2709,0,0
2024-01-02 00:05:00,2024,1,2,5,2566,0,5
2024-01-02 00:10:00,2024,1,2,10,2458,0,10
2024-01-02 00:15:00,2024,1,2,15,2401,0,15
2024-01-02 00:20:00,2024,1,2,20,2429,0,20
2024-01-02 00:25:00,2024,1,2,25,2641,0,25
2024-01-02 00:30:00,2024,1,2,30,2997,0,30
2024-01-02 00:35:00,2024,1,2,35,3195,0,35
2024-01-02 00:40:00,2024,1,2,40,3442,0,40
2024-01-02 00:45:00,2024,1,2,45,3627,0,45
2024-01-02 00:50:00,2024,1,2,50,3790,0,50
2024-01-02 00:55:00,2024,1,2,55,3905,0,55
2024-01-02 01:00:00,2024,1,2,60,3947,1,0
2024-01-02 01:05:00,2024,1,2,65,4010,1,5
2024-01-02 01:10:00,2024,1,2,70,4006,1,10
2024-01-02 01:15:00,2024,1,2,75,3929,1,15
2024-01-02 01:20:00,2024,1,2,80,3907,1,20
2024-01-02 01:25:00,2024,1,2,85,4206,1,25
2024-01-02 01:30:00,2024,1,2,90,4155,1,30
2024-01-02 01:35:00,2024,1,2,95,3993,1,35
2024-01-02 01:40:00,2024,1,2,100,3815,1,40
2024-01-02 01:45:00,2024,1,2,105,3552,1,45
2024-01-02 01:50:00,2024,1,2,110,3223,1,50
2024-01-02 01:55:00,2024,1,2,115,2903,1,55
2024-01-03 00:00:00,2024,1,3,0,2661,0,0
2024-01-03 00:05:00,2024,1,3,5,2519,0,5
2024-01-03 00:10:00,2024,1,3,10,2439,0,10
2024-01-03 00:15:00,2024,1,3,15,2383,0,15
2024-01-03 00:20:00,2024,1,3,20,2380,0,20
2024-01-03 00:25:00,2024,1,3,25,2576,0,25
2024-01-03 00:30:00,2024,1,3,30,2928,0,30
2024-01-03 00:35:00,2024,1,3,35,3143,0,35
2024-01-03 00:40:00,2024,1,3,40,3465,0,40
2024-01-03 00:45:00,2024,1,3,45,3645,0,45
2024-01-03 00:50:00,2024,1,3,50,3846,0,50
2024-01-03 00:55:00,2024,1,3,55,3983,0,55
2024-01-03 01:00:00,2024,1,3,60,4020,1,0
2024-01-03 01:05:00,2024,1,3,65,4073,1,5
2024-01-03 01:10:00,2024,1,3,70,4073,1,10
2024-01-03 01:15:00,2024,1,3,75,4009,1,15
2024-01-03 01:20:00,2024,1,3,80,3938,1,20
2024-01-03 01:25:00,2024,1,3,85,4160,1,25
2024-01-03 01:30:00,2024,1,3,90,4046,1,30
2024-01-03 01:35:00,2024,1,3,95,3872,1,35
2024-01-03 01:40:00,2024,1,3,100,3640,1,40
2024-01-03 01:45:00,2024,1,3,105,3430,1,45
2024-01-03 01:50:00,2024,1,3,110,3163,1,50
2024-01-03 01:55:00,2024,1,3,115,2896,1,55
2024-01-04 00:00:00,2024,1,4,0,2646,0,0
2024-01-04 00:05:00,2024,1,4,5,2505,0,5
2024-01-04 00:10:00,2024,1,4,10,2375,0,10
2024-01-04 00:15:00,2024,1,4,15,2301,0,15
2024-01-04 00:20:00,2024,1,4,20,2288,0,20
2024-01-04 00:25:00,2024,1,4,25,2367,0,25
2024-01-04 00:30:00,2024,1,4,30,2497,0,30
2024-01-04 00:35:00,2024,1,4,35,2564,0,35
2024-01-04 00:40:00,2024,1,4,40,2801,0,40
2024-01-04 00:45:00,2024,1,4,45,3026,0,45
2024-01-04 00:50:00,2024,1,4,50,3156,0,50
2024-01-04 00:55:00,2024,1,4,55,3212,0,55
2024-01-04 01:00:00,2024,1,4,60,3209,1,0
2024-01-04 01:05:00,2024,1,4,65,3151,1,5
2024-01-04 01:10:00,2024,1,4,70,3093,1,10
2024-01-04 01:15:00,2024,1,4,75,3039,1,15
2024-01-04 01:20:00,2024,1,4,80,3081,1,20
2024-01-04 01:25:00,2024,1,4,85,3459,1,25
2024-01-04 01:30:00,2024,1,4,90,3562,1,30
2024-01-04 01:35:00,2024,1,4,95,3479,1,35
2024-01-04 01:40:00,2024,1,4,100,3379,1,40
2024-01-04 01:45:00,2024,1,4,105,3233,1,45
2024-01-04 01:50:00,2024,1,4,110,3018,1,50
2024-01-04 01:55:00,2024,1,4,115,2811,1,55
2024-01-05 00:00:00,2024,1,5,0,2605,0,0
2024-01-05 00:05:00,2024,1,5,5,2467,0,5
2024-01-05 00:10:00,2024,1,5,10,2390,0,10
2024-01-05 00:15:00,2024,1,5,15,2339,0,15
2024-01-05 00:20:00,2024,1,5,20,2325,0,20
2024-01-05 00:25:00,2024,1,5,25,2326,0,25
2024-01-05 00:30:00,2024,1,5,30,2391,0,30
2024-01-05 00:35:00,2024,1,5,35,2378,0,35
2024-01-05 00:40:00,2024,1,5,40,2542,0,40
2024-01-05 00:45:00,2024,1,5,45,2692,0,45
2024-01-05 00:50:00,2024,1,5,50,2798,0,50
2024-01-05 00:55:00,2024,1,5,55,2858,0,55
2024-01-05 01:00:00,2024,1,5,60,2883,1,0
