,Year,Month,Day,Period,Load,Hour,Minutes
2024-01-01 00:00:00,2024,1,1,0,2363,0,0
2024-01-01 00:05:00,2024,1,1,5,2286,0,5
2024-01-01 00:10:00,2024,1,1,10,2275,0,10
2024-01-01 00:15:00,2024,1,1,15,2270,0,15
2024-01-01 00:20:00,2024,1,1,20,2351,0,20
2024-01-01 00:25:00,2024,1,1,25,2566,0,25
2024-01-01 00:30:00,2024,1,1,30,2813,0,30
2024-01-01 00:35:00,2024,1,1,35,2781,0,35
2024-01-01 00:40:00,2024,1,1,40,2734,0,40
2024-01-01 00:45:00,2024,1,1,45,2749,0,45
2024-01-01 00:50:00,2024,1,1,50,2663,0,50
2024-01-01 00:55:00,2024,1,1,55,2637,0,55
2024-01-01 01:00:00,2024,1,1,60,2640,1,0
2024-01-01 01:05:00,2024,1,1,65,2590,1,5
2024-01-01 01:10:00,2024,1,1,70,2572,1,10
2024-01-01 01:15:00,2024,1,1,75,2591,1,15
2024-01-01 01:20:00,2024,1,1,80,2702,1,20
2024-01-01 01:25:00,2024,1,1,85,3205,1,25
2024-01-01 01:30:00,2024,1,1,90,3240,1,30
2024-01-01 01:35:00,2024,1,1,95,3200,1,35
2024-01-01 01:40:00,2024,1,1,100,3132,1,40
2024-01-01 01:45:00,2024,1,1,105,2969,1,45
2024-01-01 01:50:00,2024,1,1,110,2752,1,50
2024-01-01 01:55:00,2024,1,1,115,2498,1,55
2024-01-02 00:00:00,2024,1,2,0,2342,0,0
2024-01-02 00:05:00,2024,1,2,5,2284,0,5
2024-01-02 00:10:00,2024,1,2,10,2257,0,10
2024-01-02 00:15:00,2024,1,2,15,2264,0,15
2024-01-02 00:20:00,2024,1,2,20,2344,0,20
2024-01-02 00:25:00,2024,1,2,25,2563,0,25
2024-01-02 00:30:00,2024,1,2,30,2822,0,30
2024-01-02 00:35:00,2024,1,2,35,2765,0,35
2024-01-02 00:40:00,2024,1,2,40,2733,0,40
2024-01-02 00:45:00,2024,1,2,45,2700,0,45
2024-01-02 00:50:00,2024,1,2,50,2675,0,50
2024-01-02 00:55:00,2024,1,2,55,2651,0,55
2024-01-02 01:00:00,2024,1,2,60,2598,1,0
2024-01-02 01:05:00,2024,1,2,65,2596,1,5
2024-01-02 01:10:00,2024,1,2,70,2555,1,10
2024-01-02 01:15:00,2024,1,2,75,2530,1,15
2024-01-02 01:20:00,2024,1,2,80,2767,1,20
2024-01-02 01:25:00,2024,1,2,85,3161,1,25
2024-01-02 01:30:00,2024,1,2,90,3190,1,30
2024-01-02 01:35:00,2024,1,2,95,3181,1,35
2024-01-02 01:40:00,2024,1,2,100,3105,1,40
2024-01-02 01:45:00,2024,1,2,105,2940,1,45
2024-01-02 01:50:00,2024,1,2,110,2742,1,50
2024-01-02 01:55:00,2024,1,2,115,2488,1,55
2024-01-03 00:00:00,2024,1,3,0,2352,0,0
2024-01-03 00:05:00,2024,1,3,5,2302,0,5
2024-01-03 00:10:00,2024,1,3,10,2263,0,10
2024-01-03 00:15:00,2024,1,3,15,2278,0,15
2024-01-03 00:20:00,2024,1,3,20,2362,0,20
2024-01-03 00:25:00,2024,1,3,25,2600,0,25
2024-01-03 00:30:00,2024,1,3,30,2859,0,30
2024-01-03 00:35:00,2024,1,3,35,2785,0,35
2024-01-03 00:40:00,2024,1,3,40,2763,0,40
2024-01-03 00:45:00,2024,1,3,45,2733,0,45
2024-01-03 00:50:00,2024,1,3,50,2700,0,50
2024-01-03 00:55:00,2024,1,3,55,2654,0,55
2024-01-03 01:00:00,2024,1,3,60,2621,1,0
2024-01-03 01:05:00,2024,1,3,65,2561,1,5
2024-01-03 01:10:00,2024,1,3,70,2542,1,10
2024-01-03 01:15:00,2024,1,3,75,2511,1,15
2024-01-03 01:20:00,2024,1,3,80,2297,1,20
2024-01-03 01:25:00,2024,1,3,85,3096,1,25
2024-01-03 01:30:00,2024,1,3,90,3109,1,30
2024-01-03 01:35:00,2024,1,3,95,3066,1,35
2024-01-03 01:40:00,2024,1,3,100,2995,1,40
2024-01-03 01:45:00,2024,1,3,105,2895,1,45
2024-01-03 01:50:00,2024,1,3,110,2755,1,50
2024-01-03 01:55:00,2024,1,3,115,2545,1,55
2024-01-04 00:00:00,2024,1,4,0,2391,0,0
2024-01-04 00:05:00,2024,1,4,5,2328,0,5
2024-01-04 00:10:00,2024,1,4,10,2304,0,10
2024-01-04 00:15:00,2024,1,4,15,2286,0,15
2024-01-04 00:20:00,2024,1,4,20,2335,0,20
2024-01-04 00:25:00,2024,1,4,25,2430,0,25
2024-01-04 00:30:00,2024,1,4,30,2539,0,30
2024-01-04 00:35:00,2024,1,4,35,2456,0,35
2024-01-04 00:40:00,2024,1,4,40,2496,0,40
2024-01-04 00:45:00,2024,1,4,45,2514,0,45
2024-01-04 00:50:00,2024,1,4,50,2470,0,50
2024-01-04 00:55:00,2024,1,4,55,2376,0,55
2024-01-04 01:00:00,2024,1,4,60,2422,1,0
2024-01-04 01:05:00,2024,1,4,65,2375,1,5
2024-01-04 01:10:00,2024,1,4,70,2355,1,10
2024-01-04 01:15:00,2024,1,4,75,2287,1,15
2024-01-04 01:20:00,2024,1,4,80,2542,1,20
2024-01-04 01:25:00,2024,1,4,85,3025,1,25
2024-01-04 01:30:00,2024,1,4,90,3029,1,30
2024-01-04 01:35:00,2024,1,4,95,2986,1,35
2024-01-04 01:40:00,2024,1,4,100,2919,1,40
2024-01-04 01:45:00,2024,1,4,105,2825,1,45
2024-01-04 01:50:00,2024,1,4,110,2693,1,50
