"Year","Month","Day","Period","value"
2024,1,1,"1",10
2024,1,1,"2",10
2024,1,1,"3",10
2024,1,1,"4",10
2024,1,1,"5",10
2024,1,1,"6",15
2024,1,1,"7",13
2024,1,1,"8",15
2024,1,1,"9",18
2024,1,1,"10",50
2024,1,1,"11",18
2024,1,1,"12",15
2024,1,1,"13",47
2024,1,1,"14",65
2024,1,1,"15",60
2024,1,1,"16",40
2024,1,1,"17",8
2024,1,1,"18",21
2024,1,1,"19",28
2024,1,1,"20",34
2024,1,1,"21",30
2024,1,1,"22",40
2024,1,1,"23",50
2024,1,1,"24",53
2024,1,2,"1",59
2024,1,2,"2",54
2024,1,2,"3",56
2024,1,2,"4",58
2024,1,2,"5",47
2024,1,2,"6",44
2024,1,2,"7",42
2024,1,2,"8",72
2024,1,2,"9",55
2024,1,2,"10",71
2024,1,2,"11",74
2024,1,2,"12",44
2024,1,2,"13",41
2024,1,2,"14",45
2024,1,2,"15",54
2024,1,2,"16",57
2024,1,2,"17",56
2024,1,2,"18",51
2024,1,2,"19",51
2024,1,2,"20",55
2024,1,2,"21",50
2024,1,2,"22",42
2024,1,2,"23",42
2024,1,2,"24",38
2024,1,3,"1",25
2024,1,3,"2",26
2024,1,3,"3",43
2024,1,3,"4",28
2024,1,3,"5",41
2024,1,3,"6",47
2024,1,3,"7",43
2024,1,3,"8",44
2024,1,3,"9",43
2024,1,3,"10",68
2024,1,3,"11",50
2024,1,3,"12",50
2024,1,3,"13",53
2024,1,3,"14",55
2024,1,3,"15",59
2024,1,3,"16",60
2024,1,3,"17",59
2024,1,3,"18",49
2024,1,3,"19",58
2024,1,3,"20",56
2024,1,3,"21",39
2024,1,3,"22",55
2024,1,3,"23",58
2024,1,3,"24",59
2024,1,4,"1",42
2024,1,4,"2",14
2024,1,4,"3",11
2024,1,4,"4",11
2024,1,4,"5",8
2024,1,4,"6",15
2024,1,4,"7",22
2024,1,4,"8",32
2024,1,4,"9",31
2024,1,4,"10",56
2024,1,4,"11",57
2024,1,4,"12",32
2024,1,4,"13",39
2024,1,4,"14",56
2024,1,4,"15",62
2024,1,4,"16",46
2024,1,4,"17",46
2024,1,4,"18",43
2024,1,4,"19",54
2024,1,4,"20",48
2024,1,4,"21",49
2024,1,4,"22",53
2024,1,4,"23",36
2024,1,4,"24",10
2024,1,5,"1",10
2024,1,5,"2",10
2024,1,5,"3",10
2024,1,5,"4",10
2024,1,5,"5",10
2024,1,5,"6",10
2024,1,5,"7",10
2024,1,5,"8",15
2024,1,5,"9",18
2024,1,5,"10",50
2024,1,5,"11",18
2024,1,5,"12",14
2024,1,5,"13",14
2024,1,5,"14",14
2024,1,5,"15",11
2024,1,5,"16",13
2024,1,5,"17",18
2024,1,5,"18",15
2024,1,5,"19",12
2024,1,5,"20",10
2024,1,5,"21",10
2024,1,5,"22",10
2024,1,5,"23",10
2024,1,5,"24",10
2024,1,6,"1",11
2024,1,6,"2",24
