"Year","Month","Day","Period","value"
2024,1,1,1,18
2024,1,1,2,18
2024,1,1,3,18
2024,1,1,4,18
2024,1,1,5,18
2024,1,1,6,23
2024,1,1,7,21
2024,1,1,8,25
2024,1,1,9,21
2024,1,1,10,37
2024,1,1,11,21
2024,1,1,12,26
2024,1,1,13,51
2024,1,1,14,64
2024,1,1,15,66
2024,1,1,16,42
2024,1,1,17,7
2024,1,1,18,18
2024,1,1,19,24
2024,1,1,20,32
2024,1,1,21,27
2024,1,1,22,38
2024,1,1,23,50
2024,1,1,24,53
2024,1,2,1,59
2024,1,2,2,53
2024,1,2,3,60
2024,1,2,4,60
2024,1,2,5,46
2024,1,2,6,44
2024,1,2,7,41
2024,1,2,8,67
2024,1,2,9,61
2024,1,2,10,67
2024,1,2,11,72
2024,1,2,12,55
2024,1,2,13,52
2024,1,2,14,55
2024,1,2,15,64
2024,1,2,16,63
2024,1,2,17,60
2024,1,2,18,59
2024,1,2,19,59
2024,1,2,20,60
2024,1,2,21,58
2024,1,2,22,50
2024,1,2,23,51
2024,1,2,24,47
2024,1,3,1,34
2024,1,3,2,35
2024,1,3,3,51
2024,1,3,4,38
2024,1,3,5,50
2024,1,3,6,55
2024,1,3,7,52
2024,1,3,8,54
2024,1,3,9,51
2024,1,3,10,64
2024,1,3,11,57
2024,1,3,12,59
2024,1,3,13,63
2024,1,3,14,63
2024,1,3,15,62
2024,1,3,16,63
2024,1,3,17,59
2024,1,3,18,49
2024,1,3,19,58
2024,1,3,20,60
2024,1,3,21,48
2024,1,3,22,60
2024,1,3,23,60
2024,1,3,24,60
2024,1,4,1,40
2024,1,4,2,12
2024,1,4,3,10
2024,1,4,4,9
2024,1,4,5,7
2024,1,4,6,13
2024,1,4,7,19
2024,1,4,8,32
2024,1,4,9,31
2024,1,4,10,40
2024,1,4,11,41
2024,1,4,12,33
2024,1,4,13,40
2024,1,4,14,57
2024,1,4,15,71
2024,1,4,16,57
2024,1,4,17,54
2024,1,4,18,52
2024,1,4,19,61
2024,1,4,20,56
2024,1,4,21,57
2024,1,4,22,61
2024,1,4,23,46
2024,1,4,24,18
2024,1,5,1,18
2024,1,5,2,18
2024,1,5,3,18
2024,1,5,4,18
2024,1,5,5,18
2024,1,5,6,18
2024,1,5,7,18
2024,1,5,8,25
2024,1,5,9,21
2024,1,5,10,37
2024,1,5,11,21
2024,1,5,12,26
2024,1,5,13,26
2024,1,5,14,26
2024,1,5,15,25
2024,1,5,16,27
2024,1,5,17,29
2024,1,5,18,23
2024,1,5,19,20
2024,1,5,20,18
2024,1,5,21,18
2024,1,5,22,18
2024,1,5,23,18
2024,1,5,24,18
2024,1,6,1,19
2024,1,6,2,33
2024,1,6,3,42
2024,1,6,4,51
2024,1,6,5,53
2024,1,6,6,43
2024,1,6,7,49
2024,1,6,8,59
2024,1,6,9,58
2024,1,6,10,55
2024,1,6,11,31
2024,1,6,12,27
2024,1,6,13,26
2024,1,6,14,33
2024,1,6,15,40
2024,1,6,16,51
2024,1,6,17,50
2024,1,6,18,36
2024,1,6,19,45
2024,1,6,20,44
2024,1,6,21,46
2024,1,6,22,44
2024,1,6,23,42
2024,1,6,24,34
2024,1,7,1,21
2024,1,7,2,18
2024,1,7,3,18
2024,1,7,4,18
2024,1,7,5,18
2024,1,7,6,18
2024,1,7,7,18
2024,1,7,8,25
2024,1,7,9,21
2024,1,7,10,37
2024,1,7,11,21
2024,1,7,12,26
2024,1,7,13,26
2024,1,7,14,29
2024,1,7,15,29
2024,1,7,16,27
2024,1,7,17,26
2024,1,7,18,21
2024,1,7,19,31
2024,1,7,20,40
2024,1,7,21,46
2024,1,7,22,20
2024,1,7,23,54
2024,1,7,24,51
2024,1,8,1,21
2024,1,8,2,19
2024,1,8,3,18
2024,1,8,4,18
2024,1,8,5,30
2024,1,8,6,32
2024,1,8,7,39
2024,1,8,8,50
2024,1,8,9,22
2024,1,8,10,37
2024,1,8,11,21
2024,1,8,12,21
2024,1,8,13,26
2024,1,8,14,26
2024,1,8,15,25
2024,1,8,16,27
2024,1,8,17,18
2024,1,8,18,18
2024,1,8,19,18
2024,1,8,20,18
2024,1,8,21,18
2024,1,8,22,18
2024,1,8,23,18
2024,1,8,24,18
2024,1,9,1,18
2024,1,9,2,18
2024,1,9,3,18
2024,1,9,4,18
2024,1,9,5,18
2024,1,9,6,18
2024,1,9,7,18
2024,1,9,8,25
2024,1,9,9,21
2024,1,9,10,37
2024,1,9,11,21
2024,1,9,12,29
2024,1,9,13,37
2024,1,9,14,57
2024,1,9,15,59
2024,1,9,16,63
2024,1,9,17,51
2024,1,9,18,42
2024,1,9,19,35
2024,1,9,20,46
2024,1,9,21,60
2024,1,9,22,60
2024,1,9,23,60
2024,1,9,24,53
2024,1,10,1,44
2024,1,10,2,44
2024,1,10,3,50
2024,1,10,4,52
2024,1,10,5,44
2024,1,10,6,47
2024,1,10,7,49
2024,1,10,8,53
2024,1,10,9,49
2024,1,10,10,60
2024,1,10,11,57
2024,1,10,12,55
2024,1,10,13,52
2024,1,10,14,62
2024,1,10,15,63
2024,1,10,16,63
2024,1,10,17,62
2024,1,10,18,56
2024,1,10,19,60
2024,1,10,20,60
2024,1,10,21,57
2024,1,10,22,57
2024,1,10,23,61
2024,1,10,24,61
2024,1,11,1,37
2024,1,11,2,53
2024,1,11,3,59
2024,1,11,4,58
2024,1,11,5,60
2024,1,11,6,60
2024,1,11,7,60
2024,1,11,8,70
2024,1,11,9,69
2024,1,11,10,56
2024,1,11,11,51
2024,1,11,12,59
2024,1,11,13,62
2024,1,11,14,64
2024,1,11,15,71
2024,1,11,16,66
2024,1,11,17,66
2024,1,11,18,55
2024,1,11,19,60
2024,1,11,20,60
2024,1,11,21,60
2024,1,11,22,54
2024,1,11,23,54
2024,1,11,24,56
2024,1,12,1,56
2024,1,12,2,47
2024,1,12,3,46
2024,1,12,4,46
2024,1,12,5,37
2024,1,12,6,32
2024,1,12,7,39
2024,1,12,8,45
2024,1,12,9,50
2024,1,12,10,54
2024,1,12,11,48
2024,1,12,12,48
2024,1,12,13,51
2024,1,12,14,55
2024,1,12,15,56
2024,1,12,16,59
2024,1,12,17,60
2024,1,12,18,60
2024,1,12,19,57
2024,1,12,20,55
2024,1,12,21,57
2024,1,12,22,60
2024,1,12,23,60
2024,1,12,24,60
2024,1,13,1,60
2024,1,13,2,60
2024,1,13,3,60
2024,1,13,4,60
2024,1,13,5,58
2024,1,13,6,47
2024,1,13,7,40
2024,1,13,8,51
2024,1,13,9,50
2024,1,13,10,69
2024,1,13,11,61
2024,1,13,12,47
2024,1,13,13,39
2024,1,13,14,30
2024,1,13,15,23
2024,1,13,16,28
2024,1,13,17,38
2024,1,13,18,43
2024,1,13,19,51
2024,1,13,20,58
2024,1,13,21,60
2024,1,13,22,60
2024,1,13,23,59
2024,1,13,24,52
2024,1,14,1,60
2024,1,14,2,45
2024,1,14,3,49
2024,1,14,4,55
2024,1,14,5,38
2024,1,14,6,25
2024,1,14,7,18
2024,1,14,8,25
2024,1,14,9,21
2024,1,14,10,21
2024,1,14,11,21
2024,1,14,12,26
2024,1,14,13,26
2024,1,14,14,26
2024,1,14,15,26
2024,1,14,16,32
2024,1,14,17,33
2024,1,14,18,33
2024,1,14,19,35
2024,1,14,20,31
2024,1,14,21,26
2024,1,14,22,28
2024,1,14,23,34
2024,1,14,24,50
2024,1,15,1,60
2024,1,15,2,45
2024,1,15,3,48
2024,1,15,4,49
2024,1,15,5,59
2024,1,15,6,60
2024,1,15,7,42
2024,1,15,8,52
2024,1,15,9,66
2024,1,15,10,68
2024,1,15,11,57
2024,1,15,12,55
2024,1,15,13,71
2024,1,15,14,74
2024,1,15,15,67
2024,1,15,16,69
2024,1,15,17,77
2024,1,15,18,58
2024,1,15,19,60
2024,1,15,20,61
2024,1,15,21,59
2024,1,15,22,61
2024,1,15,23,57
2024,1,15,24,59
2024,1,16,1,61
2024,1,16,2,58
2024,1,16,3,53
2024,1,16,4,54
2024,1,16,5,54
2024,1,16,6,57
2024,1,16,7,60
2024,1,16,8,63
2024,1,16,9,63
2024,1,16,10,69
2024,1,16,11,61
2024,1,16,12,60
2024,1,16,13,63
2024,1,16,14,70
2024,1,16,15,62
2024,1,16,16,59
2024,1,16,17,52
2024,1,16,18,49
2024,1,16,19,50
2024,1,16,20,50
2024,1,16,21,45
2024,1,16,22,32
2024,1,16,23,19
2024,1,16,24,24
2024,1,17,1,26
2024,1,17,2,19
2024,1,17,3,18
2024,1,17,4,18
2024,1,17,5,18
2024,1,17,6,18
2024,1,17,7,18
2024,1,17,8,27
2024,1,17,9,28
2024,1,17,10,43
2024,1,17,11,25
2024,1,17,12,21
2024,1,17,13,44
2024,1,17,14,29
2024,1,17,15,25
2024,1,17,16,27
2024,1,17,17,26
2024,1,17,18,18
2024,1,17,19,18
2024,1,17,20,18
2024,1,17,21,18
2024,1,17,22,18
2024,1,17,23,30
2024,1,17,24,34
2024,1,18,1,34
2024,1,18,2,46
2024,1,18,3,48
2024,1,18,4,52
2024,1,18,5,50
2024,1,18,6,48
2024,1,18,7,48
2024,1,18,8,46
2024,1,18,9,41
2024,1,18,10,51
2024,1,18,11,46
2024,1,18,12,53
2024,1,18,13,61
2024,1,18,14,63
2024,1,18,15,62
2024,1,18,16,62
2024,1,18,17,55
2024,1,18,18,47
2024,1,18,19,42
2024,1,18,20,44
2024,1,18,21,45
2024,1,18,22,43
2024,1,18,23,38
2024,1,18,24,41
2024,1,19,1,43
2024,1,19,2,46
2024,1,19,3,48
2024,1,19,4,48
2024,1,19,5,47
2024,1,19,6,45
2024,1,19,7,42
2024,1,19,8,42
2024,1,19,9,43
2024,1,19,10,57
2024,1,19,11,60
2024,1,19,12,63
2024,1,19,13,62
2024,1,19,14,60
2024,1,19,15,39
2024,1,19,16,42
2024,1,19,17,34
2024,1,19,18,22
2024,1,19,19,17
2024,1,19,20,9
2024,1,19,21,11
2024,1,19,22,24
2024,1,19,23,20
2024,1,19,24,12
2024,1,20,1,3
2024,1,20,2,18
2024,1,20,3,46
2024,1,20,4,60
2024,1,20,5,60
2024,1,20,6,60
2024,1,20,7,57
2024,1,20,8,58
2024,1,20,9,62
2024,1,20,10,69
2024,1,20,11,61
2024,1,20,12,60
2024,1,20,13,46
2024,1,20,14,33
2024,1,20,15,28
2024,1,20,16,23
2024,1,20,17,19
2024,1,20,18,1
2024,1,20,19,1
2024,1,20,20,1
2024,1,20,21,1
2024,1,20,22,1
2024,1,20,23,1
2024,1,20,24,1
2024,1,21,1,1
2024,1,21,2,1
2024,1,21,3,1
2024,1,21,4,1
2024,1,21,5,1
2024,1,21,6,1
2024,1,21,7,1
2024,1,21,8,17
2024,1,21,9,17
2024,1,21,10,33
2024,1,21,11,35
2024,1,21,12,31
2024,1,21,13,34
2024,1,21,14,25
2024,1,21,15,19
2024,1,21,16,20
2024,1,21,17,19
2024,1,21,18,5
2024,1,21,19,20
2024,1,21,20,43
2024,1,21,21,52
2024,1,21,22,56
2024,1,21,23,55
2024,1,21,24,57
2024,1,22,1,58
2024,1,22,2,53
2024,1,22,3,42
2024,1,22,4,31
2024,1,22,5,25
2024,1,22,6,16
2024,1,22,7,12
2024,1,22,8,28
2024,1,22,9,32
2024,1,22,10,60
2024,1,22,11,59
2024,1,22,12,53
2024,1,22,13,63
2024,1,22,14,53
2024,1,22,15,40
2024,1,22,16,28
2024,1,22,17,24
2024,1,22,18,35
2024,1,22,19,36
2024,1,22,20,29
2024,1,22,21,44
2024,1,22,22,46
2024,1,22,23,49
2024,1,22,24,54
2024,1,23,1,56
2024,1,23,2,50
2024,1,23,3,22
2024,1,23,4,18
2024,1,23,5,18
2024,1,23,6,18
2024,1,23,7,18
2024,1,23,8,25
2024,1,23,9,31
2024,1,23,10,44
2024,1,23,11,37
2024,1,23,12,37
2024,1,23,13,26
2024,1,23,14,26
2024,1,23,15,29
2024,1,23,16,42
2024,1,23,17,32
2024,1,23,18,44
2024,1,23,19,50
2024,1,23,20,51
2024,1,23,21,52
2024,1,23,22,52
2024,1,23,23,58
2024,1,23,24,60
2024,1,24,1,53
2024,1,24,2,49
2024,1,24,3,48
2024,1,24,4,55
2024,1,24,5,60
2024,1,24,6,60
2024,1,24,7,60
2024,1,24,8,66
2024,1,24,9,68
2024,1,24,10,49
2024,1,24,11,37
2024,1,24,12,45
2024,1,24,13,45
2024,1,24,14,26
2024,1,24,15,25
2024,1,24,16,37
2024,1,24,17,26
2024,1,24,18,19
2024,1,24,19,20
2024,1,24,20,22
2024,1,24,21,18
2024,1,24,22,19
2024,1,24,23,18
2024,1,24,24,26
2024,1,25,1,33
2024,1,25,2,41
2024,1,25,3,48
2024,1,25,4,51
2024,1,25,5,60
2024,1,25,6,60
2024,1,25,7,61
2024,1,25,8,63
2024,1,25,9,59
2024,1,25,10,57
2024,1,25,11,39
2024,1,25,12,21
2024,1,25,13,26
2024,1,25,14,26
2024,1,25,15,25
2024,1,25,16,27
2024,1,25,17,26
2024,1,25,18,19
2024,1,25,19,24
2024,1,25,20,18
2024,1,25,21,18
2024,1,25,22,18
2024,1,25,23,19
2024,1,25,24,20
2024,1,26,1,18
2024,1,26,2,18
2024,1,26,3,18
2024,1,26,4,18
2024,1,26,5,18
2024,1,26,6,18
2024,1,26,7,18
2024,1,26,8,25
2024,1,26,9,21
2024,1,26,10,37
2024,1,26,11,37
2024,1,26,12,26
2024,1,26,13,30
2024,1,26,14,53
2024,1,26,15,51
2024,1,26,16,52
2024,1,26,17,63
2024,1,26,18,60
2024,1,26,19,60
2024,1,26,20,60
2024,1,26,21,59
2024,1,26,22,54
2024,1,26,23,60
2024,1,26,24,61
2024,1,27,1,56
2024,1,27,2,39
2024,1,27,3,27
2024,1,27,4,18
2024,1,27,5,18
2024,1,27,6,18
2024,1,27,7,18
2024,1,27,8,25
2024,1,27,9,21
2024,1,27,10,37
2024,1,27,11,21
2024,1,27,12,26
2024,1,27,13,26
2024,1,27,14,26
2024,1,27,15,25
2024,1,27,16,37
2024,1,27,17,26
2024,1,27,18,18
2024,1,27,19,18
2024,1,27,20,18
2024,1,27,21,18
2024,1,27,22,18
2024,1,27,23,18
2024,1,27,24,18
2024,1,28,1,18
2024,1,28,2,18
2024,1,28,3,18
2024,1,28,4,18
2024,1,28,5,18
2024,1,28,6,18
2024,1,28,7,18
2024,1,28,8,40
2024,1,28,9,25
2024,1,28,10,37
2024,1,28,11,44
2024,1,28,12,27
2024,1,28,13,28
2024,1,28,14,27
2024,1,28,15,25
2024,1,28,16,44
2024,1,28,17,43
2024,1,28,18,50
2024,1,28,19,56
2024,1,28,20,60
2024,1,28,21,60
2024,1,28,22,60
2024,1,28,23,60
2024,1,28,24,58
2024,1,29,1,45
2024,1,29,2,36
2024,1,29,3,18
2024,1,29,4,18
2024,1,29,5,18
2024,1,29,6,18
2024,1,29,7,18
2024,1,29,8,31
2024,1,29,9,25
2024,1,29,10,21
2024,1,29,11,44
2024,1,29,12,37
2024,1,29,13,26
2024,1,29,14,26
2024,1,29,15,25
2024,1,29,16,27
2024,1,29,17,26
2024,1,29,18,18
2024,1,29,19,19
2024,1,29,20,21
2024,1,29,21,26
2024,1,29,22,26
2024,1,29,23,19
2024,1,29,24,19
2024,1,30,1,34
2024,1,30,2,34
2024,1,30,3,31
2024,1,30,4,21
2024,1,30,5,26
2024,1,30,6,19
2024,1,30,7,24
2024,1,30,8,32
2024,1,30,9,25
2024,1,30,10,21
2024,1,30,11,45
2024,1,30,12,45
2024,1,30,13,45
2024,1,30,14,46
2024,1,30,15,42
2024,1,30,16,43
2024,1,30,17,47
2024,1,30,18,23
2024,1,30,19,18
2024,1,30,20,18
2024,1,30,21,18
2024,1,30,22,29
2024,1,30,23,24
2024,1,30,24,26
2024,1,31,1,40
2024,1,31,2,29
2024,1,31,3,18
2024,1,31,4,18
2024,1,31,5,19
2024,1,31,6,18
2024,1,31,7,20
2024,1,31,8,49
2024,1,31,9,54
2024,1,31,10,57
2024,1,31,11,72
2024,1,31,12,65
2024,1,31,13,45
2024,1,31,14,29
2024,1,31,15,25
2024,1,31,16,24
2024,1,31,17,32
2024,1,31,18,46
2024,1,31,19,56
2024,1,31,20,60
2024,1,31,21,60
2024,1,31,22,56
2024,1,31,23,47
2024,1,31,24,28
2024,2,1,1,28
2024,2,1,2,31
2024,2,1,3,30
2024,2,1,4,48
2024,2,1,5,25
2024,2,1,6,28
2024,2,1,7,22
2024,2,1,8,25
2024,2,1,9,25
2024,2,1,10,44
2024,2,1,11,44
2024,2,1,12,44
2024,2,1,13,46
2024,2,1,14,45
2024,2,1,15,37
2024,2,1,16,38
2024,2,1,17,26
2024,2,1,18,18
2024,2,1,19,46
2024,2,1,20,60
2024,2,1,21,29
2024,2,1,22,13
2024,2,1,23,15
2024,2,1,24,15
2024,2,2,1,15
2024,2,2,2,32
2024,2,2,3,42
2024,2,2,4,56
2024,2,2,5,58
2024,2,2,6,52
2024,2,2,7,50
2024,2,2,8,36
2024,2,2,9,25
2024,2,2,10,45
2024,2,2,11,45
2024,2,2,12,46
2024,2,2,13,50
2024,2,2,14,49
2024,2,2,15,35
2024,2,2,16,55
2024,2,2,17,49
2024,2,2,18,52
2024,2,2,19,61
2024,2,2,20,60
2024,2,2,21,60
2024,2,2,22,60
2024,2,2,23,60
2024,2,2,24,57
2024,2,3,1,45
2024,2,3,2,35
2024,2,3,3,16
2024,2,3,4,1
2024,2,3,5,1
2024,2,3,6,1
2024,2,3,7,69
2024,2,3,8,26
2024,2,3,9,18
2024,2,3,10,12
2024,2,3,11,41
2024,2,3,12,42
2024,2,3,13,21
2024,2,3,14,20
2024,2,3,15,38
2024,2,3,16,33
2024,2,3,17,19
2024,2,3,18,1
2024,2,3,19,1
2024,2,3,20,8
2024,2,3,21,23
2024,2,3,22,36
2024,2,3,23,38
2024,2,3,24,19
2024,2,4,1,1
2024,2,4,2,3
2024,2,4,3,10
2024,2,4,4,17
2024,2,4,5,26
2024,2,4,6,25
2024,2,4,7,72
2024,2,4,8,18
2024,2,4,9,11
2024,2,4,10,11
2024,2,4,11,32
2024,2,4,12,19
2024,2,4,13,19
2024,2,4,14,19
2024,2,4,15,18
2024,2,4,16,20
2024,2,4,17,19
2024,2,4,18,1
2024,2,4,19,1
2024,2,4,20,1
2024,2,4,21,1
2024,2,4,22,1
2024,2,4,23,1
2024,2,4,24,1
2024,2,5,1,1
2024,2,5,2,1
2024,2,5,3,1
2024,2,5,4,1
2024,2,5,5,1
2024,2,5,6,1
2024,2,5,7,69
2024,2,5,8,18
2024,2,5,9,15
2024,2,5,10,19
2024,2,5,11,35
2024,2,5,12,44
2024,2,5,13,24
2024,2,5,14,26
2024,2,5,15,21
2024,2,5,16,21
2024,2,5,17,19
2024,2,5,18,1
2024,2,5,19,1
2024,2,5,20,2
2024,2,5,21,1
2024,2,5,22,2
2024,2,5,23,4
2024,2,5,24,2
2024,2,6,1,2
2024,2,6,2,2
2024,2,6,3,5
2024,2,6,4,8
2024,2,6,5,10
2024,2,6,6,12
2024,2,6,7,70
2024,2,6,8,20
2024,2,6,9,14
2024,2,6,10,14
2024,2,6,11,35
2024,2,6,12,22
2024,2,6,13,19
2024,2,6,14,19
2024,2,6,15,19
2024,2,6,16,23
2024,2,6,17,23
2024,2,6,18,4
2024,2,6,19,1
2024,2,6,20,2
2024,2,6,21,7
2024,2,6,22,22
2024,2,6,23,28
2024,2,6,24,12
2024,2,7,1,4
2024,2,7,2,7
2024,2,7,3,11
2024,2,7,4,17
2024,2,7,5,46
2024,2,7,6,60
2024,2,7,7,92
2024,2,7,8,66
2024,2,7,9,62
2024,2,7,10,56
2024,2,7,11,73
2024,2,7,12,61
2024,2,7,13,61
2024,2,7,14,62
2024,2,7,15,62
2024,2,7,16,63
2024,2,7,17,62
2024,2,7,18,60
2024,2,7,19,60
2024,2,7,20,60
2024,2,7,21,60
2024,2,7,22,58
2024,2,7,23,33
2024,2,7,24,10
2024,2,8,1,10
2024,2,8,2,13
2024,2,8,3,13
2024,2,8,4,13
2024,2,8,5,13
2024,2,8,6,15
2024,2,8,7,71
2024,2,8,8,21
2024,2,8,9,15
2024,2,8,10,13
2024,2,8,11,33
2024,2,8,12,13
2024,2,8,13,19
2024,2,8,14,19
2024,2,8,15,18
2024,2,8,16,20
2024,2,8,17,19
2024,2,8,18,1
2024,2,8,19,1
2024,2,8,20,1
2024,2,8,21,1
2024,2,8,22,1
2024,2,8,23,1
2024,2,8,24,1
2024,2,9,1,1
2024,2,9,2,1
2024,2,9,3,1
2024,2,9,4,1
2024,2,9,5,1
2024,2,9,6,1
2024,2,9,7,69
2024,2,9,8,17
2024,2,9,9,11
2024,2,9,10,11
2024,2,9,11,11
2024,2,9,12,19
2024,2,9,13,19
2024,2,9,14,19
2024,2,9,15,18
2024,2,9,16,20
2024,2,9,17,19
2024,2,9,18,19
2024,2,9,19,37
2024,2,9,20,27
2024,2,9,21,26
2024,2,9,22,27
2024,2,9,23,17
2024,2,9,24,6
2024,2,10,1,3
2024,2,10,2,6
2024,2,10,3,7
2024,2,10,4,9
2024,2,10,5,23
2024,2,10,6,34
2024,2,10,7,79
2024,2,10,8,41
2024,2,10,9,48
2024,2,10,10,41
2024,2,10,11,17
2024,2,10,12,23
2024,2,10,13,26
2024,2,10,14,25
2024,2,10,15,35
2024,2,10,16,40
2024,2,10,17,35
2024,2,10,18,19
2024,2,10,19,12
2024,2,10,20,7
2024,2,10,21,17
2024,2,10,22,28
2024,2,10,23,37
2024,2,10,24,38
2024,2,11,1,37
2024,2,11,2,37
2024,2,11,3,33
2024,2,11,4,24
2024,2,11,5,17
2024,2,11,6,11
2024,2,11,7,70
2024,2,11,8,18
2024,2,11,9,26
2024,2,11,10,13
2024,2,11,11,41
2024,2,11,12,34
2024,2,11,13,20
2024,2,11,14,19
2024,2,11,15,38
2024,2,11,16,39
2024,2,11,17,19
2024,2,11,18,4
2024,2,11,19,3
2024,2,11,20,3
2024,2,11,21,4
2024,2,11,22,3
2024,2,11,23,1
2024,2,11,24,4
2024,2,12,1,8
2024,2,12,2,10
2024,2,12,3,13
2024,2,12,4,13
2024,2,12,5,11
2024,2,12,6,13
2024,2,12,7,71
2024,2,12,8,36
2024,2,12,9,38
2024,2,12,10,36
2024,2,12,11,43
2024,2,12,12,44
2024,2,12,13,44
2024,2,12,14,44
2024,2,12,15,37
2024,2,12,16,38
2024,2,12,17,46
2024,2,12,18,20
2024,2,12,19,17
2024,2,12,20,14
2024,2,12,21,11
2024,2,12,22,8
2024,2,12,23,7
2024,2,12,24,4
2024,2,13,1,3
2024,2,13,2,11
2024,2,13,3,15
2024,2,13,4,14
2024,2,13,5,25
2024,2,13,6,31
2024,2,13,7,75
2024,2,13,8,31
2024,2,13,9,25
2024,2,13,10,20
2024,2,13,11,18
2024,2,13,12,20
2024,2,13,13,42
2024,2,13,14,42
2024,2,13,15,41
2024,2,13,16,50
2024,2,13,17,60
2024,2,13,18,43
2024,2,13,19,45
2024,2,13,20,45
2024,2,13,21,52
2024,2,13,22,60
2024,2,13,23,58
2024,2,13,24,60
2024,2,14,1,60
2024,2,14,2,60
2024,2,14,3,60
2024,2,14,4,58
2024,2,14,5,52
2024,2,14,6,50
2024,2,14,7,86
2024,2,14,8,54
2024,2,14,9,64
2024,2,14,10,64
2024,2,14,11,72
2024,2,14,12,69
2024,2,14,13,73
2024,2,14,14,74
2024,2,14,15,69
2024,2,14,16,69
2024,2,14,17,77
2024,2,14,18,51
2024,2,14,19,47
2024,2,14,20,45
2024,2,14,21,53
2024,2,14,22,47
2024,2,14,23,34
2024,2,14,24,27
2024,2,15,1,28
2024,2,15,2,29
2024,2,15,3,29
2024,2,15,4,23
2024,2,15,5,18
2024,2,15,6,12
2024,2,15,7,70
2024,2,15,8,18
2024,2,15,9,27
2024,2,15,10,12
2024,2,15,11,33
2024,2,15,12,32
2024,2,15,13,42
2024,2,15,14,51
2024,2,15,15,46
2024,2,15,16,22
2024,2,15,17,49
2024,2,15,18,8
2024,2,15,19,14
2024,2,15,20,25
2024,2,15,21,32
2024,2,15,22,37
2024,2,15,23,41
2024,2,15,24,38
2024,2,16,1,37
2024,2,16,2,30
