"Year","Month","Day","Period","value"
2024,1,1,"1",35
2024,1,1,"2",34
2024,1,1,"3",33
2024,1,1,"4",34
2024,1,1,"5",35
2024,1,1,"6",40
2024,1,1,"7",42
2024,1,1,"8",43
2024,1,1,"9",45
2024,1,1,"10",54
2024,1,1,"11",45
2024,1,1,"12",45
2024,1,1,"13",60
2024,1,1,"14",67
2024,1,1,"15",62
2024,1,1,"16",50
2024,1,1,"17",42
2024,1,1,"18",49
2024,1,1,"19",50
2024,1,1,"20",52
2024,1,1,"21",49
2024,1,1,"22",50
2024,1,1,"23",52
2024,1,1,"24",51
2024,1,2,"1",52
2024,1,2,"2",49
2024,1,2,"3",50
2024,1,2,"4",51
2024,1,2,"5",47
2024,1,2,"6",49
2024,1,2,"7",50
2024,1,2,"8",69
2024,1,2,"9",56
2024,1,2,"10",64
2024,1,2,"11",66
2024,1,2,"12",54
2024,1,2,"13",53
2024,1,2,"14",54
2024,1,2,"15",56
2024,1,2,"16",57
2024,1,2,"17",57
2024,1,2,"18",58
2024,1,2,"19",58
2024,1,2,"20",59
2024,1,2,"21",56
2024,1,2,"22",51
2024,1,2,"23",48
2024,1,2,"24",44
2024,1,3,"1",38
2024,1,3,"2",38
2024,1,3,"3",44
2024,1,3,"4",38
2024,1,3,"5",44
2024,1,3,"6",49
2024,1,3,"7",50
2024,1,3,"8",51
2024,1,3,"9",52
2024,1,3,"10",62
2024,1,3,"11",56
2024,1,3,"12",56
2024,1,3,"13",57
2024,1,3,"14",58
2024,1,3,"15",59
2024,1,3,"16",59
2024,1,3,"17",57
2024,1,3,"18",57
2024,1,3,"19",60
2024,1,3,"20",58
2024,1,3,"21",51
2024,1,3,"22",55
2024,1,3,"23",55
2024,1,3,"24",53
2024,1,4,"1",45
2024,1,4,"2",33
2024,1,4,"3",32
2024,1,4,"4",31
2024,1,4,"5",32
2024,1,4,"6",34
2024,1,4,"7",38
2024,1,4,"8",42
2024,1,4,"9",44
2024,1,4,"10",53
2024,1,4,"11",53
2024,1,4,"12",45
2024,1,4,"13",48
2024,1,4,"14",54
2024,1,4,"15",59
2024,1,4,"16",49
2024,1,4,"17",50
2024,1,4,"18",52
2024,1,4,"19",56
2024,1,4,"20",53
2024,1,4,"21",53
2024,1,4,"22",53
2024,1,4,"23",45
2024,1,4,"24",35
2024,1,5,"1",34
2024,1,5,"2",33
2024,1,5,"3",32
2024,1,5,"4",32
2024,1,5,"5",33
2024,1,5,"6",34
2024,1,5,"7",35
2024,1,5,"8",36
2024,1,5,"9",38
2024,1,5,"10",49
2024,1,5,"11",39
2024,1,5,"12",39
2024,1,5,"13",39
2024,1,5,"14",39
2024,1,5,"15",37
2024,1,5,"16",37
2024,1,5,"17",42
2024,1,5,"18",44
2024,1,5,"19",44
2024,1,5,"20",43
2024,1,5,"21",41
2024,1,5,"22",39
2024,1,5,"23",37
2024,1,5,"24",34
2024,1,6,"1",33
2024,1,6,"2",37
2024,1,6,"3",39
2024,1,6,"4",44
2024,1,6,"5",46
2024,1,6,"6",45
2024,1,6,"7",50
2024,1,6,"8",54
2024,1,6,"9",55
2024,1,6,"10",59
2024,1,6,"11",47
2024,1,6,"12",46
2024,1,6,"13",45
2024,1,6,"14",46
2024,1,6,"15",47
2024,1,6,"16",50
2024,1,6,"17",52
2024,1,6,"18",51
2024,1,6,"19",54
2024,1,6,"20",53
2024,1,6,"21",52
2024,1,6,"22",49
2024,1,6,"23",45
2024,1,6,"24",41
2024,1,7,"1",35
2024,1,7,"2",33
2024,1,7,"3",33
2024,1,7,"4",34
2024,1,7,"5",36
2024,1,7,"6",39
2024,1,7,"7",43
2024,1,7,"8",44
2024,1,7,"9",45
2024,1,7,"10",54
2024,1,7,"11",43
2024,1,7,"12",45
2024,1,7,"13",45
2024,1,7,"14",45
2024,1,7,"15",44
2024,1,7,"16",43
2024,1,7,"17",46
2024,1,7,"18",48
2024,1,7,"19",50
2024,1,7,"20",52
2024,1,7,"21",52
2024,1,7,"22",43
2024,1,7,"23",50
2024,1,7,"24",47
2024,1,8,"1",36
2024,1,8,"2",35
2024,1,8,"3",34
2024,1,8,"4",35
2024,1,8,"5",40
2024,1,8,"6",44
2024,1,8,"7",49
2024,1,8,"8",52
2024,1,8,"9",46
2024,1,8,"10",55
2024,1,8,"11",45
2024,1,8,"12",45
2024,1,8,"13",45
2024,1,8,"14",45
2024,1,8,"15",42
2024,1,8,"16",43
2024,1,8,"17",43
2024,1,8,"18",48
2024,1,8,"19",48
2024,1,8,"20",47
2024,1,8,"21",46
2024,1,8,"22",43
2024,1,8,"23",40
2024,1,8,"24",37
2024,1,9,"1",35
2024,1,9,"2",34
2024,1,9,"3",34
2024,1,9,"4",35
2024,1,9,"5",37
2024,1,9,"6",41
2024,1,9,"7",44
2024,1,9,"8",45
2024,1,9,"9",46
2024,1,9,"10",55
2024,1,9,"11",45
2024,1,9,"12",45
2024,1,9,"13",47
2024,1,9,"14",54
2024,1,9,"15",53
2024,1,9,"16",57
2024,1,9,"17",56
2024,1,9,"18",56
2024,1,9,"19",54
2024,1,9,"20",57
2024,1,9,"21",59
2024,1,9,"22",56
2024,1,9,"23",53
2024,1,9,"24",47
2024,1,10,"1",42
2024,1,10,"2",41
2024,1,10,"3",44
2024,1,10,"4",45
2024,1,10,"5",43
2024,1,10,"6",48
2024,1,10,"7",51
2024,1,10,"8",52
2024,1,10,"9",52
2024,1,10,"10",61
2024,1,10,"11",56
2024,1,10,"12",54
2024,1,10,"13",53
2024,1,10,"14",56
2024,1,10,"15",57
2024,1,10,"16",57
2024,1,10,"17",59
2024,1,10,"18",59
2024,1,10,"19",59
2024,1,10,"20",58
2024,1,10,"21",55
2024,1,10,"22",53
2024,1,10,"23",53
2024,1,10,"24",51
2024,1,11,"1",39
2024,1,11,"2",45
2024,1,11,"3",48
2024,1,11,"4",47
2024,1,11,"5",49
2024,1,11,"6",51
2024,1,11,"7",52
2024,1,11,"8",73
2024,1,11,"9",66
2024,1,11,"10",60
2024,1,11,"11",57
2024,1,11,"12",66
2024,1,11,"13",67
2024,1,11,"14",67
2024,1,11,"15",71
2024,1,11,"16",71
2024,1,11,"17",69
2024,1,11,"18",57
2024,1,11,"19",58
2024,1,11,"20",56
2024,1,11,"21",55
2024,1,11,"22",51
2024,1,11,"23",48
2024,1,11,"24",48
2024,1,12,"1",47
2024,1,12,"2",42
2024,1,12,"3",41
2024,1,12,"4",41
2024,1,12,"5",38
2024,1,12,"6",37
2024,1,12,"7",40
2024,1,12,"8",42
2024,1,12,"9",47
2024,1,12,"10",55
2024,1,12,"11",47
2024,1,12,"12",47
2024,1,12,"13",48
2024,1,12,"14",49
2024,1,12,"15",48
2024,1,12,"16",55
2024,1,12,"17",53
2024,1,12,"18",56
2024,1,12,"19",56
2024,1,12,"20",55
2024,1,12,"21",55
2024,1,12,"22",56
2024,1,12,"23",54
2024,1,12,"24",52
2024,1,13,"1",51
2024,1,13,"2",51
2024,1,13,"3",51
2024,1,13,"4",51
2024,1,13,"5",50
2024,1,13,"6",47
2024,1,13,"7",47
2024,1,13,"8",56
2024,1,13,"9",53
2024,1,13,"10",66
2024,1,13,"11",65
2024,1,13,"12",55
2024,1,13,"13",51
2024,1,13,"14",47
2024,1,13,"15",42
2024,1,13,"16",43
2024,1,13,"17",51
2024,1,13,"18",57
