"Year","Month","Day","Period","value"
2024,1,1,"1",18
2024,1,1,"2",18
2024,1,1,"3",18
2024,1,1,"4",18
2024,1,1,"5",22
2024,1,1,"6",36
2024,1,1,"7",50
2024,1,1,"8",59
2024,1,1,"9",59
2024,1,1,"10",61
2024,1,1,"11",55
2024,1,1,"12",41
2024,1,1,"13",31
2024,1,1,"14",32
2024,1,1,"15",21
2024,1,1,"16",19
2024,1,1,"17",13
2024,1,1,"18",50
2024,1,1,"19",59
2024,1,1,"20",61
2024,1,1,"21",55
2024,1,1,"22",49
2024,1,1,"23",48
2024,1,1,"24",49
2024,1,2,"1",46
2024,1,2,"2",47
2024,1,2,"3",47
2024,1,2,"4",48
2024,1,2,"5",47
2024,1,2,"6",45
2024,1,2,"7",45
2024,1,2,"8",49
2024,1,2,"9",47
2024,1,2,"10",45
2024,1,2,"11",44
2024,1,2,"12",48
2024,1,2,"13",50
2024,1,2,"14",53
2024,1,2,"15",53
2024,1,2,"16",53
2024,1,2,"17",47
2024,1,2,"18",47
2024,1,2,"19",40
2024,1,2,"20",39
2024,1,2,"21",46
2024,1,2,"22",46
2024,1,2,"23",35
2024,1,2,"24",32
2024,1,3,"1",39
2024,1,3,"2",26
2024,1,3,"3",24
2024,1,3,"4",21
2024,1,3,"5",30
2024,1,3,"6",27
2024,1,3,"7",34
2024,1,3,"8",47
2024,1,3,"9",54
2024,1,3,"10",58
2024,1,3,"11",54
2024,1,3,"12",45
2024,1,3,"13",61
2024,1,3,"14",58
2024,1,3,"15",61
2024,1,3,"16",64
2024,1,3,"17",60
2024,1,3,"18",36
2024,1,3,"19",43
2024,1,3,"20",57
2024,1,3,"21",60
2024,1,3,"22",58
2024,1,3,"23",58
2024,1,3,"24",51
2024,1,4,"1",21
2024,1,4,"2",24
2024,1,4,"3",21
2024,1,4,"4",28
2024,1,4,"5",24
2024,1,4,"6",24
2024,1,4,"7",19
2024,1,4,"8",21
2024,1,4,"9",18
2024,1,4,"10",17
2024,1,4,"11",28
2024,1,4,"12",41
2024,1,4,"13",39
2024,1,4,"14",47
2024,1,4,"15",62
2024,1,4,"16",63
2024,1,4,"17",40
2024,1,4,"18",61
2024,1,4,"19",60
2024,1,4,"20",47
2024,1,4,"21",23
2024,1,4,"22",18
2024,1,4,"23",18
2024,1,4,"24",18
2024,1,5,"1",18
2024,1,5,"2",18
2024,1,5,"3",18
2024,1,5,"4",18
2024,1,5,"5",18
2024,1,5,"6",18
2024,1,5,"7",25
2024,1,5,"8",35
2024,1,5,"9",46
2024,1,5,"10",23
2024,1,5,"11",23
2024,1,5,"12",52
2024,1,5,"13",60
2024,1,5,"14",63
2024,1,5,"15",63
2024,1,5,"16",63
2024,1,5,"17",51
2024,1,5,"18",38
2024,1,5,"19",43
2024,1,5,"20",42
2024,1,5,"21",41
2024,1,5,"22",40
2024,1,5,"23",59
2024,1,5,"24",61
2024,1,6,"1",48
2024,1,6,"2",52
2024,1,6,"3",49
2024,1,6,"4",29
2024,1,6,"5",26
2024,1,6,"6",30
2024,1,6,"7",44
2024,1,6,"8",43
2024,1,6,"9",31
2024,1,6,"10",21
2024,1,6,"11",21
2024,1,6,"12",26
2024,1,6,"13",27
2024,1,6,"14",30
2024,1,6,"15",28
2024,1,6,"16",33
2024,1,6,"17",36
2024,1,6,"18",35
2024,1,6,"19",37
2024,1,6,"20",38
2024,1,6,"21",41
2024,1,6,"22",23
2024,1,6,"23",18
2024,1,6,"24",18
2024,1,7,"1",18
2024,1,7,"2",18
2024,1,7,"3",18
2024,1,7,"4",18
2024,1,7,"5",18
2024,1,7,"6",18
2024,1,7,"7",18
2024,1,7,"8",25
2024,1,7,"9",21
2024,1,7,"10",21
2024,1,7,"11",21
2024,1,7,"12",26
2024,1,7,"13",26
2024,1,7,"14",26
2024,1,7,"15",25
2024,1,7,"16",27
2024,1,7,"17",18
2024,1,7,"18",18
2024,1,7,"19",18
2024,1,7,"20",18
2024,1,7,"21",18
2024,1,7,"22",23
2024,1,7,"23",18
2024,1,7,"24",18
2024,1,8,"1",53
2024,1,8,"2",26
2024,1,8,"3",29
2024,1,8,"4",54
2024,1,8,"5",60
2024,1,8,"6",60
2024,1,8,"7",60
2024,1,8,"8",63
2024,1,8,"9",39
2024,1,8,"10",21
2024,1,8,"11",21
2024,1,8,"12",21
2024,1,8,"13",26
2024,1,8,"14",26
2024,1,8,"15",25
2024,1,8,"16",27
2024,1,8,"17",18
2024,1,8,"18",18
2024,1,8,"19",18
2024,1,8,"20",18
2024,1,8,"21",18
2024,1,8,"22",18
2024,1,8,"23",18
2024,1,8,"24",18
2024,1,9,"1",18
2024,1,9,"2",18
2024,1,9,"3",18
2024,1,9,"4",18
2024,1,9,"5",18
2024,1,9,"6",18
2024,1,9,"7",18
2024,1,9,"8",25
2024,1,9,"9",25
2024,1,9,"10",34
2024,1,9,"11",58
2024,1,9,"12",61
2024,1,9,"13",42
2024,1,9,"14",26
2024,1,9,"15",21
2024,1,9,"16",37
2024,1,9,"17",33
2024,1,9,"18",55
2024,1,9,"19",50
2024,1,9,"20",49
2024,1,9,"21",50
2024,1,9,"22",47
2024,1,9,"23",42
2024,1,9,"24",42
2024,1,10,"1",47
2024,1,10,"2",49
2024,1,10,"3",42
2024,1,10,"4",42
2024,1,10,"5",43
2024,1,10,"6",42
2024,1,10,"7",40
2024,1,10,"8",42
2024,1,10,"9",39
2024,1,10,"10",38
2024,1,10,"11",41
2024,1,10,"12",52
2024,1,10,"13",55
2024,1,10,"14",56
2024,1,10,"15",57
2024,1,10,"16",56
2024,1,10,"17",37
2024,1,10,"18",40
2024,1,10,"19",43
2024,1,10,"20",57
2024,1,10,"21",60
2024,1,10,"22",58
2024,1,10,"23",38
2024,1,10,"24",47
2024,1,11,"1",55
2024,1,11,"2",60
2024,1,11,"3",61
2024,1,11,"4",57
2024,1,11,"5",60
2024,1,11,"6",59
2024,1,11,"7",56
2024,1,11,"8",47
2024,1,11,"9",45
2024,1,11,"10",65
2024,1,11,"11",44
2024,1,11,"12",42
2024,1,11,"13",72
2024,1,11,"14",73
2024,1,11,"15",72
2024,1,11,"16",72
2024,1,11,"17",59
2024,1,11,"18",55
2024,1,11,"19",58
2024,1,11,"20",60
2024,1,11,"21",60
2024,1,11,"22",59
2024,1,11,"23",52
2024,1,11,"24",58
2024,1,12,"1",51
2024,1,12,"2",51
2024,1,12,"3",45
2024,1,12,"4",29
2024,1,12,"5",37
2024,1,12,"6",36
2024,1,12,"7",40
2024,1,12,"8",41
2024,1,12,"9",44
2024,1,12,"10",39
2024,1,12,"11",47
2024,1,12,"12",51
2024,1,12,"13",55
2024,1,12,"14",68
2024,1,12,"15",68
2024,1,12,"16",62
2024,1,12,"17",59
2024,1,12,"18",57
2024,1,12,"19",54
2024,1,12,"20",60
2024,1,12,"21",60
2024,1,12,"22",60
2024,1,12,"23",61
2024,1,12,"24",60
2024,1,13,"1",60
2024,1,13,"2",61
2024,1,13,"3",57
2024,1,13,"4",42
2024,1,13,"5",51
2024,1,13,"6",57
2024,1,13,"7",60
2024,1,13,"8",62
2024,1,13,"9",51
2024,1,13,"10",47
2024,1,13,"11",40
2024,1,13,"12",23
2024,1,13,"13",30
2024,1,13,"14",32
2024,1,13,"15",43
2024,1,13,"16",51
2024,1,13,"17",60
2024,1,13,"18",42
2024,1,13,"19",23
2024,1,13,"20",60
2024,1,13,"21",46
2024,1,13,"22",43
2024,1,13,"23",50
2024,1,13,"24",30
2024,1,14,"1",21
2024,1,14,"2",21
2024,1,14,"3",18
2024,1,14,"4",18
2024,1,14,"5",18
2024,1,14,"6",18
2024,1,14,"7",18
2024,1,14,"8",25
2024,1,14,"9",21
2024,1,14,"10",21
2024,1,14,"11",21
2024,1,14,"12",26
2024,1,14,"13",27
2024,1,14,"14",34
2024,1,14,"15",34
2024,1,14,"16",40
2024,1,14,"17",41
2024,1,14,"18",4
2024,1,14,"19",27
2024,1,14,"20",30
2024,1,14,"21",37
2024,1,14,"22",54
2024,1,14,"23",60
2024,1,14,"24",59
2024,1,15,"1",60
2024,1,15,"2",60
2024,1,15,"3",59
2024,1,15,"4",54
2024,1,15,"5",60
2024,1,15,"6",60
2024,1,15,"7",61
2024,1,15,"8",63
2024,1,15,"9",66
2024,1,15,"10",73
2024,1,15,"11",81
2024,1,15,"12",68
2024,1,15,"13",72
2024,1,15,"14",75
2024,1,15,"15",68
2024,1,15,"16",55
2024,1,15,"17",41
2024,1,15,"18",6
2024,1,15,"19",1
2024,1,15,"20",1
2024,1,15,"21",1
2024,1,15,"22",9
2024,1,15,"23",4
2024,1,15,"24",17
2024,1,16,"1",11
2024,1,16,"2",19
2024,1,16,"3",44
2024,1,16,"4",49
2024,1,16,"5",49
2024,1,16,"6",60
2024,1,16,"7",60
2024,1,16,"8",63
2024,1,16,"9",59
2024,1,16,"10",62
2024,1,16,"11",62
2024,1,16,"12",63
2024,1,16,"13",63
2024,1,16,"14",62
2024,1,16,"15",60
2024,1,16,"16",63
2024,1,16,"17",64
2024,1,16,"18",61
2024,1,16,"19",56
2024,1,16,"20",37
2024,1,16,"21",42
2024,1,16,"22",34
2024,1,16,"23",25
2024,1,16,"24",20
2024,1,17,"1",18
2024,1,17,"2",19
2024,1,17,"3",18
2024,1,17,"4",18
2024,1,17,"5",18
2024,1,17,"6",18
2024,1,17,"7",18
2024,1,17,"8",25
2024,1,17,"9",25
2024,1,17,"10",21
2024,1,17,"11",21
2024,1,17,"12",21
2024,1,17,"13",26
2024,1,17,"14",26
2024,1,17,"15",25
2024,1,17,"16",27
2024,1,17,"17",21
2024,1,17,"18",20
2024,1,17,"19",18
2024,1,17,"20",20
2024,1,17,"21",30
2024,1,17,"22",33
2024,1,17,"23",36
2024,1,17,"24",40
2024,1,18,"1",43
2024,1,18,"2",46
2024,1,18,"3",46
2024,1,18,"4",59
2024,1,18,"5",60
2024,1,18,"6",60
2024,1,18,"7",60
2024,1,18,"8",63
2024,1,18,"9",61
2024,1,18,"10",62
2024,1,18,"11",61
2024,1,18,"12",62
2024,1,18,"13",62
2024,1,18,"14",62
2024,1,18,"15",55
2024,1,18,"16",45
2024,1,18,"17",32
2024,1,18,"18",14
2024,1,18,"19",7
2024,1,18,"20",7
2024,1,18,"21",11
2024,1,18,"22",13
2024,1,18,"23",23
2024,1,18,"24",39
2024,1,19,"1",43
2024,1,19,"2",44
2024,1,19,"3",48
2024,1,19,"4",48
2024,1,19,"5",46
2024,1,19,"6",45
2024,1,19,"7",48
2024,1,19,"8",52
2024,1,19,"9",47
2024,1,19,"10",47
2024,1,19,"11",37
2024,1,19,"12",37
2024,1,19,"13",41
2024,1,19,"14",37
2024,1,19,"15",32
2024,1,19,"16",28
2024,1,19,"17",23
2024,1,19,"18",28
2024,1,19,"19",52
2024,1,19,"20",46
2024,1,19,"21",52
2024,1,19,"22",60
2024,1,19,"23",60
2024,1,19,"24",58
2024,1,20,"1",49
2024,1,20,"2",48
2024,1,20,"3",47
2024,1,20,"4",43
2024,1,20,"5",41
2024,1,20,"6",45
2024,1,20,"7",48
2024,1,20,"8",53
2024,1,20,"9",54
2024,1,20,"10",54
2024,1,20,"11",62
2024,1,20,"12",61
2024,1,20,"13",49
2024,1,20,"14",45
2024,1,20,"15",35
2024,1,20,"16",26
2024,1,20,"17",13
2024,1,20,"18",7
2024,1,20,"19",5
2024,1,20,"20",5
2024,1,20,"21",5
2024,1,20,"22",9
2024,1,20,"23",18
2024,1,20,"24",28
2024,1,21,"1",30
2024,1,21,"2",26
2024,1,21,"3",27
2024,1,21,"4",25
2024,1,21,"5",38
2024,1,21,"6",51
2024,1,21,"7",60
2024,1,21,"8",62
2024,1,21,"9",62
2024,1,21,"10",61
2024,1,21,"11",61
2024,1,21,"12",62
2024,1,21,"13",50
2024,1,21,"14",42
2024,1,21,"15",44
2024,1,21,"16",47
2024,1,21,"17",52
2024,1,21,"18",60
2024,1,21,"19",57
2024,1,21,"20",59
2024,1,21,"21",59
2024,1,21,"22",61
2024,1,21,"23",61
2024,1,21,"24",61
2024,1,22,"1",60
2024,1,22,"2",60
2024,1,22,"3",61
2024,1,22,"4",60
2024,1,22,"5",60
2024,1,22,"6",57
2024,1,22,"7",58
2024,1,22,"8",65
2024,1,22,"9",64
2024,1,22,"10",62
2024,1,22,"11",68
2024,1,22,"12",46
2024,1,22,"13",44
2024,1,22,"14",25
2024,1,22,"15",27
2024,1,22,"16",41
2024,1,22,"17",23
2024,1,22,"18",30
2024,1,22,"19",44
2024,1,22,"20",60
2024,1,22,"21",58
2024,1,22,"22",61
2024,1,22,"23",60
2024,1,22,"24",41
2024,1,23,"1",59
2024,1,23,"2",61
2024,1,23,"3",49
2024,1,23,"4",26
2024,1,23,"5",18
2024,1,23,"6",18
2024,1,23,"7",18
2024,1,23,"8",25
2024,1,23,"9",31
2024,1,23,"10",37
2024,1,23,"11",49
2024,1,23,"12",40
2024,1,23,"13",30
2024,1,23,"14",33
2024,1,23,"15",34
2024,1,23,"16",56
2024,1,23,"17",56
2024,1,23,"18",59
2024,1,23,"19",60
2024,1,23,"20",55
2024,1,23,"21",52
2024,1,23,"22",41
2024,1,23,"23",46
2024,1,23,"24",33
2024,1,24,"1",19
2024,1,24,"2",23
2024,1,24,"3",35
2024,1,24,"4",30
2024,1,24,"5",30
2024,1,24,"6",34
2024,1,24,"7",45
2024,1,24,"8",47
2024,1,24,"9",36
2024,1,24,"10",37
2024,1,24,"11",21
2024,1,24,"12",26
2024,1,24,"13",27
2024,1,24,"14",29
2024,1,24,"15",40
2024,1,24,"16",59
2024,1,24,"17",54
2024,1,24,"18",61
2024,1,24,"19",61
2024,1,24,"20",22
2024,1,24,"21",23
2024,1,24,"22",36
2024,1,24,"23",37
2024,1,24,"24",43
2024,1,25,"1",47
2024,1,25,"2",58
2024,1,25,"3",58
2024,1,25,"4",60
2024,1,25,"5",59
2024,1,25,"6",55
2024,1,25,"7",46
2024,1,25,"8",45
2024,1,25,"9",25
2024,1,25,"10",21
2024,1,25,"11",21
2024,1,25,"12",21
2024,1,25,"13",26
2024,1,25,"14",26
2024,1,25,"15",25
2024,1,25,"16",27
2024,1,25,"17",26
2024,1,25,"18",61
2024,1,25,"19",51
2024,1,25,"20",44
2024,1,25,"21",33
2024,1,25,"22",18
2024,1,25,"23",18
2024,1,25,"24",18
2024,1,26,"1",18
2024,1,26,"2",18
2024,1,26,"3",18
2024,1,26,"4",18
2024,1,26,"5",18
2024,1,26,"6",18
2024,1,26,"7",18
2024,1,26,"8",26
2024,1,26,"9",21
2024,1,26,"10",23
2024,1,26,"11",37
2024,1,26,"12",56
2024,1,26,"13",57
2024,1,26,"14",63
2024,1,26,"15",62
2024,1,26,"16",64
2024,1,26,"17",47
2024,1,26,"18",42
2024,1,26,"19",60
2024,1,26,"20",49
2024,1,26,"21",40
2024,1,26,"22",27
2024,1,26,"23",22
2024,1,26,"24",18
2024,1,27,"1",20
2024,1,27,"2",18
2024,1,27,"3",18
2024,1,27,"4",18
2024,1,27,"5",18
2024,1,27,"6",20
2024,1,27,"7",18
2024,1,27,"8",25
2024,1,27,"9",21
2024,1,27,"10",21
2024,1,27,"11",21
2024,1,27,"12",26
2024,1,27,"13",26
2024,1,27,"14",26
2024,1,27,"15",25
2024,1,27,"16",37
2024,1,27,"17",26
2024,1,27,"18",49
2024,1,27,"19",34
2024,1,27,"20",24
2024,1,27,"21",23
2024,1,27,"22",19
2024,1,27,"23",18
2024,1,27,"24",18
2024,1,28,"1",18
2024,1,28,"2",18
2024,1,28,"3",18
2024,1,28,"4",18
2024,1,28,"5",18
2024,1,28,"6",18
2024,1,28,"7",21
2024,1,28,"8",38
2024,1,28,"9",53
2024,1,28,"10",53
2024,1,28,"11",44
2024,1,28,"12",57
2024,1,28,"13",50
2024,1,28,"14",51
2024,1,28,"15",41
2024,1,28,"16",65
2024,1,28,"17",59
2024,1,28,"18",39
2024,1,28,"19",61
2024,1,28,"20",30
2024,1,28,"21",51
2024,1,28,"22",22
2024,1,28,"23",18
2024,1,28,"24",19
2024,1,29,"1",18
2024,1,29,"2",18
2024,1,29,"3",18
2024,1,29,"4",18
2024,1,29,"5",18
2024,1,29,"6",18
2024,1,29,"7",18
2024,1,29,"8",25
2024,1,29,"9",25
2024,1,29,"10",21
2024,1,29,"11",21
2024,1,29,"12",21
2024,1,29,"13",26
2024,1,29,"14",26
2024,1,29,"15",25
2024,1,29,"16",27
2024,1,29,"17",26
2024,1,29,"18",46
2024,1,29,"19",41
2024,1,29,"20",36
2024,1,29,"21",29
2024,1,29,"22",22
2024,1,29,"23",32
2024,1,29,"24",34
2024,1,30,"1",26
2024,1,30,"2",20
2024,1,30,"3",23
2024,1,30,"4",41
2024,1,30,"5",21
2024,1,30,"6",19
2024,1,30,"7",23
2024,1,30,"8",27
2024,1,30,"9",25
2024,1,30,"10",21
2024,1,30,"11",30
2024,1,30,"12",31
2024,1,30,"13",53
2024,1,30,"14",63
2024,1,30,"15",63
2024,1,30,"16",64
2024,1,30,"17",32
2024,1,30,"18",60
2024,1,30,"19",49
2024,1,30,"20",48
2024,1,30,"21",40
2024,1,30,"22",46
2024,1,30,"23",50
2024,1,30,"24",33
2024,1,31,"1",18
2024,1,31,"2",35
2024,1,31,"3",32
2024,1,31,"4",46
2024,1,31,"5",46
2024,1,31,"6",61
2024,1,31,"7",60
2024,1,31,"8",52
2024,1,31,"9",63
2024,1,31,"10",55
2024,1,31,"11",44
2024,1,31,"12",31
2024,1,31,"13",34
2024,1,31,"14",24
2024,1,31,"15",21
2024,1,31,"16",31
2024,1,31,"17",46
2024,1,31,"18",18
2024,1,31,"19",60
2024,1,31,"20",26
2024,1,31,"21",18
2024,1,31,"22",18
2024,1,31,"23",18
2024,1,31,"24",18
2024,2,1,"1",18
2024,2,1,"2",33
2024,2,1,"3",18
2024,2,1,"4",18
2024,2,1,"5",18
2024,2,1,"6",18
2024,2,1,"7",18
2024,2,1,"8",25
2024,2,1,"9",25
2024,2,1,"10",21
2024,2,1,"11",21
2024,2,1,"12",21
2024,2,1,"13",40
2024,2,1,"14",26
2024,2,1,"15",25
2024,2,1,"16",37
2024,2,1,"17",30
2024,2,1,"18",38
2024,2,1,"19",49
2024,2,1,"20",44
2024,2,1,"21",50
2024,2,1,"22",49
2024,2,1,"23",51
2024,2,1,"24",53
2024,2,2,"1",53
2024,2,2,"2",54
2024,2,2,"3",57
2024,2,2,"4",49
2024,2,2,"5",45
2024,2,2,"6",18
2024,2,2,"7",18
2024,2,2,"8",25
2024,2,2,"9",25
2024,2,2,"10",21
2024,2,2,"11",22
2024,2,2,"12",30
2024,2,2,"13",49
2024,2,2,"14",63
2024,2,2,"15",55
2024,2,2,"16",44
2024,2,2,"17",21
2024,2,2,"18",7
2024,2,2,"19",9
2024,2,2,"20",6
2024,2,2,"21",29
2024,2,2,"22",53
2024,2,2,"23",44
2024,2,2,"24",60
2024,2,3,"1",61
2024,2,3,"2",58
2024,2,3,"3",60
2024,2,3,"4",61
2024,2,3,"5",60
2024,2,3,"6",57
2024,2,3,"7",91
2024,2,3,"8",62
2024,2,3,"9",50
2024,2,3,"10",52
2024,2,3,"11",42
2024,2,3,"12",39
2024,2,3,"13",49
2024,2,3,"14",62
2024,2,3,"15",48
2024,2,3,"16",39
2024,2,3,"17",24
2024,2,3,"18",1
2024,2,3,"19",5
2024,2,3,"20",2
2024,2,3,"21",2
2024,2,3,"22",4
2024,2,3,"23",3
2024,2,3,"24",1
2024,2,4,"1",6
2024,2,4,"2",10
2024,2,4,"3",9
2024,2,4,"4",7
2024,2,4,"5",5
2024,2,4,"6",5
2024,2,4,"7",70
2024,2,4,"8",18
2024,2,4,"9",12
2024,2,4,"10",12
2024,2,4,"11",12
2024,2,4,"12",19
2024,2,4,"13",19
2024,2,4,"14",19
2024,2,4,"15",18
2024,2,4,"16",20
2024,2,4,"17",19
2024,2,4,"18",1
2024,2,4,"19",6
2024,2,4,"20",22
2024,2,4,"21",37
2024,2,4,"22",42
2024,2,4,"23",55
2024,2,4,"24",51
2024,2,5,"1",60
2024,2,5,"2",60
2024,2,5,"3",57
2024,2,5,"4",58
2024,2,5,"5",60
2024,2,5,"6",60
2024,2,5,"7",90
2024,2,5,"8",60
2024,2,5,"9",59
2024,2,5,"10",61
2024,2,5,"11",61
2024,2,5,"12",49
2024,2,5,"13",38
2024,2,5,"14",35
2024,2,5,"15",29
2024,2,5,"16",24
2024,2,5,"17",19
2024,2,5,"18",1
2024,2,5,"19",5
2024,2,5,"20",6
2024,2,5,"21",8
2024,2,5,"22",8
2024,2,5,"23",7
2024,2,5,"24",8
2024,2,6,"1",13
2024,2,6,"2",15
2024,2,6,"3",14
2024,2,6,"4",13
2024,2,6,"5",19
2024,2,6,"6",20
2024,2,6,"7",73
2024,2,6,"8",27
2024,2,6,"9",26
2024,2,6,"10",24
2024,2,6,"11",15
2024,2,6,"12",20
2024,2,6,"13",21
2024,2,6,"14",22
2024,2,6,"15",23
2024,2,6,"16",27
2024,2,6,"17",26
2024,2,6,"18",9
2024,2,6,"19",22
2024,2,6,"20",27
2024,2,6,"21",10
2024,2,6,"22",18
2024,2,6,"23",22
2024,2,6,"24",30
2024,2,7,"1",44
2024,2,7,"2",48
2024,2,7,"3",55
2024,2,7,"4",60
2024,2,7,"5",60
2024,2,7,"6",60
2024,2,7,"7",92
2024,2,7,"8",63
2024,2,7,"9",62
2024,2,7,"10",61
2024,2,7,"11",61
2024,2,7,"12",62
2024,2,7,"13",63
2024,2,7,"14",63
2024,2,7,"15",62
2024,2,7,"16",63
2024,2,7,"17",63
2024,2,7,"18",60
2024,2,7,"19",60
2024,2,7,"20",59
2024,2,7,"21",54
2024,2,7,"22",47
2024,2,7,"23",33
2024,2,7,"24",22
2024,2,8,"1",13
2024,2,8,"2",18
2024,2,8,"3",23
2024,2,8,"4",31
2024,2,8,"5",37
2024,2,8,"6",36
2024,2,8,"7",75
2024,2,8,"8",34
2024,2,8,"9",30
2024,2,8,"10",28
2024,2,8,"11",14
2024,2,8,"12",12
2024,2,8,"13",19
2024,2,8,"14",19
2024,2,8,"15",18
2024,2,8,"16",20
2024,2,8,"17",19
2024,2,8,"18",1
2024,2,8,"19",1
2024,2,8,"20",4
2024,2,8,"21",12
2024,2,8,"22",13
2024,2,8,"23",14
2024,2,8,"24",14
2024,2,9,"1",14
2024,2,9,"2",15
2024,2,9,"3",10
2024,2,9,"4",5
2024,2,9,"5",1
2024,2,9,"6",6
2024,2,9,"7",70
2024,2,9,"8",20
2024,2,9,"9",17
2024,2,9,"10",18
2024,2,9,"11",18
2024,2,9,"12",21
2024,2,9,"13",26
2024,2,9,"14",19
2024,2,9,"15",18
2024,2,9,"16",20
2024,2,9,"17",19
2024,2,9,"18",1
2024,2,9,"19",1
2024,2,9,"20",1
2024,2,9,"21",5
2024,2,9,"22",9
2024,2,9,"23",7
2024,2,9,"24",11
2024,2,10,"1",10
2024,2,10,"2",12
2024,2,10,"3",24
2024,2,10,"4",25
2024,2,10,"5",30
2024,2,10,"6",40
2024,2,10,"7",79
2024,2,10,"8",46
2024,2,10,"9",56
2024,2,10,"10",61
2024,2,10,"11",52
2024,2,10,"12",52
2024,2,10,"13",62
2024,2,10,"14",63
2024,2,10,"15",63
2024,2,10,"16",63
2024,2,10,"17",62
2024,2,10,"18",61
2024,2,10,"19",47
2024,2,10,"20",42
2024,2,10,"21",44
2024,2,10,"22",57
2024,2,10,"23",60
2024,2,10,"24",60
2024,2,11,"1",60
2024,2,11,"2",60
2024,2,11,"3",60
2024,2,11,"4",60
2024,2,11,"5",60
2024,2,11,"6",61
2024,2,11,"7",92
2024,2,11,"8",63
2024,2,11,"9",62
2024,2,11,"10",55
2024,2,11,"11",49
2024,2,11,"12",26
2024,2,11,"13",20
2024,2,11,"14",19
2024,2,11,"15",20
2024,2,11,"16",34
2024,2,11,"17",20
2024,2,11,"18",2
2024,2,11,"19",13
2024,2,11,"20",22
2024,2,11,"21",19
2024,2,11,"22",28
2024,2,11,"23",26
2024,2,11,"24",20
2024,2,12,"1",21
2024,2,12,"2",15
2024,2,12,"3",13
2024,2,12,"4",14
2024,2,12,"5",19
2024,2,12,"6",24
