"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288"
2024,1,1,36,36,36,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,35,35,35,35,35,36,36,37,37,38,37,36,36,36,36,35,35,35,35,35,35,35,36,35,35,35,36,35,36,36,36,36,36,36,37,37,37,37,37,38,38,38,39,39,39,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,54,41,41,41,41,41,41,44,45,54,49,53,53,53,53,53,53,53,53,53,49,49,49,47,47,47,47,47,47,48,48,49,49,49,49,49,53,53,53,54,55,55,55,56,57,58,59,59,59,59,59,59,66,66,66,66,65,64,57,56,55,55,58,57,56,55,55,54,54,53,43,43,43,42,42,42,42,41,41,52,52,42,42,42,43,53,53,53,54,54,53,53,53,53,61,61,61,61,61,61,61,61,64,64,64,63,55,64,55,44,48,54,44,45,45,45,46,46,46,47,47,47,47,47,48,48,48,49,49,50,50,49,49,49,50,50,51,52,52,52,52,52,53,53,53,53,54,54,54,54,54,54,54,54,54,53,53,53,54,54,54,54,54,54,53,53,54,55,55,54,54,54,54,54,54,54,51,49,48,48,49,49,49,49,50,50,51,51,51,50,51,51,50,50,50,50,49,49,49,49,49,49,49
2024,1,2,49,49,49,49,49,49,49,49,49,48,47,45,44,44,44,44,43,42,42,42,42,42,42,43,43,42,42,42,42,41,41,41,42,41,41,41,41,40,39,40,40,40,40,40,41,42,43,44,46,46,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,51,51,52,52,52,51,51,51,55,55,55,52,52,52,52,52,52,53,53,54,61,61,60,60,60,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,51,51,51,51,52,52,52,52,53,53,54,54,54,55,55,55,55,55,56,56,56,56,56,56,56,56,56,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,54,54,54,54,54,53,54,54,55,55,58,57,57,57,57,57,56,57,57,57,57,57,69,69,61,59,62,62,59,56,54,54,55,55,55,55,55,56,56,56,56,56,56,56,55,55,55,54,54,54,53,53,53,53,53,53,52,52,52,52,51,51,52,52,52,53,53,54,53,52,52,51,51,51,50,49,48,47,47,49,51,51,49,46,45,44,44,44,44,44,44,44,43,43,42,42,42,42,41,41,42,43,42,42,42,44,44,45,45,46,46,46,46,46,45,45,45,44,42
2024,1,3,41,41,41,40,39,38,38,38,39,39,40,42,42,43,43,43,43,43,43,43,43,43,44,45,45,44,43,44,45,46,47,47,45,44,42,42,42,43,43,43,43,44,45,45,45,44,44,44,45,44,44,44,44,44,43,43,43,43,44,44,43,43,43,43,44,44,45,46,46,47,48,49,50,50,49,48,48,50,50,49,49,49,49,52,52,61,49,54,51,50,50,51,62,61,57,61,65,64,64,63,63,63,63,63,53,53,54,55,55,55,55,55,55,56,56,56,55,54,54,55,55,55,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,56,57,56,56,55,55,56,57,55,55,55,56,56,56,56,56,56,55,54,56,56,56,56,56,56,56,56,55,54,54,55,55,54,52,51,51,51,52,52,51,52,52,56,57,57,58,59,59,59,58,59,59,58,58,58,58,55,62,62,55,57,55,55,53,53,53,53,53,52,51,50,50,50,50,51,52,53,54,54,54,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,54,55,55,54,54,54,54,54,54,53,52,51,51,50,49,49,48,47,46,44,42,41,40,40,39,38,39,38,38,37,37,36,36,36,36,36,36,36,36,36,36,35,34,34,34,34,34,34,34
2024,1,4,34,34,34,34,34,34,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,35,35,35,35,36,36,36,37,37,37,37,37,37,37,36,36,37,37,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,42,38,38,38,37,37,38,43,44,52,47,51,51,51,51,51,51,51,51,51,51,51,47,47,47,47,47,48,48,46,47,48,49,50,50,51,51,51,51,51,52,53,54,54,54,54,54,53,53,54,54,54,54,53,53,52,52,51,51,50,48,48,48,49,50,59,59,50,50,50,51,51,51,50,50,49,49,49,49,48,48,48,48,48,48,48,47,47,47,48,48,49,50,53,51,51,51,55,54,54,54,54,54,54,54,54,54,53,57,68,69,51,51,54,51,49,48,48,48,49,49,49,50,51,52,53,53,54,54,54,55,54,54,54,54,53,53,53,53,52,52,51,51,50,50,49,49,48,47,46,45,44,43,43,42,42,41,41,41,41,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,38,38,38,38,38,38,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,35,35,35,35
2024,1,5,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,35,52,66,36,40,36,36,36,36,50,50,44,48,48,52,53,53,53,53,53,53,53,53,40,41,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,39,39,41,41,41,41,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,44,43,43,43,43,43,43,43,43,43,43,43,58,58,48,61,43,48,41,44,41,38,38,39,39,40,40,41,41,41,42,42,42,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,43,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,40,40,40,40,40,40,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,40,40,39,39,39,39,40,40,41,41,41,41,42,42,42,42,42
2024,1,6,42,42,42,42,42,42,43,43,45,46,47,47,47,45,44,44,44,44,43,43,42,41,41,40,40,39,39,38,38,39,39,40,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,44,44,46,47,47,48,48,48,48,48,48,48,48,48,47,47,47,48,48,48,49,49,49,48,48,48,48,47,46,45,44,44,43,42,46,46,70,43,44,44,44,44,43,55,50,53,56,57,57,57,56,57,57,57,56,56,56,56,45,45,45,45,45,45,45,45,45,45,45,45,46,46,47,47,47,47,48,47,47,47,47,47,47,47,48,48,48,48,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,49,48,48,47,46,46,46,47,47,47,47,47,47,48,48,48,51,52,53,53,52,52,52,52,51,51,51,51,51,51,49,57,54,58,57,53,50,48,48,47,48,50,50,50,51,51,52,52,52,53,53,54,54,53,52,52,52,52,52,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,49,49,48,48,49,48,48,48,48,47,46,46,46,46,45,44,44,44,43,43,42,42,42,41,41,41,40,40,40,39,39,39,39,38,38,38,38,38,38,37,37,37,37,37,37,37,36,36,36,36,36
2024,1,7,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37,37,37,38,38,38,38,39,39,39,40,40,40,40,41,41,41,42,42,42,42,42,42,42,42,44,46,70,42,42,42,42,42,42,54,54,49,53,57,57,57,57,57,57,56,56,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,45,46,46,46,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,44,44,44,44,44,44,44,44,44,44,45,44,48,48,48,48,49,49,49,49,49,49,50,50,50,50,50,54,53,56,49,52,49,48,48,48,49,50,51,51,51,52,52,52,53,53,53,53,52,50,50,49,47,47,47,47,46,46,46,47,50,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,53,52,51,48,45,44,43,43,43,43,43,43,43,42,43,42,42,41,41,41,40,40,40,40,39,39,38,38,38,38,38,38,37,37,37,37,37,37,36,36,36,36,36
2024,1,8,36,36,36,36,36,35,36,36,36,36,37,37,37,38,38,38,38,38,38,38,38,38,38,38,37,38,38,39,39,38,38,37,37,38,39,40,40,41,41,40,38,38,39,40,42,43,43,44,44,44,45,44,44,44,44,43,43,42,41,40,39,39,40,40,40,40,40,40,41,41,41,42,42,43,43,43,43,43,44,44,44,44,44,47,58,58,58,43,43,43,43,43,55,55,50,54,57,57,57,57,57,57,57,57,57,57,57,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,49,49,49,49,49,46,46,46,46,46,46,46,45,45,44,44,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,53,53,53,53,53,53,53,53,53,53,53,61,63,63,63,69,69,69,63,63,63,63,60,49,49,42,53,46,42,60,43,43,44,44,45,46,46,46,46,47,47,47,47,48,48,48,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45,45,45,45,45,44,44,44,44,44,43,43,43,43,42,42,42,42,42,41,41,41,40,40,40,40,39,39,39,39,39,38,38,38,38,38,37,37,37,37,37,37,37,36,36,36
2024,1,9,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,38,38,38,38,39,39,39,39,40,40,40,41,41,41,42,42,42,42,43,43,43,43,43,43,43,43,43,47,70,70,43,43,43,43,43,47,55,50,54,54,54,58,58,58,58,58,55,55,54,47,47,48,48,48,48,48,48,49,49,50,50,51,51,52,52,53,53,54,55,55,55,55,55,55,55,55,54,53,54,54,54,54,54,54,54,54,56,56,55,55,55,55,55,55,56,55,54,54,54,54,54,53,51,49,48,48,49,50,50,51,51,51,50,49,48,48,48,48,47,48,48,47,50,50,50,50,50,49,49,49,49,50,51,51,51,51,64,55,61,58,67,68,70,53,52,53,54,56,56,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,57,57,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,55,55,54,54,54,53,53,53,52,51,50,50,50,50,49,48,48,47,46,46,46,47,46,46,45,44,44,44,45,45,45,45,45,45,44,44,44,44,44,44,44,44,45,45,45,45,45,45,46,46
2024,1,10,46,45,45,45,45,45,45,44,44,43,42,41,41,41,41,41,41,41,40,41,42,42,42,42,43,43,43,42,42,42,41,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,44,44,44,44,45,44,44,44,44,44,45,45,45,45,45,45,45,45,45,46,46,46,46,47,47,48,48,48,48,48,49,49,50,50,50,50,51,51,61,76,52,54,51,51,51,52,62,58,61,60,63,64,63,63,63,63,63,63,62,62,62,52,52,52,52,52,52,52,52,52,52,52,53,53,54,54,55,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,56,56,57,56,56,55,55,55,55,55,55,55,55,56,56,56,56,56,55,56,56,56,56,56,55,54,54,54,54,54,53,53,54,54,54,54,54,55,58,58,58,57,57,57,57,57,57,57,57,69,69,69,69,72,65,53,70,70,58,65,53,53,54,54,55,54,53,53,53,53,54,54,54,54,55,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,54,53,53,53,53,50,47,44,42,42,42,42,42,44,46,47,47,46,45,46,47,48,49,49,50,49,48,47,46,46,46,45,44,44,45,46,49,49,50,50,49,48
